# 20260723_1208_precise_history
# 服务器地址	状态	有效次数	无效次数
10.8.2.3:4022	无效	0	79
114.100.195.110:4022	无效	0	79
114.104.141.116:8686	无效	0	79
114.104.141.116:8688	无效	0	79
114.107.185.19:8188	无效	0	79
116.224.115.254:4022	无效	0	79
116.226.34.65:4022	无效	0	79
116.226.38.240:8888	无效	0	25
116.226.46.59:4022	无效	0	12
116.227.32.225:11000	无效	0	59
116.227.86.165:8686	无效	0	55
116.230.214.78:12028	无效	0	12
116.230.24.135:30100	有效	10	36
116.232.220.105:4022	无效	0	79
116.233.228.5:34567	无效	0	79
116.233.24.149:4022	无效	0	53
116.233.24.153:4022	无效	0	79
116.233.24.214:4022	无效	0	79
116.233.24.69:4022	无效	0	79
116.233.38.8:8888	无效	0	79
116.233.62.62:4022	无效	0	79
116.233.63.78:5555	无效	0	79
116.233.67.80:8899	有效	2	77
116.233.78.173:5022	无效	0	12
116.233.90.0:18888	无效	0	41
116.233.90.0:8888	无效	0	41
116.234.0.1:4022	无效	0	79
116.234.0.89:4022	无效	0	79
116.234.1.1:4022	无效	0	79
116.234.101.1:4022	无效	0	79
116.234.11.229:4022	无效	0	79
116.234.129.71:4022	无效	0	79
116.234.13.1:4022	无效	0	79
116.234.199.1:4022	无效	0	79
116.234.20.1:4022	无效	0	79
116.234.23.157:4022	无效	0	79
116.234.23.1:4022	无效	0	79
116.234.24.1:4022	无效	0	79
116.234.28.1:4022	无效	0	79
116.234.40.1:4022	无效	0	79
116.234.41.234:4022	无效	0	58
116.234.46.144:4022	无效	0	79
116.234.46.145:4022	无效	0	79
116.234.46.1:4022	无效	0	79
116.234.48.1:4022	无效	0	79
116.234.51.1:4022	无效	0	79
116.234.54.1:4022	无效	0	79
116.234.75.1:4022	无效	0	79
116.234.76.164:4022	无效	0	79
116.234.76.1:4022	无效	0	79
116.234.76.21:4022	无效	0	79
116.234.77.1:4022	无效	0	79
116.234.77.244:4022	无效	0	79
116.234.78.1:4022	无效	0	79
116.234.78.45:4022	有效	21	52
116.234.79.218:8188	无效	0	79
116.234.8.113:4022	无效	0	79
116.234.8.1:4022	无效	0	79
116.234.82.1:4022	无效	0	79
116.234.86.1:4022	无效	0	79
116.234.86.92:4022	无效	0	79
116.234.98.125:4022	无效	0	79
116.234.98.1:4022	无效	0	79
116.235.252.164:8888	无效	0	79
116.235.57.19:4022	无效	0	79
116.235.57.1:4022	无效	0	79
116.235.57.41:4022	无效	0	79
116.235.57.47:4022	无效	0	79
116.235.57.59:4022	无效	0	79
116.235.57.60:4022	无效	0	79
116.235.57.63:4022	无效	0	79
116.235.57.69:4022	无效	0	79
116.235.57.71:4022	无效	0	79
