# 20260926_1434_precise_history
# 服务器地址	状态	有效次数	无效次数
106.57.0.128:55555	无效	0	138
106.57.0.167:55555	有效	3	135
106.57.0.1:55555	无效	0	144
106.57.1.157:55555	无效	0	138
106.57.1.1:55555	无效	0	144
106.59.2.113:55555	无效	0	144
106.59.2.116:55555	无效	0	144
106.59.2.119:55555	无效	0	144
106.59.2.136:55555	无效	0	144
106.59.2.140:55555	无效	0	144
106.59.2.14:55555	无效	0	144
106.59.2.17:55555	无效	0	144
106.59.2.183:55555	无效	0	144
106.59.2.184:55555	无效	0	144
106.59.2.187:55555	无效	0	144
106.59.2.193:55555	无效	0	144
106.59.2.1:55555	无效	0	144
106.59.2.214:55555	无效	0	144
106.59.2.216:55555	无效	0	144
106.59.2.218:55555	无效	0	144
106.59.2.227:55555	无效	0	144
106.59.2.232:55555	无效	0	144
106.59.2.236:55555	无效	0	144
106.59.2.241:55555	无效	0	144
106.59.2.255:55555	无效	0	144
106.59.2.49:55555	无效	0	144
106.59.2.54:55555	无效	0	144
106.59.2.72:55555	有效	2	142
106.59.2.73:55555	无效	0	144
106.59.2.80:55555	无效	0	144
106.59.2.90:55555	无效	0	144
106.59.2.96:55555	有效	16	128
106.59.3.122:55555	无效	0	144
106.59.3.12:55555	无效	0	144
106.59.3.138:55555	无效	0	144
106.59.3.173:55555	无效	0	144
106.59.3.180:55555	无效	0	38
106.59.3.18:55555	无效	0	144
106.59.3.190:55555	无效	0	144
106.59.3.197:55555	无效	0	144
106.59.3.1:55555	无效	0	144
106.59.3.203:55555	无效	0	144
106.59.3.233:55555	无效	0	144
106.59.3.246:55555	无效	0	144
106.59.3.2:55555	无效	0	144
106.59.3.66:55555	无效	0	144
106.59.3.79:55555	无效	0	144
106.59.3.88:55555	无效	0	144
116.248.100.160:7777	无效	0	144
116.248.100.57:7777	无效	0	144
116.248.100.90:7777	无效	0	144
116.248.101.138:7777	无效	0	144
116.248.101.216:7777	无效	0	144
116.248.102.159:7777	无效	0	144
116.248.102.220:7777	无效	0	144
116.248.102.30:7777	无效	0	144
116.248.102.85:7777	无效	0	144
116.248.103.237:7777	无效	0	144
116.52.194.243:88	无效	0	144
116.52.25.64:5060	无效	0	144
116.54.75.123:88	无效	0	144
116.55.177.76:4000	无效	0	144
218.63.137.254:5060	无效	0	144
42.243.29.155:5060	无效	0	144
42.243.99.144:5060	无效	0	144
42.243.99.19:5060	无效	0	144
42.243.99.229:5060	无效	0	144
42.243.99.250:5060	无效	0	144
60.160.233.184:4080	无效	0	12
60.160.233.36:4022	无效	0	144
60.161.188.111:5555	无效	0	144
60.161.189.218:5555	无效	0	144
﻿# 2026/05/20 10:28	无效	0	12
106.57.1.141:55555	有效	1	134
106.59.3.185:55555	有效	5	128
106.59.3.55:55555	有效	1	132
bg8tgt.cn:4080	无效	0	132
ynqj1.myshare.pw:55555	无效	0	132
﻿# 2026/05/24 22:34	无效	0	132
106.59.3.141:55555	有效	5	124
106.59.3.120:55555	有效	1	126
106.57.1.113:55555	有效	1	124
106.57.1.103:55555	有效	1	122
106.59.2.137:55555	有效	3	118
106.57.0.246:55555	有效	1	118
106.57.0.226:55555	有效	1	116
106.57.0.80:55555	有效	8	107
106.57.1.247:55555	无效	0	114
106.57.1.95:55555	无效	0	114
106.57.0.203:55555	无效	0	113
106.57.0.212:55555	无效	0	113
106.59.3.73:55555	有效	3	109
106.59.3.238:55555	有效	4	108
106.59.2.85:55555	有效	23	84
106.57.1.193:55555	无效	0	107
106.57.0.213:55555	有效	6	98
106.59.2.32:55555	有效	15	83
106.59.3.231:55555	有效	19	64
106.59.3.171:55555	有效	21	62
106.57.0.86:55555	有效	6	70
106.59.3.191:55555	有效	6	50
106.57.0.17:55555	有效	7	42
106.57.1.223:55555	有效	1	40
106.57.1.173:55555	有效	1	40
106.57.0.85:55555	有效	3	37
106.57.0.153:55555	有效	3	37
106.57.1.134:55555	有效	2	35
106.57.0.76:55555	有效	2	35
106.59.2.152:55555	有效	20	15
106.57.0.160:55555	有效	2	32
106.59.3.228:55555	有效	16	15
106.59.2.108:55555	有效	8	7
106.59.2.196:55555	有效	14	1
106.57.1.106:55555	有效	6	0
