# 20260901_1456_precise_history
# 服务器地址	状态	有效次数	无效次数
112.18.39.91:58889	无效	0	12
112.19.88.1:8899	无效	0	119
112.19.88.97:8899	有效	4	16
117.173.42.16:6666	无效	0	12
117.174.25.254:8188	无效	0	119
117.176.233.63:8888	无效	0	65
171.213.192.184:4000	无效	0	119
171.213.192.188:4000	无效	0	119
171.213.192.1:4000	无效	0	119
171.213.192.222:4000	无效	0	119
171.213.192.8:4000	无效	0	113
171.213.193.1:4000	无效	0	119
171.213.194.140:4000	无效	0	119
171.213.194.1:4000	无效	0	119
171.213.195.1:4000	无效	0	119
171.213.196.1:4000	无效	0	119
171.213.197.1:4000	无效	0	119
171.213.197.37:4000	无效	0	119
171.213.198.1:4000	无效	0	119
171.213.199.1:4000	无效	0	119
171.213.200.10:4000	无效	0	119
171.213.200.1:4000	无效	0	119
171.213.201.1:4000	无效	0	119
171.213.202.1:4000	无效	0	119
171.213.203.1:4000	无效	0	119
171.213.204.1:4000	无效	0	119
171.213.205.1:4000	无效	0	119
171.213.206.1:4000	无效	0	119
171.213.207.1:4000	无效	0	119
171.213.208.1:4000	无效	0	119
171.213.209.1:4000	无效	0	119
171.213.210.183:4000	无效	0	119
171.213.210.1:4000	无效	0	119
171.213.210.241:4000	无效	0	113
171.213.211.1:4000	无效	0	119
171.213.212.1:4000	无效	0	119
171.213.213.126:4000	无效	0	119
171.213.213.1:4000	无效	0	119
171.213.214.1:4000	无效	0	119
171.213.215.1:4000	无效	0	119
171.213.216.1:4000	无效	0	119
171.213.217.1:4000	无效	0	119
171.213.217.234:4000	无效	0	119
171.213.217.62:4000	无效	0	119
171.213.218.1:4000	无效	0	119
171.213.218.89:4000	无效	0	119
171.213.219.1:4000	无效	0	119
171.213.220.1:4000	无效	0	119
171.213.221.131:4000	无效	0	119
171.213.221.1:4000	无效	0	119
171.213.222.1:4000	无效	0	119
171.213.222.82:4000	无效	0	119
171.213.223.1:4000	无效	0	119
171.213.224.1:4000	无效	0	119
171.213.225.1:4000	无效	0	119
171.213.225.229:4000	无效	0	113
171.213.226.1:4000	无效	0	119
171.213.227.145:4000	无效	0	119
171.213.227.1:4000	无效	0	119
171.213.228.1:4000	无效	0	119
171.213.228.25:4000	无效	0	119
171.213.229.157:4000	无效	0	119
171.213.229.1:4000	无效	0	119
171.213.230.13:4000	无效	0	119
171.213.230.1:4000	无效	0	119
171.213.231.147:4000	无效	0	119
171.213.231.1:4000	无效	0	119
171.213.232.159:4000	无效	0	119
171.213.232.1:4000	无效	0	119
171.213.233.1:4000	无效	0	119
171.213.233.228:4000	无效	0	119
171.213.234.177:4000	无效	0	119
171.213.234.1:4000	无效	0	119
171.213.235.1:4000	无效	0	119
171.213.236.1:4000	无效	0	119
171.213.237.1:4000	无效	0	119
171.213.237.61:4000	无效	0	119
171.213.238.189:4000	无效	0	119
171.213.238.196:4000	无效	0	119
171.213.238.1:4000	无效	0	119
171.213.240.1:4000	无效	0	119
171.213.240.200:4000	无效	0	119
171.213.240.230:4000	无效	0	119
171.94.102.1:5000	无效	0	119
171.94.102.87:5000	有效	10	109
171.94.32.1:5000	无效	0	119
171.94.32.217:5000	无效	0	119
183.220.107.138:4022	有效	60	5
183.220.107.1:4022	无效	0	119
183.220.20.17:4000	无效	0	119
183.220.20.17:4321	有效	107	12
183.220.20.1:4321	无效	0	119
183.221.104.180:1723	无效	0	45
183.221.193.1:4022	无效	0	119
183.222.15.202:4321	有效	110	9
183.222.206.14:8096	无效	0	119
183.222.206.195:4000	无效	0	119
223.86.170.98:4500	有效	118	1
47.108.50.176:2355	无效	0	12
171.94.102.155:5000	有效	1	107
aecop43ptvea6epk.0kkkkkt.com:4022	有效	54	53
cdzcyb.x3322.net:1723	无效	0	90
www.0835meiya.com:58889	无效	0	107
aeccovnsukhcddkq.nexusedgeio.com:8888	无效	0	107
sccckj.cn:8899	无效	0	9
www.123168.top:6666	无效	0	107
251.cd37.com:1723	无效	0	107
252.cd37.com:1723	无效	0	107
253.cd37.com:1723	无效	0	107
kjz.net.cn:2355	无效	0	1
bsd.cd37.com:1723	无效	0	107
cdjxjy.cd37.com:1723	无效	0	107
changxie.cd37.com:1723	无效	0	107
class.cd37.com:1723	无效	0	107
cloud.cd37.com:1723	无效	0	107
code.cd37.com:1723	无效	0	107
czrdv.cd37.com:1723	无效	0	107
czshufa.cd37.com:1723	无效	0	107
dns.cd37.com:1723	无效	0	107
email.cd37.com:1723	无效	0	107
exam.cd37.com:1723	无效	0	107
gz.cd37.com:1723	无效	0	107
hanoi.cd37.com:1723	无效	0	107
home.bjiang.cc:8000	无效	0	107
hp.cd37.com:1723	无效	0	107
ikuai.cd37.com:1723	无效	0	107
info.cd37.com:1723	无效	0	107
iptool.cd37.com:1723	无效	0	107
kms.cd37.com:1723	无效	0	107
mail.cd37.com:1723	无效	0	107
nc4.cd37.com:1723	无效	0	107
nginx.cd37.com:1723	无效	0	107
oos.cd37.com:1723	无效	0	107
oss.cd37.com:1723	无效	0	107
owa.cd37.com:1723	无效	0	107
portal.cd37.com:1723	无效	0	107
python.cd37.com:1723	无效	0	107
qy.cd37.com:1723	无效	0	107
rdv.cd37.com:1723	无效	0	107
san.cd37.com:1723	无效	0	107
shufa.cd37.com:1723	无效	0	107
stor.cd37.com:1723	无效	0	107
study.cd37.com:1723	无效	0	107
tetris.cd37.com:1723	无效	0	107
vpn.cd37.com:1723	无效	0	107
wj.cd37.com:1723	无效	0	107
www.aijzw.cn:8899	无效	0	107
yun.cd37.com:1723	无效	0	107
yzsm.cd37.com:1723	无效	0	107
zcsj.cd37.com:1723	无效	0	107
﻿# 2026/05/24 22:34	无效	0	107
vpn.cd37.com.cn:1723	无效	0	106
www.sccckj.cn:8899	有效	70	36
www.kjz.net.cn:2355	无效	0	106
171.213.209.118:4000	无效	0	104
171.213.233.77:4000	无效	0	104
171.213.215.249:4000	无效	0	104
171.213.221.118:4000	无效	0	98
171.213.238.193:4000	无效	0	98
171.213.192.20:4000	无效	0	98
171.213.226.154:4000	无效	0	92
171.213.217.131:4000	无效	0	89
171.213.198.112:4000	无效	0	89
171.213.210.190:4000	无效	0	89
171.213.229.135:4000	无效	0	86
171.213.220.56:4000	无效	0	86
171.213.221.136:4000	无效	0	86
171.213.233.121:4000	无效	0	86
171.213.196.128:4000	无效	0	81
171.213.195.174:4000	无效	0	81
171.213.192.110:4000	无效	0	81
171.213.215.91:4000	无效	0	80
171.213.225.114:4000	无效	0	76
171.213.204.143:4000	无效	0	76
171.213.228.165:4000	无效	0	74
171.213.197.159:4000	无效	0	69
171.213.235.3:4000	无效	0	69
171.213.214.155:4000	无效	0	68
171.213.208.219:4000	无效	0	64
171.213.215.35:4000	无效	0	64
171.213.236.28:4000	无效	0	64
171.213.227.198:4000	无效	0	62
171.213.219.216:4000	无效	0	60
171.213.236.8:4000	无效	0	60
171.213.208.210:4000	无效	0	56
171.213.203.125:4000	无效	0	56
aeccovnsukhcddkq.0kkkkkt.com:8888	无效	0	56
171.213.222.6:4000	无效	0	51
171.213.217.63:4000	无效	0	44
171.213.240.146:4000	无效	0	33
171.213.212.135:4000	无效	0	27
171.213.233.168:4000	无效	0	21
171.213.199.160:4000	无效	0	14
171.213.231.169:4000	无效	0	9
171.213.204.149:4000	无效	0	3
171.213.226.124:4000	无效	0	1
