# 20260903_1428_precise_history
# 服务器地址	状态	有效次数	无效次数
119.165.132.191:6666	无效	0	121
119.165.132.1:6666	无效	0	121
119.166.162.121:4002	无效	0	121
119.166.162.1:4002	无效	0	121
124.129.234.19:4022	无效	0	121
124.129.234.1:4022	无效	0	121
124.129.234.95:4022	无效	0	121
124.135.64.121:22222	无效	0	121
124.135.64.1:22222	无效	0	121
39.65.177.1:4022	无效	0	121
39.77.157.1:4002	无效	0	121
39.77.157.82:4002	无效	0	121
39.77.158.1:4002	无效	0	121
39.77.158.64:4002	无效	0	121
39.77.160.56:4002	无效	0	121
39.77.162.1:4002	无效	0	121
39.77.162.237:4002	无效	0	121
39.77.163.199:4002	无效	0	121
39.77.163.1:4002	无效	0	121
39.77.163.38:4002	无效	0	121
39.77.20.145:4002	无效	0	121
39.77.20.147:4002	无效	0	121
39.77.20.154:4002	有效	10	111
39.77.20.188:4002	无效	0	121
39.77.20.1:4002	无效	0	121
39.77.21.1:4002	无效	0	121
39.77.21.4:4002	无效	0	121
39.77.22.1:4002	无效	0	121
39.77.24.138:4002	无效	0	121
39.77.24.1:4002	无效	0	121
39.77.24.205:4002	无效	0	121
39.77.25.1:4002	无效	0	121
39.77.25.64:4002	无效	0	121
39.77.252.103:4002	无效	0	121
39.77.252.138:4002	无效	0	121
39.77.252.1:4002	无效	0	121
39.77.26.122:4002	无效	0	121
39.77.26.1:4002	无效	0	121
39.77.26.54:4002	无效	0	121
39.77.26.6:4002	无效	0	121
39.77.27.109:4002	无效	0	121
39.77.27.115:4002	无效	0	121
39.77.27.1:4002	无效	0	121
39.77.27.246:4002	无效	0	121
39.77.75.225:4000	有效	14	107
39.77.94.1:4002	无效	0	121
39.77.94.75:4002	无效	0	121
39.77.95.1:4002	无效	0	121
39.77.95.74:4002	有效	24	97
39.89.122.1:8188	无效	0	121
39.89.122.41:8188	无效	0	121
39.89.184.1:8188	无效	0	121
39.89.184.21:8188	无效	0	121
39.77.158.228:4002	有效	64	46
39.77.163.252:4002	有效	20	90
39.77.20.18:4002	有效	11	99
﻿# 2026/05/24 22:34	无效	0	109
39.77.160.143:4002	有效	18	90
39.77.23.85:4002	有效	16	92
39.77.161.47:4002	有效	3	93
39.77.25.221:4002	有效	4	92
39.77.24.219:4002	有效	18	78
39.77.26.255:4002	有效	11	85
39.77.163.138:4002	有效	2	90
39.77.158.14:4002	有效	2	90
39.77.20.85:4002	有效	1	87
39.77.163.179:4002	有效	7	80
39.77.159.46:4002	有效	2	85
39.77.21.53:4002	有效	5	80
124.135.64.35:22222	有效	66	19
39.77.159.240:4002	有效	27	54
39.77.163.166:4002	有效	2	78
39.77.24.206:4002	无效	0	80
39.77.27.90:4002	有效	3	75
39.77.20.62:4002	有效	3	75
39.77.22.252:4002	有效	3	75
39.77.26.135:4002	有效	3	75
39.77.159.13:4002	有效	4	70
39.77.22.235:4002	有效	2	71
39.77.26.51:4002	有效	2	69
39.77.26.149:4002	有效	2	69
39.77.24.74:4002	有效	2	69
39.77.24.35:4002	有效	2	69
39.77.26.10:4002	有效	8	56
39.77.158.96:4002	有效	8	56
39.77.158.70:4002	有效	7	57
39.77.163.221:4002	有效	26	34
39.77.23.30:4002	有效	6	54
39.77.25.231:4002	有效	1	56
39.77.20.99:4002	有效	1	56
39.77.26.162:4002	有效	5	49
39.77.163.227:4002	有效	7	47
39.77.26.194:4002	有效	3	51
39.77.159.145:4002	有效	27	27
39.77.21.198:4002	有效	3	51
39.77.163.126:4002	有效	2	49
39.77.20.214:4002	有效	7	40
39.77.26.109:4002	有效	10	15
39.77.22.26:4002	有效	24	0
39.77.22.4:4002	有效	7	12
39.77.26.75:4002	有效	19	0
