# 20260704_1136_precise_history
# 服务器地址	状态	有效次数	无效次数
100.64.12.95:85	无效	0	61
100.64.4.147:85	无效	0	61
104.21.52.5:8800	无效	0	33
104.21.86.71:8081	无效	0	61
106.111.127.69:8686	无效	0	61
113.101.222.112:8188	无效	0	61
113.101.222.236:8188	无效	0	61
113.101.245.1:9988	无效	0	61
113.101.245.228:9988	无效	0	61
113.101.245.46:9988	无效	0	61
113.101.245.54:9988	有效	13	48
113.101.28.146:8889	无效	0	61
113.101.28.194:8889	无效	0	61
113.101.28.242:8889	无效	0	61
113.102.19.37:10001	无效	0	61
113.103.3.173:4000	无效	0	61
113.103.53.1:8686	无效	0	61
113.104.184.1:7088	无效	0	61
113.104.185.17:7088	无效	0	61
113.104.185.1:7088	无效	0	61
113.104.185.20:7088	无效	0	61
113.104.186.129:7088	有效	2	59
113.104.186.145:7088	无效	0	61
113.104.186.154:7088	有效	8	47
113.104.186.1:7088	无效	0	61
113.104.187.129:7088	无效	0	61
113.104.187.142:7088	无效	0	61
113.104.187.157:7088	无效	0	61
113.104.187.158:7088	无效	0	61
113.104.187.179:7088	无效	0	61
113.104.187.1:7088	无效	0	61
113.104.236.1:7088	无效	0	61
113.104.236.28:7088	无效	0	55
113.104.237.1:7088	无效	0	61
113.104.238.1:7088	无效	0	61
113.104.238.23:7088	有效	5	50
113.104.239.1:7088	无效	0	61
113.104.239.64:7088	无效	0	61
113.104.4.54:4500	无效	0	12
113.104.4.54:500	无效	0	12
113.105.209.198:8188	无效	0	61
113.106.171.234:8899	无效	0	61
113.110.77.43:8188	有效	12	29
113.119.24.121:58888	无效	0	61
113.119.24.176:58888	无效	0	61
113.119.24.1:58888	无效	0	61
113.119.24.206:58888	无效	0	61
113.119.24.211:58888	无效	0	61
113.119.24.60:58888	无效	0	61
113.119.24.87:58888	有效	2	59
113.119.25.135:58888	无效	0	61
113.119.25.145:58888	无效	0	61
113.119.25.1:58888	无效	0	61
113.119.25.235:58888	无效	0	61
113.119.25.24:58888	无效	0	61
113.119.25.251:58888	无效	0	61
113.119.25.4:58888	有效	17	44
113.119.26.122:58888	无效	0	61
113.119.26.142:58888	无效	0	61
113.119.26.152:58888	无效	0	55
113.119.26.16:58888	无效	0	61
113.119.26.179:58888	无效	0	61
113.119.26.183:58888	无效	0	61
113.119.26.196:58888	无效	0	61
113.119.26.198:58888	无效	0	61
113.119.26.1:58888	无效	0	61
113.119.26.210:58888	无效	0	61
113.119.26.215:58888	无效	0	61
113.119.26.250:58888	无效	0	61
113.119.26.64:58888	无效	0	61
113.119.27.119:58888	无效	0	61
113.119.27.131:58888	无效	0	61
113.119.27.134:58888	无效	0	61
113.119.27.135:58888	无效	0	55
113.119.27.137:58888	无效	0	61
113.119.27.13:58888	无效	0	61
113.119.27.140:58888	无效	0	61
113.119.27.163:58888	无效	0	61
113.119.27.173:58888	无效	0	61
113.119.27.182:58888	无效	0	61
113.119.27.199:58888	无效	0	61
113.119.27.1:58888	无效	0	61
113.119.27.224:58888	无效	0	61
113.119.27.243:58888	无效	0	61
113.119.27.244:58888	无效	0	61
113.119.27.252:58888	无效	0	61
113.119.27.62:58888	无效	0	61
113.119.27.90:58888	无效	0	61
