# 20260913_1416_precise_history
# 服务器地址	状态	有效次数	无效次数
100.66.4.60:8000	无效	0	131
100.66.73.77:8000	无效	0	131
110.72.52.124:8884	无效	0	131
113.12.240.55:4022	无效	0	131
113.12.63.218:10001	无效	0	131
113.12.63.61:10001	无效	0	131
113.12.63.77:10001	无效	0	131
113.13.173.38:4022	无效	0	131
113.13.242.1:4022	无效	0	131
113.13.243.1:4022	无效	0	131
113.13.243.60:4022	无效	0	131
113.17.153.91:4000	无效	0	131
113.17.66.143:40222	无效	0	131
113.17.66.188:40222	无效	0	131
113.17.66.72:40222	无效	0	131
113.17.67.138:4000	无效	0	131
116.8.80.176:9003	无效	0	131
116.8.82.57:9003	无效	0	131
116.9.3.1:4000	无效	0	131
116.9.3.40:4000	无效	0	131
116.9.3.97:4000	无效	0	131
116.9.34.125:8188	无效	0	105
116.9.34.139:4000	有效	4	121
116.9.34.164:4000	无效	0	131
116.9.34.177:4000	无效	0	131
116.9.34.1:4000	无效	0	131
116.9.34.226:4000	无效	0	131
116.9.34.74:4000	无效	0	131
116.9.4.1:4000	无效	0	131
124.226.132.11:19090	无效	0	131
124.226.132.1:19090	无效	0	131
124.226.132.38:19090	无效	0	131
124.226.233.246:4022	无效	0	131
124.227.196.214:9938	无效	0	12
171.104.106.167:50112	无效	0	131
171.104.106.168:50112	无效	0	131
171.104.106.1:50112	无效	0	131
171.104.106.250:50112	无效	0	131
171.104.106.83:50112	无效	0	131
171.104.106.97:50112	无效	0	131
171.104.107.3:50112	无效	0	131
171.105.176.133:4022	无效	0	131
171.105.176.188:4022	无效	0	131
171.105.176.1:4022	无效	0	131
171.105.177.1:4022	无效	0	131
171.105.178.1:4022	无效	0	131
171.105.178.216:4022	无效	0	131
171.105.179.1:4022	无效	0	131
171.105.180.133:4022	无效	0	131
171.105.180.1:4022	无效	0	131
171.105.181.118:4022	无效	0	131
171.105.181.1:4022	无效	0	131
171.105.182.1:4022	无效	0	131
171.105.182.217:4022	无效	0	131
171.105.183.1:4022	无效	0	131
171.105.183.209:4022	无效	0	131
171.105.201.163:4022	无效	0	131
171.105.202.154:4056	无效	0	12
171.107.72.101:4000	无效	0	131
171.107.72.140:4000	无效	0	131
171.107.72.1:4000	无效	0	131
171.107.72.86:4000	无效	0	131
171.109.52.191:4022	无效	0	131
171.109.52.231:6666	无效	0	131
171.109.92.255:4022	无效	0	131
180.137.27.116:8088	无效	0	131
180.137.27.5:8088	无效	0	131
180.139.220.14:18888	无效	0	131
180.139.220.1:18888	无效	0	131
180.139.220.237:18888	无效	0	131
180.139.89.124:18888	无效	0	131
180.139.89.245:18888	无效	0	131
180.140.153.1:4022	无效	0	131
180.140.153.40:4022	无效	0	131
180.140.188.62:4022	无效	0	131
180.141.130.4:5566	无效	0	131
180.143.141.178:10000	无效	0	131
220.173.254.128:10001	无效	0	131
220.173.254.96:6665	无效	0	131
220.173.56.45:8188	有效	12	103
222.218.122.114:8188	无效	0	131
222.218.122.147:8188	无效	0	131
222.218.122.1:8188	无效	0	131
222.218.122.23:8188	无效	0	131
222.218.122.56:8188	无效	0	131
222.218.122.93:8188	无效	0	131
222.83.161.102:9003	无效	0	131
222.83.161.11:9003	无效	0	131
222.83.161.130:9003	无效	0	131
222.83.161.177:9003	无效	0	131
222.83.161.190:9003	无效	0	131
222.83.161.196:9003	无效	0	131
222.83.161.1:9003	无效	0	131
222.83.161.23:9003	无效	0	125
222.83.161.240:9003	无效	0	131
222.83.161.245:9003	无效	0	131
222.83.161.26:9003	无效	0	131
222.83.161.27:9003	无效	0	131
222.83.161.53:9003	无效	0	131
222.83.161.98:9003	无效	0	131
58.59.247.230:4022	无效	0	131
58.59.247.230:4023	无效	0	131
﻿# 2026/05/20 10:28	无效	0	12
www.vvlcc.cn:8188	有效	43	76
jason.25u.com:40222	无效	0	3
54ok.top:9003	无效	0	119
h.csgokey.cn:8188	无效	0	119
www.cnhzm.net:4000	无效	0	119
cnhzm.cn:4000	无效	0	119
xxsedu.top:8000	无效	0	119
www.yichengfood.net:9938	无效	0	119
lyg558.dpdns.org:4056	无效	0	119
www.8700956.xyz:18888	无效	0	119
www.jtmi.vip:10001	有效	3	116
96335.top:4566	无效	0	119
ha.cnhzm.cn:4000	无效	0	119
jcstudio.myqnapcloud.com:40222	无效	0	119
lt.96335.top:4566	无效	0	119
nas.cnhzm.cn:4000	无效	0	119
viclai.top:9003	无效	0	119
wp.96335.top:4566	无效	0	119
yd.96335.top:4566	无效	0	119
﻿# 2026/05/24 20:42	无效	0	119
jiangxun.sendsmtp.com:40222	有效	2	116
222.83.161.128:9003	无效	0	108
222.83.161.111:9003	无效	0	104
222.83.161.119:9003	无效	0	104
222.83.161.165:9003	无效	0	101
222.83.161.202:9003	有效	1	97
220.173.56.248:8188	无效	0	79
116.9.34.129:4000	有效	4	74
116.9.34.79:4000	有效	3	69
szextshort.weixin.qq.com.gtbg.xxsedu.top:8000	无效	0	64
gxhzxf.cn:10001	无效	0	38
171.105.179.146:4022	有效	3	24
www.8700956.top:18888	无效	0	24
171.105.179.77:4022	有效	7	16
171.105.178.34:4022	有效	2	13
171.105.178.46:4022	有效	1	12
171.105.177.91:4022	有效	8	4
171.105.178.66:4022	有效	3	1
