# 20260810_1123_precise_history
# 服务器地址	状态	有效次数	无效次数
103.62.49.170:4022	无效	0	80
103.85.85.48:30024	无效	0	12
106.111.244.12:58099	有效	40	0
106.111.244.23:58099	有效	12	54
106.111.244.24:58099	有效	16	76
106.111.244.25:58099	无效	0	97
112.80.121.76:8118	无效	0	97
114.217.183.130:8888	无效	0	12
114.218.93.201:8800	无效	0	97
114.218.93.202:8800	无效	0	97
114.220.17.14:4022	无效	0	97
114.220.84.108:8887	无效	0	97
114.222.251.112:4023	无效	0	97
114.222.251.113:4023	无效	0	97
114.222.8.67:8001	有效	12	60
114.223.251.166:8888	有效	1	96
114.226.0.1:4022	无效	0	97
114.226.0.210:4022	无效	0	97
114.226.16.1:4022	无效	0	97
114.226.16.242:4022	无效	0	97
114.226.2.171:4022	无效	0	97
114.226.2.174:4022	无效	0	97
114.226.2.1:4022	无效	0	97
114.226.205.1:4022	无效	0	97
114.226.205.65:4022	无效	0	97
114.226.212.128:8787	有效	6	91
114.226.212.130:8787	有效	6	91
114.226.212.138:8787	有效	27	64
114.226.212.140:8787	有效	44	47
114.226.212.147:8787	有效	10	87
114.226.212.148:8787	有效	6	70
114.226.212.149:8787	无效	0	97
114.226.212.167:8787	无效	0	97
114.226.212.170:5566	无效	0	97
114.226.212.170:8787	无效	0	97
114.226.212.171:8787	无效	0	97
114.226.212.175:8787	无效	0	97
114.226.212.177:8787	无效	0	97
114.226.212.178:8787	无效	0	97
114.226.212.191:8787	有效	8	89
114.226.212.1:8787	无效	0	97
114.226.231.1:8787	无效	0	97
114.226.231.207:8787	无效	0	97
114.226.231.231:8787	无效	0	97
114.226.5.1:4022	无效	0	97
114.226.5.202:4022	无效	0	97
114.227.135.79:8095	无效	0	97
114.227.177.225:65432	有效	2	95
114.230.110.128:8888	无效	0	97
114.230.110.178:8888	无效	0	97
114.231.194.163:8888	无效	0	97
114.231.203.72:8800	无效	0	97
114.231.33.159:8181	无效	0	97
114.231.59.139:8888	无效	0	12
114.232.118.219:8818	无效	0	97
114.232.118.246:8818	无效	0	97
114.233.189.170:8887	无效	0	97
114.233.189.1:8887	无效	0	97
114.233.242.91:4000	有效	6	91
114.233.64.137:4022	无效	0	97
114.237.147.33:19999	无效	0	97
114.238.59.117:4000	无效	0	97
114.238.59.173:4000	有效	6	89
114.238.59.183:4000	无效	0	97
114.238.59.184:4000	无效	0	97
114.238.59.19:4000	无效	0	97
114.238.59.1:4000	无效	0	97
114.238.59.203:4000	无效	0	97
114.238.59.21:4000	无效	0	97
114.238.59.230:4000	无效	0	97
114.238.59.233:4000	无效	0	97
114.238.59.27:4000	无效	0	97
114.238.59.37:4000	无效	0	97
114.238.59.74:4000	无效	0	97
114.66.55.23:30024	无效	0	97
116.233.24.214:4022	无效	0	97
116.233.38.8:8888	无效	0	97
116.233.63.78:5555	无效	0	97
116.235.57.79:4022	无效	0	97
117.63.248.237:8095	无效	0	97
117.81.107.104:4000	无效	0	97
117.81.138.118:888	无效	0	97
117.81.138.150:888	无效	0	97
117.81.138.18:888	无效	0	97
117.81.138.1:888	无效	0	97
117.81.2.146:8800	无效	0	72
117.84.98.99:32400	无效	0	12
117.84.98.99:7547	无效	0	12
117.85.178.15:5888	有效	9	88
117.85.40.66:5888	无效	0	97
117.85.60.164:4022	无效	0	97
117.86.123.215:8800	无效	0	97
