# 20260815_1031_precise_history
# 服务器地址	状态	有效次数	无效次数
1.192.240.1:8188	无效	0	102
1.192.240.99:8188	无效	0	102
1.192.241.123:8188	无效	0	102
1.192.241.1:8188	无效	0	102
1.192.241.74:8188	有效	14	82
1.192.242.184:8188	无效	0	102
1.192.242.1:8188	无效	0	102
1.192.246.1:8188	无效	0	102
1.192.247.1:8188	无效	0	102
1.192.252.38:4000	无效	0	102
1.192.253.138:4000	无效	0	102
1.193.36.1:8800	无效	0	102
1.193.37.1:8800	无效	0	102
1.193.37.99:8800	无效	0	102
1.193.56.1:8800	无效	0	102
1.193.57.1:8800	无效	0	102
1.193.57.212:8800	无效	0	102
1.193.57.243:8800	无效	0	102
1.193.58.1:8800	无效	0	102
1.193.58.36:8800	无效	0	102
1.193.59.141:8800	无效	0	102
1.193.59.1:8800	无效	0	102
1.193.63.1:8800	无效	0	102
1.193.63.96:8800	有效	33	63
1.194.158.129:4011	无效	0	12
1.195.200.1:8822	无效	0	102
1.195.201.1:8822	无效	0	102
1.195.202.1:8822	无效	0	102
1.195.203.1:8822	无效	0	102
1.195.204.1:8822	无效	0	102
1.195.204.32:8822	无效	0	102
1.195.205.1:8822	无效	0	102
1.195.206.1:8822	无效	0	102
1.195.206.43:8822	无效	0	102
1.195.206.77:8822	无效	0	102
1.195.207.1:8822	无效	0	102
1.195.208.1:8822	无效	0	102
1.195.209.1:8822	无效	0	102
1.195.210.1:8822	无效	0	102
1.195.211.1:8822	无效	0	102
1.195.212.144:8822	无效	0	102
1.195.212.1:8822	无效	0	102
1.195.213.1:8822	无效	0	102
1.195.214.1:8822	无效	0	102
1.195.215.1:8822	无效	0	102
1.195.215.84:8822	无效	0	102
1.195.216.144:8822	无效	0	102
1.195.216.1:8822	无效	0	102
1.195.216.52:8822	无效	0	102
1.195.217.156:8822	无效	0	102
1.195.217.1:8822	无效	0	102
1.195.218.1:8822	无效	0	102
1.195.219.1:8822	无效	0	102
1.195.220.1:8822	无效	0	102
1.195.221.159:8822	无效	0	102
1.195.221.1:8822	无效	0	102
1.195.222.140:8822	无效	0	102
1.195.222.1:8822	无效	0	102
1.195.223.1:8822	无效	0	102
1.195.224.1:8822	无效	0	102
1.195.224.250:8822	无效	0	102
1.195.225.1:8822	无效	0	102
1.195.226.1:8822	无效	0	102
1.195.227.1:8822	无效	0	102
1.195.228.1:8822	无效	0	102
1.195.229.176:8822	无效	0	102
1.195.229.1:8822	无效	0	102
1.195.230.1:8822	无效	0	102
1.195.231.1:8822	无效	0	102
1.195.231.53:8822	无效	0	102
1.196.152.100:2001	无效	0	102
1.196.152.19:2001	无效	0	102
1.196.152.1:2001	无效	0	102
1.196.152.212:2001	无效	0	102
1.196.152.23:2001	无效	0	102
1.196.152.254:2001	无效	0	102
1.196.152.254:2002	无效	0	102
1.196.152.254:2010	无效	0	102
1.196.152.254:2012	无效	0	102
1.196.152.27:2001	无效	0	102
1.196.152.44:2001	无效	0	102
1.196.152.44:2002	无效	0	102
1.196.152.44:2010	无效	0	102
1.196.152.44:2012	无效	0	102
1.196.152.64:2001	无效	0	102
1.196.152.85:2001	无效	0	102
