# 20260626_1230_precise_slow
# 服务器地址	速度
www.zhms.tk:5050	275.87 KB/s
xmzj.f3322.net:8188	245.27 KB/s
hhska.3322.org:8096	242.69 KB/s
171.213.204.197:4022	129.71 KB/s
171.213.209.111:4022	126.73 KB/s
171.213.236.5:8188	125.45 KB/s
171.213.145.117:8188	124.31 KB/s
171.213.136.212:8188	123.80 KB/s
www.160638.xyz:8888	122.29 KB/s
171.213.214.155:4000	121.45 KB/s
171.213.236.21:8188	113.84 KB/s
bb.ydcb.top:40000	91.96 KB/s
www.yanbingg.com:1888	66.35 KB/s
www.yanbingg.com:18888	66.34 KB/s
vpn.ydcb.top:40000	61.51 KB/s
