# 自动生成于 2026/05/22 20:50
# 城市: 上海电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

116.230.24.1:30100,10
116.234.75.1:4022,12
116.237.68.1:4022,10
116.237.87.1:8188,10
116.237.188.1:7086,12
116.237.226.1:7086,12
123.60.75.1:540,10
180.157.180.1:8889,10
180.159.68.1:4022,10
180.165.8.1:4022,12
180.165.11.1:4022,12
180.165.13.1:4022,12
180.165.17.1:4022,12
180.165.27.1:8686,12
180.165.29.1:4022,12
218.1.140.1:4022,12
218.79.218.1:8899,10
222.70.240.1:19999,12
223.167.230.1:4022,10
223.167.245.1:8001,12
