# 自动生成于 2026/05/22 20:50
# 城市: 北京联通
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

111.193.237.1:9999,12
111.194.234.1:4022,12
111.196.131.1:20000,12
114.241.215.1:4022,12
114.241.222.1:4022,12
114.254.32.1:18888,10
114.254.33.1:18888,12
114.254.35.1:18888,12
114.254.36.1:8888,10
114.254.38.1:18888,12
114.254.39.1:18888,12
114.254.80.1:8888,12
114.254.81.1:4022,12
114.254.81.1:8888,12
114.254.84.1:8888,10
114.254.87.1:8888,12
114.254.89.1:8888,12
123.113.37.1:4022,12
123.118.62.1:8686,10
221.219.97.1:4022,12
