# 自动生成于 2026/05/22 20:50
# 城市: 四川电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

118.113.145.1:7788,10
171.88.107.1:8118,10
171.95.189.1:8188,10
171.213.137.1:8188,10
171.213.141.1:8188,10
171.213.145.1:8188,10
171.213.148.1:8188,12
171.213.152.1:8188,10
171.213.209.1:55555,12
171.213.211.1:5555,10
171.213.214.1:4022,10
171.213.220.1:4000,12
171.213.221.1:4022,10
171.213.222.1:4022,10
171.213.229.1:5555,12
171.213.237.1:8188,12
182.135.66.1:1888,10
182.135.66.1:18888,10
182.136.166.1:8188,10
182.140.110.1:5050,10
