# 自动生成于 2026/05/21 14:16
# 城市: 四川移动
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

112.19.88.1:8899,10
171.94.102.1:5000,10
171.213.192.1:4000,12
171.213.196.1:4000,12
171.213.204.1:4000,12
171.213.206.1:4000,12
171.213.211.1:4000,12
171.213.215.1:4000,12
171.213.216.1:4000,12
171.213.224.1:4000,12
171.213.227.1:4000,12
171.213.228.1:4000,12
171.213.230.1:4000,12
171.213.235.1:4000,12
171.213.240.1:4000,12
183.220.20.1:4321,10
183.220.107.1:4022,10
183.221.193.1:4022,12
183.222.15.1:4321,10
223.86.170.1:4500,10
