# 自动生成于 2026/05/21 14:16
# 城市: 山东电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

113.120.168.1:4022,12
113.120.170.1:4022,12
113.120.171.1:4022,10
113.128.132.1:8688,12
113.128.202.1:4022,10
122.5.221.1:60233,10
123.168.94.1:4000,10
123.168.95.1:4000,12
123.168.210.1:6777,10
140.250.221.1:4022,12
144.123.77.1:8188,12
144.255.17.1:6688,12
144.255.18.1:6688,12
144.255.31.1:6688,10
144.255.32.1:8288,12
144.255.40.1:4022,12
144.255.40.1:7788,12
144.255.44.1:7788,10
144.255.81.1:8664,12
182.34.1.1:4022,12
