# 20260521_0138_precise
# 服务器地址	速度	速度(KB/s)
http://117.85.178.15:5888	527.00 KB/s	527.0
http://121.232.71.87:8888	508.58 KB/s	508.6
http://114.226.212.128:8787	492.59 KB/s	492.6
http://117.91.123.155:9000	481.01 KB/s	481.0
http://180.122.53.243:4022	480.47 KB/s	480.5
http://114.226.212.191:8787	478.54 KB/s	478.5
http://114.227.177.225:65432	478.22 KB/s	478.2
http://114.226.212.130:8787	478.16 KB/s	478.2
http://49.77.20.161:8118	476.50 KB/s	476.5
http://114.238.59.173:4000	472.66 KB/s	472.7
http://121.230.179.192:8802	463.99 KB/s	464.0
http://114.222.8.67:8001	459.28 KB/s	459.3
http://49.77.142.210:888	457.63 KB/s	457.6
http://117.91.123.155:8100	455.81 KB/s	455.8
http://222.95.12.2:4022	453.39 KB/s	453.4
http://180.109.75.116:4022	447.38 KB/s	447.4
http://121.226.105.44:6888	439.10 KB/s	439.1
http://49.79.83.221:58888	429.57 KB/s	429.6
http://49.71.158.19:4022	407.55 KB/s	407.6
http://49.65.86.7:58888	352.70 KB/s	352.7
