# 20260524_2047_precise
# 服务器地址	速度
180.109.75.116:4022	1.02 MB/s
121.226.105.44:6888	1.01 MB/s
49.76.20.239:8001	1.01 MB/s
106.111.244.24:58099	1015.34 KB/s
j1900.silicaite.com:58888	989.02 KB/s
202.8090pc.cn:58888	973.55 KB/s
iptv.feng.js.cn:58099	963.12 KB/s
www.foreveryyl.top:8001	926.92 KB/s
zp.zshwx.cn:8888	925.00 KB/s
49.77.104.95:8554	875.26 KB/s
y1nf0x.myds.me:5888	835.39 KB/s
lygzou.asuscomm.com:19999	830.91 KB/s
vs.heylc.com:4022	828.22 KB/s
nas2.bycza.top:9000	820.72 KB/s
jw318.synology.me:888	820.48 KB/s
nas2.bycza.top:8100	820.18 KB/s
fnas-v4.17271201.xyz:4000	807.24 KB/s
njbobo.mycloudnas.com:4022	763.40 KB/s
ikuai-v4.17271201.xyz:4000	695.04 KB/s
t.7ze.top:4022	630.40 KB/s
dx.joygala.cn:8118	439.67 KB/s
121.237.245.48:8888	356.14 KB/s
114.226.212.140:8787	343.52 KB/s
istoreos.sclvip.top:5566	334.07 KB/s
fengwei888888.myds.me:58099	333.50 KB/s
h.vanshun.com:8802	332.71 KB/s
home.amucn.net:8800	313.24 KB/s
