# 自动生成于 2026/05/22 20:50
# 城市: 河北电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

27.184.64.1:58888,12
27.184.65.1:58888,12
27.189.126.1:4022,12
27.189.127.1:4022,12
27.191.203.1:19999,12
106.8.190.1:8189,10
106.116.126.1:4022,10
106.116.127.1:4022,12
106.116.241.1:9999,12
106.116.242.1:9999,12
106.118.20.1:8188,12
106.118.21.1:8188,12
106.118.22.1:8188,12
106.118.23.1:8188,12
111.224.74.1:4022,12
111.224.75.1:4022,12
111.226.211.1:8188,10
111.226.232.1:10010,10
111.227.194.1:4022,12
111.227.202.1:4022,12
