# 自动生成于 2026/05/21 14:16
# 城市: 浙江电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

36.24.76.1:8888,12
36.24.79.1:8888,12
36.24.191.1:8888,12
36.24.201.1:8888,12
36.27.63.1:4022,12
115.203.166.1:8877,12
115.210.210.1:8001,10
115.211.3.1:8001,12
125.107.250.1:5522,12
125.114.213.1:50000,10
125.115.205.1:4023,10
125.118.70.1:4022,12
125.118.78.1:4022,12
183.130.82.1:50000,12
183.141.15.1:9999,10
183.151.27.1:4022,12
183.156.68.1:4022,12
183.156.70.1:4022,12
183.157.18.1:8686,10
220.190.68.1:8888,12
