# 自动生成于 2026/05/22 20:50
# 城市: 海南电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

36.101.0.1:554,12
36.101.1.1:554,12
36.101.3.1:554,12
36.101.5.1:554,12
59.50.159.1:3333,12
112.66.66.1:8188,12
112.66.70.1:8188,12
112.66.71.1:8188,12
112.66.77.1:8188,12
112.66.81.1:8188,12
112.66.87.1:8188,12
112.66.88.1:8188,12
112.66.95.1:8188,12
112.66.98.1:4022,10
112.66.103.1:4022,12
220.174.32.1:8888,12
220.174.47.1:8888,12
223.198.240.1:4000,12
223.198.241.1:4000,12
223.198.246.1:4000,12
