# 自动生成于 2026/05/21 14:16
# 城市: 辽宁联通
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

60.17.79.1:40001,12
61.176.10.1:40001,12
61.176.11.1:40001,12
61.176.24.1:40001,12
113.225.131.1:8888,12
113.225.153.1:8888,12
113.225.178.1:8888,12
116.2.161.1:4010,12
116.2.162.1:4010,12
116.2.163.1:4010,10
116.2.164.1:4010,12
116.2.167.1:4010,12
116.2.168.1:4010,12
123.191.3.1:1111,10
123.191.12.1:1111,12
175.164.130.1:4010,12
175.164.133.1:4010,12
175.164.148.1:4010,12
175.164.150.1:4010,12
175.164.152.1:4010,12
