# 自动生成于 2026/05/21 14:16
# 城市: 陕西电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段(/stat或/status), 2/12=C段范围(/stat或/status)

1.83.156.1:26000,10
1.85.224.1:8686,12
1.85.226.1:8686,12
1.85.227.1:8686,12
1.85.228.1:8686,12
1.85.229.1:8686,12
1.85.231.1:8686,12
36.46.98.1:8025,10
117.39.32.1:4022,12
117.39.33.1:4022,12
117.39.35.1:4022,12
117.39.36.1:4022,12
117.39.38.1:4022,12
117.39.39.1:4022,12
124.114.100.1:6789,12
124.114.101.1:6789,12
124.116.170.1:8081,12
219.144.112.1:8888,12
219.144.113.1:8888,12
222.90.31.1:8888,10
