# 20260515_1042_quick_checked
# IP地址	速度	测试有效次数	测试无效次数
113.9.193.186:1688	[X]	0	4
60.219.228.150:4000	[X]	0	4
113.9.171.236:1688	[X]	0	4
113.5.209.36:4022	[X]	0	4
113.5.210.107:4022	[X]	0	4
221.206.38.66:4022	[X]	0	4
60.219.228.120:4001	[X]	0	4
60.219.228.150:4001	[X]	0	4
113.4.186.2:4000	[X]	0	4
113.2.165.170:4022	[X]	0	4
113.3.247.133:4022	[X]	0	4
122.159.63.108:6666	[X]	0	4
113.2.163.65:4022	[X]	0	4
113.9.214.231:1688	[X]	0	4
113.2.146.88:4022	[X]	0	4
122.159.48.86:8888	[X]	0	4
113.4.188.135:4001	[X]	0	4
113.2.147.114:4022	[X]	0	4
113.2.189.126:4022	[X]	0	4
113.2.147.115:4022	[X]	0	4
113.3.244.208:4022	[X]	0	4
113.2.165.172:4022	[X]	0	4
122.159.31.148:7777	[X]	0	4
122.158.81.51:4022	[X]	0	4
122.159.63.108:8888	[X]	0	4
113.2.189.137:4022	[X]	0	4
113.5.216.201:4022	[X]	0	4
