四川电信-组播1,#genre#
四川卫视,http://171.88.107.244:8118/udp/239.93.0.169:5140
四川卫视,http://171.88.107.244:8118/udp/239.94.0.60:5140
四川卫视4K,http://171.88.107.244:8118/udp/239.94.0.115:5140
四川卫视,http://171.88.107.244:8118/udp/239.94.0.59:5140

四川乡村频道,http://171.88.107.244:8118/udp/239.93.0.52:5140
四川乡村高清,http://171.88.107.244:8118/udp/239.94.0.77:5140
四川妇女儿童,http://171.88.107.244:8118/udp/239.93.0.219:5140
四川峨眉电影,http://171.88.107.244:8118/udp/239.93.0.252:5140
四川影视文艺,http://171.88.107.244:8118/udp/239.93.0.166:5140
四川文化旅游,http://171.88.107.244:8118/udp/239.93.1.102:5140
四川新闻频道,http://171.88.107.244:8118/udp/239.93.0.47:5140
四川科教频道,http://171.88.107.244:8118/udp/239.93.42.44:5140
四川经济频道,http://171.88.107.244:8118/udp/239.93.1.101:5140

CCTV-1综合,http://171.88.107.244:8118/udp/239.93.0.184:5140
CCTV-1综合,http://171.88.107.244:8118/udp/239.94.0.1:5140
CCTV-1综合,http://171.88.107.244:8118/udp/239.94.2.34:5140
CCTV-1综合,http://171.88.107.244:8118/udp/239.94.0.31:5140
CCTV-1综合,http://171.88.107.244:8118/udp/239.94.2.69:5140
CCTV-2财经,http://171.88.107.244:8118/udp/239.93.1.23:6000
CCTV-2财经,http://171.88.107.244:8118/udp/239.94.0.2:5140
CCTV-2财经,http://171.88.107.244:8118/udp/239.94.2.70:5140
CCTV-2财经,http://171.88.107.244:8118/udp/239.94.2.35:5140
CCTV-3综艺,http://171.88.107.244:8118/udp/239.93.1.11:2223
CCTV-3综艺,http://171.88.107.244:8118/udp/239.94.0.3:5140
CCTV-3综艺,http://171.88.107.244:8118/udp/239.94.0.32:5140
CCTV-4中文国际,http://171.88.107.244:8118/udp/239.93.1.105:5140
CCTV-4中文国际,http://171.88.107.244:8118/udp/239.94.0.4:5140
CCTV-5体育,http://171.88.107.244:8118/udp/239.93.42.37:5140
CCTV-5体育,http://171.88.107.244:8118/udp/239.94.0.5:5140
CCTV-5体育,http://171.88.107.244:8118/udp/239.94.0.33:5140
CCTV-5体育,http://171.88.107.244:8118/udp/239.94.2.30:5140
CCTV-5+体育赛事,http://171.88.107.244:8118/udp/239.93.1.36:8004
CCTV-5+体育赛事,http://171.88.107.244:8118/udp/239.94.0.19:5140
CCTV-5+体育赛事,http://171.88.107.244:8118/udp/239.94.0.23:5140
CCTV-6电影,http://171.88.107.244:8118/udp/239.93.1.13:2226
CCTV-6电影,http://171.88.107.244:8118/udp/239.94.0.6:5140
CCTV-6电影,http://171.88.107.244:8118/udp/239.94.2.33:5140
CCTV-6电影,http://171.88.107.244:8118/udp/239.94.0.34:5140
CCTV-7国防军事,http://171.88.107.244:8118/udp/239.93.1.67:5140
CCTV-7国防军事,http://171.88.107.244:8118/udp/239.94.0.7:5140
CCTV-8电视剧,http://171.88.107.244:8118/udp/239.93.42.39:5140
CCTV-8电视剧,http://171.88.107.244:8118/udp/239.94.0.8:5140
CCTV-8电视剧,http://171.88.107.244:8118/udp/239.94.0.35:5140
CCTV-8电视剧,http://171.88.107.244:8118/udp/239.94.2.29:5140
CCTV-9纪录,http://171.88.107.244:8118/udp/239.93.1.24:5140
CCTV-9纪录,http://171.88.107.244:8118/udp/239.94.0.9:5140
CCTV-9纪录,http://171.88.107.244:8118/udp/239.94.2.32:5140
CCTV-10科教,http://171.88.107.244:8118/udp/239.93.1.28:5140
CCTV-10科教,http://171.88.107.244:8118/udp/239.94.0.10:5140
CCTV-10科教,http://171.88.107.244:8118/udp/239.94.2.31:5140
