广东移动-组播1,#genre#
广东卫视,http://120.234.187.66:10086/rtp/239.20.0.101:2000
广东卫视,http://120.234.187.66:10086/rtp/239.20.0.99:3004
广东卫视,http://120.234.187.66:10086/rtp/239.10.0.111:1025
广东卫视,http://120.234.187.66:10086/rtp/239.20.0.131:2060
广东卫视,http://120.234.187.66:10086/rtp/239.10.0.45:1025
广东大湾区卫视,http://120.234.187.66:10086/rtp/239.21.0.84:3676
大湾区卫视,http://120.234.187.66:10086/rtp/239.11.0.78:1025
大湾区卫视,http://120.234.187.66:10086/rtp/239.20.0.125:2048
大湾区卫视,http://120.234.187.66:10086/rtp/239.10.0.135:1025

广东4K超高清,http://120.234.187.66:10086/rtp/239.20.0.60:3160
广东IPTV影视推荐,http://120.234.187.66:10086/rtp/239.20.0.50:3200
广东体育,http://120.234.187.66:10086/rtp/239.10.0.113:1025
广东体育,http://120.234.187.66:10086/rtp/239.20.0.114:2026
广东体育频道,http://120.234.187.66:10086/rtp/239.20.0.103:2004
广东体育频道,http://120.234.187.66:10086/rtp/239.20.0.97:3012
广东嘉佳卡通,http://120.234.187.66:10086/rtp/239.21.0.94:3716
广东嘉佳卡通,http://120.234.187.66:10086/rtp/239.10.0.200:1025
广东嘉佳卡通,http://120.234.187.66:10086/rtp/239.20.0.119:2036
广东嘉佳卡通,http://120.234.187.66:10086/rtp/239.10.0.129:1025
广东少儿,http://120.234.187.66:10086/rtp/239.11.0.81:1025
广东少儿,http://120.234.187.66:10086/rtp/239.20.0.118:2034
广东少儿,http://120.234.187.66:10086/rtp/239.10.0.128:1025
广东少儿频道,http://120.234.187.66:10086/rtp/239.21.0.87:3688
广东影视,http://120.234.187.66:10086/rtp/239.20.0.117:2032
广东影视频道,http://120.234.187.66:10086/rtp/239.21.0.85:3680
广东新闻,http://120.234.187.66:10086/rtp/239.20.0.112:2022
广东新闻频道,http://120.234.187.66:10086/rtp/239.21.0.93:3712
广东民生,http://120.234.187.66:10086/rtp/239.20.0.113:2024
广东民生频道,http://120.234.187.66:10086/rtp/239.21.0.86:3684
广东珠江,http://120.234.187.66:10086/rtp/239.20.0.111:2020
广东珠江频道,http://120.234.187.66:10086/rtp/239.20.0.64:3144
广东珠江频道,http://120.234.187.66:10086/rtp/239.20.0.63:3148
广东经济科教,http://120.234.187.66:10086/rtp/239.20.0.102:2002
广东经济科教,http://120.234.187.66:10086/rtp/239.20.0.98:3008
广东经济科教,http://120.234.187.66:10086/rtp/239.20.0.191:2180

CCTV-1综合,http://120.234.187.66:10086/rtp/239.20.0.104:2006
CCTV-1综合,http://120.234.187.66:10086/rtp/239.20.0.96:3016
CCTV-1综合,http://120.234.187.66:10086/rtp/239.10.0.48:1025
CCTV-1综合,http://120.234.187.66:10086/rtp/239.10.0.114:1025
CCTV-2财经,http://120.234.187.66:10086/rtp/239.20.0.197:2192
CCTV-2财经,http://120.234.187.66:10086/rtp/239.10.0.207:1025
CCTV-3综艺,http://120.234.187.66:10086/rtp/239.20.0.28:3292
CCTV-3综艺,http://120.234.187.66:10086/rtp/239.10.0.101:1025
CCTV-4中文国际,http://120.234.187.66:10086/rtp/239.20.0.16:3340
CCTV-4中文国际,http://120.234.187.66:10086/rtp/239.10.0.245:1025
CCTV-4中文国际欧洲,http://120.234.187.66:10086/rtp/239.11.0.101:1025
CCTV-4中文国际欧洲,http://120.234.187.66:10086/rtp/239.21.0.107:3768
CCTV-4中文国际美洲,http://120.234.187.66:10086/rtp/239.11.0.102:1025
