陕西电信-组播1,#genre#
陕西卫视,http://36.46.98.59:8025/rtp/239.109.205.66:8464
陕西卫视,http://36.46.98.59:8025/rtp/239.109.205.107:8792
陕西卫视,http://36.46.98.59:8025/rtp/239.111.205.35:5140
陕西卫视,http://36.46.98.59:8025/rtp/239.112.205.17:5140

陕西1套,http://36.46.98.59:8025/rtp/239.109.205.2:9120
陕西1套,http://36.46.98.59:8025/rtp/239.110.205.83:7944
陕西1套,http://36.46.98.59:8025/rtp/239.112.205.18:5140
陕西2套,http://36.46.98.59:8025/rtp/239.109.205.3:9128
陕西2套,http://36.46.98.59:8025/rtp/239.110.205.84:7940
陕西2套,http://36.46.98.59:8025/rtp/239.112.205.19:5140
陕西3套,http://36.46.98.59:8025/rtp/239.109.205.4:9136
陕西4套,http://36.46.98.59:8025/rtp/239.109.205.5:9144
陕西5套,http://36.46.98.59:8025/rtp/239.109.205.6:9152
陕西6套,http://36.46.98.59:8025/rtp/239.109.205.7:9160
陕西6套,http://36.46.98.59:8025/rtp/239.112.205.23:5140
陕西7套,http://36.46.98.59:8025/rtp/239.109.205.8:9168
陕西7套,http://36.46.98.59:8025/rtp/239.110.205.85:7936
陕西7套,http://36.46.98.59:8025/rtp/239.112.205.24:5140
陕西8套,http://36.46.98.59:8025/rtp/239.109.205.217:9706
陕西体育休闲,http://36.46.98.59:8025/rtp/239.111.205.36:5140
陕西公共,http://36.46.98.59:8025/rtp/239.111.205.100:5140
陕西农林卫视,http://36.46.98.59:8025/rtp/239.112.205.26:5140
陕西影视,http://36.46.98.59:8025/rtp/239.112.205.21:5140
陕西新闻资讯,http://36.46.98.59:8025/rtp/239.111.205.28:5140
陕西生活,http://36.46.98.59:8025/rtp/239.111.205.98:5140
陕西秦腔频道,http://36.46.98.59:8025/rtp/239.112.205.22:5140
陕西西部电影,http://36.46.98.59:8025/rtp/239.111.205.41:5140
陕西都市青春,http://36.46.98.59:8025/rtp/239.111.205.42:5140
陕西银铃频道,http://36.46.98.59:8025/rtp/239.112.205.20:5140

CCTV-1综合,http://36.46.98.59:8025/rtp/239.109.205.9:8000
CCTV-1综合,http://36.46.98.59:8025/rtp/239.109.205.118:8880
CCTV-1综合,http://36.46.98.59:8025/rtp/239.111.205.9:5140
CCTV-1综合,http://36.46.98.59:8025/rtp/239.112.205.231:5140
CCTV-2财经,http://36.46.98.59:8025/rtp/239.109.205.10:8008
CCTV-2财经,http://36.46.98.59:8025/rtp/239.109.205.106:8784
CCTV-2财经,http://36.46.98.59:8025/rtp/239.112.205.2:5140
CCTV-2财经,http://36.46.98.59:8025/rtp/239.112.205.78:5140
CCTV-3综艺,http://36.46.98.59:8025/rtp/239.109.205.73:8520
CCTV-3综艺,http://36.46.98.59:8025/rtp/239.109.205.79:8568
CCTV-3综艺,http://36.46.98.59:8025/rtp/239.112.205.225:5140
CCTV-4中文国际,http://36.46.98.59:8025/rtp/239.109.205.11:8016
CCTV-4中文国际,http://36.46.98.59:8025/rtp/239.109.205.159:9108
CCTV-4中文国际,http://36.46.98.59:8025/rtp/239.112.205.4:5140
CCTV-4中文国际,http://36.46.98.59:8025/rtp/239.112.205.202:5140
CCTV-4中文国际欧洲,http://36.46.98.59:8025/rtp/239.111.205.83:5140
CCTV-4中文国际美洲,http://36.46.98.59:8025/rtp/239.111.205.84:5140
CCTV-5体育,http://36.46.98.59:8025/rtp/239.109.205.80:8576
CCTV-5体育,http://36.46.98.59:8025/rtp/239.109.205.214:9208
CCTV-5体育,http://36.46.98.59:8025/rtp/239.112.205.222:5140
CCTV-5体育,http://36.46.98.59:8025/rtp/239.112.205.226:5140
CCTV-5+体育赛事,http://36.46.98.59:8025/rtp/239.111.205.13:5140
CCTV-6电影,http://36.46.98.59:8025/rtp/239.109.205.83:8600
CCTV-6电影,http://36.46.98.59:8025/rtp/239.109.205.84:8608
CCTV-6电影,http://36.46.98.59:8025/rtp/239.112.205.223:5140
CCTV-6电影,http://36.46.98.59:8025/rtp/239.112.205.227:5140
CCTV-7国防军事,http://36.46.98.59:8025/rtp/239.109.205.12:8024
CCTV-7国防军事,http://36.46.98.59:8025/rtp/239.110.205.7:9774
CCTV-7国防军事,http://36.46.98.59:8025/rtp/239.112.205.7:5140
CCTV-7国防军事,http://36.46.98.59:8025/rtp/239.112.205.83:5140
CCTV-8电视剧,http://36.46.98.59:8025/rtp/239.109.205.90:8656
CCTV-8电视剧,http://36.46.98.59:8025/rtp/239.109.205.141:9028
CCTV-8电视剧,http://36.46.98.59:8025/rtp/239.112.205.224:5140
CCTV-8电视剧,http://36.46.98.59:8025/rtp/239.112.205.228:5140
CCTV-9纪录,http://36.46.98.59:8025/rtp/239.110.205.1:9750
CCTV-9纪录,http://36.46.98.59:8025/rtp/239.110.205.8:9778
CCTV-9纪录,http://36.46.98.59:8025/rtp/239.112.205.9:5140
CCTV-9纪录,http://36.46.98.59:8025/rtp/239.112.205.85:5140
CCTV-10科教,http://36.46.98.59:8025/rtp/239.109.205.14:8040
CCTV-10科教,http://36.46.98.59:8025/rtp/239.110.205.9:9782
CCTV-10科教,http://36.46.98.59:8025/rtp/239.112.205.10:5140
CCTV-10科教,http://36.46.98.59:8025/rtp/239.112.205.86:5140
CCTV-11戏曲,http://36.46.98.59:8025/rtp/239.109.205.15:8048
CCTV-11戏曲,http://36.46.98.59:8025/rtp/239.109.205.102:8752
CCTV-11戏曲,http://36.46.98.59:8025/rtp/239.112.205.11:5140
CCTV-11戏曲,http://36.46.98.59:8025/rtp/239.112.205.213:5140
CCTV-12社会与法,http://36.46.98.59:8025/rtp/239.109.205.16:8056
CCTV-12社会与法,http://36.46.98.59:8025/rtp/239.110.205.10:9786
CCTV-12社会与法,http://36.46.98.59:8025/rtp/239.112.205.12:5140
