内蒙古电信-组播1,#genre#
内蒙古卫视,http://111.127.156.3:51234/rtp/239.29.0.2:5000

内蒙古农牧频道,http://111.127.156.3:51234/rtp/239.29.0.209:5000
内蒙古少儿频道,http://111.127.156.3:51234/rtp/239.29.0.207:5000
内蒙古文体娱乐,http://111.127.156.3:51234/rtp/239.29.0.211:5000
内蒙古新闻综合,http://111.127.156.3:51234/rtp/239.29.0.208:5000
内蒙古经济生活,http://111.127.156.3:51234/rtp/239.29.0.212:5000
内蒙古蒙语频道,http://111.127.156.3:51234/rtp/239.29.0.210:5000
内蒙古购物,http://111.127.156.3:51234/rtp/239.29.0.1:5000
内蒙古频道八分屏,http://111.127.156.3:51234/rtp/239.29.1.118:5000

CGTN英语,http://111.127.156.3:51234/rtp/239.29.1.143:5000
CETV-1综合教育,http://111.127.156.3:51234/rtp/239.29.0.95:5000
CETV-2空中课堂,http://111.127.156.3:51234/rtp/239.29.0.139:5000
华数经典电影,http://111.127.156.3:51234/rtp/239.29.1.78:5001
华数动作影院,http://111.127.156.3:51234/rtp/239.29.1.36:5001
华数喜剧影院,http://111.127.156.3:51234/rtp/239.29.1.44:5001
华数家庭影院,http://111.127.156.3:51234/rtp/239.29.1.52:5001
华数星影,http://111.127.156.3:51234/rtp/239.29.1.62:5001
华数热播剧场,http://111.127.156.3:51234/rtp/239.29.1.75:5001
华数古装剧场,http://111.127.156.3:51234/rtp/239.29.1.42:5001
华数城市剧场,http://111.127.156.3:51234/rtp/239.29.1.47:5001
华数军旅剧场,http://111.127.156.3:51234/rtp/239.29.1.35:5001
华数魅力时尚,http://111.127.156.3:51234/rtp/239.29.1.89:5001
华数少儿动画,http://111.127.156.3:51234/rtp/239.29.1.53:5001
华数谍战剧场,http://111.127.156.3:51234/rtp/239.29.1.24:5001
华数武侠剧场,http://111.127.156.3:51234/rtp/239.29.1.65:5001
爱生活高清专区,http://111.127.156.3:51234/rtp/239.29.1.94:5001
爱上4K,http://111.127.156.3:51234/rtp/239.29.0.169:5000
江苏优漫卡通,http://111.127.156.3:51234/rtp/239.29.0.127:5000
IPTV3综艺,http://111.127.156.3:51234/rtp/239.29.1.18:5001
IPTV6华数电影,http://111.127.156.3:51234/rtp/239.29.1.20:5001
IPTV8电视剧,http://111.127.156.3:51234/rtp/239.29.1.21:5001
IPTV法制,http://111.127.156.3:51234/rtp/239.29.1.22:5001
IPTV野外,http://111.127.156.3:51234/rtp/239.29.1.25:5001
北京纪实科教,http://111.127.156.3:51234/rtp/239.29.0.110:5000
北京卡酷少儿,http://111.127.156.3:51234/rtp/239.29.1.41:5001
呼和浩特足球,http://111.127.156.3:51234/rtp/239.29.0.142:5000
上海东方财经,http://111.127.156.3:51234/rtp/239.29.1.29:5001
上海动漫秀场,http://111.127.156.3:51234/rtp/239.29.0.203:5000
上海游戏风云,http://111.127.156.3:51234/rtp/239.29.0.197:5000
