吉林联通-组播1,#genre#
吉林卫视,http://wanda01.e7q.com:18090/rtp/239.253.142.19:3000

吉林乡村,http://wanda01.e7q.com:18090/rtp/239.253.142.176:3000
吉林市新闻,http://wanda01.e7q.com:18090/rtp/239.253.142.211:3000
吉林市生活,http://wanda01.e7q.com:18090/rtp/239.253.142.213:3000
吉林市科教,http://wanda01.e7q.com:18090/rtp/239.253.142.212:3000
吉林影视,http://wanda01.e7q.com:18090/rtp/239.253.142.174:3000
吉林教育,http://wanda01.e7q.com:18090/rtp/239.253.142.104:3000
吉林生活,http://wanda01.e7q.com:18090/rtp/239.253.142.175:3000
吉林综艺,http://wanda01.e7q.com:18090/rtp/239.253.142.178:3000
吉林都市,http://wanda01.e7q.com:18090/rtp/239.253.142.92:3000

CHC动作电影,http://wanda01.e7q.com:18090/rtp/239.253.142.188:3000
CHC家庭影院,http://wanda01.e7q.com:18090/rtp/239.253.142.190:3000
CCTV风云音乐,http://wanda01.e7q.com:18090/rtp/239.253.142.78:3000
CCTV世界地理,http://wanda01.e7q.com:18090/rtp/239.253.142.76:3000
CCTV第一剧场,http://wanda01.e7q.com:18090/rtp/239.253.142.75:3000
CCTV风云剧场,http://wanda01.e7q.com:18090/rtp/239.253.142.99:3000
CCTV央视精品,http://wanda01.e7q.com:18090/rtp/239.253.142.80:3000
CCTV兵器科技,http://wanda01.e7q.com:18090/rtp/239.253.142.81:3000
CCTV风云足球,http://wanda01.e7q.com:18090/rtp/239.253.142.77:3000
CCTV怀旧剧场,http://wanda01.e7q.com:18090/rtp/239.253.142.79:3000
CCTV女性时尚,http://wanda01.e7q.com:18090/rtp/239.253.142.66:3000
CCTV央视台球,http://wanda01.e7q.com:18090/rtp/239.253.142.65:3000
CCTV电视指南,http://wanda01.e7q.com:18090/rtp/239.253.142.100:3000
发现之旅,http://wanda01.e7q.com:18090/rtp/239.253.142.30:3000
老故事,http://wanda01.e7q.com:18090/rtp/239.253.142.98:3000
优优宝贝,http://wanda01.e7q.com:18090/rtp/239.253.142.192:3000
北京卡酷少儿,http://wanda01.e7q.com:18090/rtp/239.253.142.59:3000
湖南快乐垂钓,http://wanda01.e7q.com:18090/rtp/239.253.142.234:3000
湖南茶频道,http://wanda01.e7q.com:18090/rtp/239.253.142.235:3000
湖南金鹰纪实,http://wanda01.e7q.com:18090/rtp/239.253.142.133:3000
湖南金鹰卡通,http://wanda01.e7q.com:18090/rtp/239.253.142.250:3000
河南梨园频道,http://wanda01.e7q.com:18090/rtp/239.253.142.43:3000
河南武术世界,http://wanda01.e7q.com:18090/rtp/239.253.142.48:3000
河南文物宝库,http://wanda01.e7q.com:18090/rtp/239.253.142.60:3000
山西书画频道,http://wanda01.e7q.com:18090/rtp/239.253.142.199:3000
陕西国学频道,http://wanda01.e7q.com:18090/rtp/239.253.142.90:3000
