福建电信-组播1,#genre#
福建公共频道,http://woc.iiiya.cn:18888/rtp/239.61.2.3:8012
福建少儿频道,http://woc.iiiya.cn:18888/rtp/239.61.2.9:8048
福建教育频道,http://woc.iiiya.cn:18888/rtp/239.61.2.173:9026
福建文体频道,http://woc.iiiya.cn:18888/rtp/239.61.2.160:8948
福建新闻频道,http://woc.iiiya.cn:18888/rtp/239.61.2.4:8018
福建旅游频道,http://woc.iiiya.cn:18888/rtp/239.61.2.6:8030
福建电视剧频道,http://woc.iiiya.cn:18888/rtp/239.61.2.5:8024
福建经济频道,http://woc.iiiya.cn:18888/rtp/239.61.2.7:8036
福建综合频道,http://woc.iiiya.cn:18888/rtp/239.61.3.4:9542

凤凰中文,http://woc.iiiya.cn:18888/rtp/239.61.2.184:9092
凤凰资讯,http://woc.iiiya.cn:18888/rtp/239.61.2.183:9086
CGTN英语,http://woc.iiiya.cn:18888/rtp/239.61.2.19:8108
CGTN法语,http://woc.iiiya.cn:18888/rtp/239.61.3.44:9782
CGTN俄语,http://woc.iiiya.cn:18888/rtp/239.61.3.45:9788
CETV-1综合教育,http://woc.iiiya.cn:18888/rtp/239.61.2.167:8990
CETV-2空中课堂,http://woc.iiiya.cn:18888/rtp/239.61.3.6:9554
CETV-4职业教育,http://woc.iiiya.cn:18888/rtp/239.61.3.15:9608
CHC动作电影,http://woc.iiiya.cn:18888/rtp/239.61.3.16:9616
中国天气,http://woc.iiiya.cn:18888/rtp/239.61.2.64:8378
爱上4K,http://woc.iiiya.cn:18888/rtp/239.61.5.164:1025
北京卡酷少儿,http://woc.iiiya.cn:18888/rtp/239.61.2.222:9320
上海多彩文体4K,http://woc.iiiya.cn:18888/rtp/239.61.4.145:1025
上海纪实人文,http://woc.iiiya.cn:18888/rtp/239.61.2.165:8978
河南武术世界,http://woc.iiiya.cn:18888/rtp/239.61.3.22:9652
河南文物宝库,http://woc.iiiya.cn:18888/rtp/239.61.3.21:9646
湖南茶频道,http://woc.iiiya.cn:18888/rtp/239.61.3.59:9872
湖南金鹰纪实,http://woc.iiiya.cn:18888/rtp/239.61.3.7:9560
湖南金鹰卡通,http://woc.iiiya.cn:18888/rtp/239.61.2.221:9314
广东嘉佳卡通,http://woc.iiiya.cn:18888/rtp/239.61.2.72:8426

福州新闻,http://woc.iiiya.cn:18888/rtp/239.61.5.97:1025
厦门1,http://woc.iiiya.cn:18888/rtp/239.61.4.139:1025
厦门2,http://woc.iiiya.cn:18888/rtp/239.61.4.140:1025
莆田新闻,http://woc.iiiya.cn:18888/rtp/239.61.5.94:1025
三明新闻,http://woc.iiiya.cn:18888/rtp/239.61.5.93:1025
泉州新闻,http://woc.iiiya.cn:18888/rtp/239.61.5.98:1025
