贵州电信-组播1,#genre#
贵州卫视,http://220.172.21.77:4022/rtp/238.255.2.1:5999
贵州卫视,http://220.172.21.77:4022/rtp/238.255.2.147:5999
贵州卫视2,http://220.172.21.77:4022/rtp/238.255.2.2:5999
贵州卫视3,http://220.172.21.77:4022/rtp/238.255.2.3:5999
贵州卫视4,http://220.172.21.77:4022/rtp/238.255.2.4:5999
贵州卫视5,http://220.172.21.77:4022/rtp/238.255.2.5:5999
贵州卫视6,http://220.172.21.77:4022/rtp/238.255.2.6:5999
贵州卫视7,http://220.172.21.77:4022/rtp/238.255.2.9:5999

贵州-3,http://220.172.21.77:4022/rtp/238.255.2.159:5999
贵州-3,http://220.172.21.77:4022/rtp/238.255.2.183:5999
贵州-3,http://220.172.21.77:4022/rtp/238.255.2.187:5999
贵州-3,http://220.172.21.77:4022/rtp/238.255.2.200:5999
贵州宣传片,http://220.172.21.77:4022/rtp/238.255.2.112:5999
贵州宣传片,http://220.172.21.77:4022/rtp/238.255.2.141:5999
贵州宣传片,http://220.172.21.77:4022/rtp/238.255.2.142:5999
贵州直播频道,http://220.172.21.77:4022/rtp/238.255.2.206:5999
贵州移动电视,http://220.172.21.77:4022/rtp/238.255.2.117:5999

北京纪实科教,http://220.172.21.77:4022/rtp/238.255.2.107:5999
北京卡酷少儿,http://220.172.21.77:4022/rtp/238.255.2.106:5999
北京卡酷少儿,http://220.172.21.77:4022/rtp/238.255.2.80:5999
湖南金鹰卡通,http://220.172.21.77:4022/rtp/238.255.2.55:5999
贵州天元围棋,http://220.172.21.77:4022/rtp/238.255.2.7:5999
陕西国学频道,http://220.172.21.77:4022/rtp/238.255.2.176:5999
广东嘉佳卡通,http://220.172.21.77:4022/rtp/238.255.2.62:5999
江苏优漫卡通,http://220.172.21.77:4022/rtp/238.255.2.57:5999
中国交通,http://220.172.21.77:4022/rtp/238.255.2.220:5999
环球奇观,http://220.172.21.77:4022/rtp/238.255.2.43:5999
