青海电信-组播1,#genre#
青海卫视,http://220.167.170.156:4000/rtp/239.120.1.64:8332
青海卫视,http://220.167.170.156:4000/rtp/239.120.1.113:8346

青海油田,http://220.167.170.156:4000/rtp/239.120.1.144:8416
青海经视,http://220.167.170.156:4000/rtp/239.120.1.42:8226
青海都市,http://220.167.170.156:4000/rtp/239.120.1.41:8220

CGTN英语,http://220.167.170.156:4000/rtp/239.120.1.161:9024
CETV-1综合教育,http://220.167.170.156:4000/rtp/239.120.1.133:8856
CETV-2空中课堂,http://220.167.170.156:4000/rtp/239.120.1.44:8238
CETV-4职业教育,http://220.167.170.156:4000/rtp/239.120.1.45:8244
中国天气,http://220.167.170.156:4000/rtp/239.120.1.241:9408
北京卡酷少儿,http://220.167.170.156:4000/rtp/239.120.1.138:8886
上海东方财经,http://220.167.170.156:4000/rtp/239.120.1.55:8304
上海动漫秀场,http://220.167.170.156:4000/rtp/239.120.1.219:9328
上海游戏风云,http://220.167.170.156:4000/rtp/239.120.1.215:9312
上海法治天地,http://220.167.170.156:4000/rtp/239.120.1.54:8298
上海都市剧场,http://220.167.170.156:4000/rtp/239.120.1.221:9336
上海金色学堂,http://220.167.170.156:4000/rtp/239.120.1.69:8374
上海生活时尚,http://220.167.170.156:4000/rtp/239.120.1.220:9332
上海哈哈炫动,http://220.167.170.156:4000/rtp/239.120.1.140:8898
湖北快乐垂钓,http://220.167.170.156:4000/rtp/239.120.1.225:9346
湖南金鹰纪实,http://220.167.170.156:4000/rtp/239.120.1.73:8412
湖南金鹰卡通,http://220.167.170.156:4000/rtp/239.120.1.139:8892
广东嘉佳卡通,http://220.167.170.156:4000/rtp/239.120.1.108:8640
贵州天元围棋,http://220.167.170.156:4000/rtp/239.120.1.59:8320

上海乐游频道,http://220.167.170.156:4000/rtp/239.120.1.217:9320
上海欢笑剧场,http://220.167.170.156:4000/rtp/239.120.1.216:9316
上海欢笑剧场,http://220.167.170.156:4000/rtp/239.120.1.186:8378
西宁新闻综合,http://220.167.170.156:4000/rtp/239.120.1.249:9444
西宁生活服务,http://220.167.170.156:4000/rtp/239.120.1.248:9440
海东综合频道,http://220.167.170.156:4000/rtp/239.120.1.102:8328
海北电视台,http://220.167.170.156:4000/rtp/239.120.1.123:8266
海北电视台,http://220.167.170.156:4000/rtp/239.120.1.200:8404
海西电视台,http://220.167.170.156:4000/rtp/239.120.1.184:9160

久治,http://220.167.170.156:4000/rtp/239.120.1.34:9534
九画面,http://220.167.170.156:4000/rtp/239.120.1.131:8268
矿区生活,http://220.167.170.156:4000/rtp/239.120.1.145:8420
