# 20260523_140941_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
上海教育	233.18.204.11:5140	有效			0
上海教育	239.45.0.13:5140	无效			6233
上海教育HD	233.18.204.63:5140	有效			0
上海都市HD	233.18.204.53:5140	有效			0
CCTV1	233.18.204.168:5140	有效			0
CCTV1	233.18.204.20:5140	有效	720x576	h264	6769
CCTV1	233.18.204.52:5140	有效	1920x1080	h264	15631
CCTV1	239.45.3.145:5140	无效			10568
CCTV2	233.18.204.21:5140	有效			0
CCTV2	233.18.204.68:5140	无效			5649
CCTV2	239.45.3.208:5140	无效			5641
CCTV3	233.18.204.22:5140	有效	720x576	h264	6309
CCTV3	233.18.204.69:5140	有效	1920x1080	h264	11274
CCTV3	239.45.1.68:5140	无效			5794
CCTV4	233.18.204.23:5140	有效			0
CCTV4	233.18.204.70:5140	有效			0
CCTV4	239.45.0.2:5140	无效			7254
CCTV5	233.18.204.24:5140	有效	720x576	h264	5714
CCTV5	233.18.204.71:5140	有效	1920x1080	h264	11130
CCTV5	233.18.204.72:5140	有效			0
CCTV5	239.45.1.69:5140	无效			6495
CCTV5+	233.18.204.67:5140	有效			0
CCTV6	233.18.204.25:5140	有效	720x576	h264	7443
CCTV6	239.45.1.70:5140	无效			5614
CCTV7	233.18.204.26:5140	有效			0
CCTV7	233.18.204.73:5140	有效	1920x1080	h264	8118
CCTV7	239.45.3.56:5140	无效			5787
CCTV8	233.18.204.27:5140	有效			0
CCTV8	233.18.204.74:5140	有效	1920x1080	h264	13685
CCTV8	239.45.1.71:5140	无效			6491
CCTV9	233.18.204.40:5140	无效			5887
CCTV9	233.18.204.75:5140	有效	1920x1080	h264	13317
CCTV9	239.45.3.4:5140	无效			6502
CCTV10	233.18.204.29:5140	有效			0
CCTV10	233.18.204.76:5140	有效			0
CCTV10	239.45.3.8:5140	无效			5873
CCTV11	233.18.204.30:5140	有效	720x576	h264	5993
CCTV11	233.18.204.77:5140	无效			6482
CCTV11	239.45.1.196:5140	无效			5888
CCTV12	233.18.204.31:5140	有效	720x576	h264	7184
CCTV12	233.18.204.78:5140	有效	1920x1080	h264	8319
CCTV12	239.45.3.10:5140	无效			9339
CCTV13	233.18.204.32:5140	有效	720x576	h264	6175
CCTV13	233.18.204.79:5140	有效	1920x1080	h264	7626
CCTV13	239.45.1.198:5140	无效			6796
CCTV14	233.18.204.33:5140	无效			5632
CCTV14	233.18.204.80:5140	有效			0
CCTV14	239.45.3.23:5140	无效			6486
CCTV15	233.18.204.34:5140	有效	720x576	h264	6226
CCTV15	233.18.204.81:5140	有效	1920x1080	h264	10584
CCTV15	239.45.1.200:5140	无效			6484
CCTV16	233.18.204.82:5140	无效			6903
CCTV17	233.18.204.35:5140	有效			0
CCTV17	233.18.204.83:5140	有效			0
CCTV17	239.45.3.52:5140	无效			5622
CCTV4KSDR	233.18.204.188:5140	有效			0
CHC动作电影	233.18.204.174:5140	有效	1920x1080	h264	12053
CHC动作电影	239.45.0.41:5140	无效			5680
CHC家庭影院	233.18.204.173:5140	无效			5633
CHC家庭影院	239.45.0.40:5140	无效			7495
风云音乐	233.18.204.185:5140	有效	1920x1080	h264	6739
世界地理	233.18.204.179:5140	有效			0
第一剧场	233.18.204.184:5140	有效		h264	8335
风云剧场	233.18.204.183:5140	有效	1920x1080	h264	8555
央视精品	233.18.204.186:5140	有效	1920x1080	h264	8835
兵器科技	233.18.204.178:5140	有效			0
风云足球	233.18.204.176:5140	有效	1920x1080	h264	6966
怀旧剧场	233.18.204.182:5140	有效			0
女性时尚	233.18.204.180:5140	有效	1920x1080	h264	10304
央视台球	233.18.204.177:5140	有效			0
CGTN	233.18.204.28:5140	有效			0
CGTN	239.45.1.194:5140	无效			5633
CETV1	233.18.204.98:5140	有效	1920x1080	h264	16857
CETV1	239.45.1.125:5140	无效			9282
中国教育1	233.18.204.153:5140	无效			5630
CETV2	233.18.204.154:5140	有效			0
CETV2	239.45.1.52:5140	无效			5635
CETV4	233.18.204.111:5140	有效			0
CETV4	239.45.1.50:5140	无效			6485
湖南卫视	233.18.204.119:5140	有效	720x576	h264	6867
湖南卫视	233.18.204.86:5140	有效			0
湖南卫视	239.45.3.228:5140	无效			5663
浙江卫视	233.18.204.121:5140	有效			0
浙江卫视	233.18.204.84:5140	有效			0
浙江卫视	239.45.3.178:5140	无效			6478
江苏卫视	233.18.204.120:5140	有效			0
江苏卫视	233.18.204.85:5140	有效			0
江苏卫视	239.45.3.177:5140	无效			5893
北京卫视	233.18.204.118:5140	有效			0
北京卫视	233.18.204.87:5140	有效			0
北京卫视	239.45.3.229:5140	无效			5879
东方卫视	233.18.204.1:5140	有效			0
东方卫视	233.18.204.51:5140	有效			0
东方卫视	239.45.3.146:5140	无效			6454
东方卫视	239.45.3.61:5140	无效			5877
安徽卫视	233.18.204.127:5140	有效			0
安徽卫视	233.18.204.93:5140	有效			0
安徽卫视	239.45.1.120:5140	无效			5886
广东卫视	233.18.204.138:5140	有效			0
广东卫视	233.18.204.88:5140	有效			0
广东卫视	239.45.3.230:5140	无效			6446
深圳卫视	233.18.204.146:5140	有效			0
深圳卫视	233.18.204.89:5140	有效			0
深圳卫视	239.45.3.231:5140	无效			5886
辽宁卫视	233.18.204.126:5140	有效			0
辽宁卫视	233.18.204.96:5140	有效			0
辽宁卫视	239.45.1.123:5140	无效			5882
山东卫视	233.18.204.125:5140	有效			0
山东卫视	233.18.204.91:5140	有效			0
山东卫视	239.45.3.238:5140	无效			6437
天津卫视	233.18.204.129:5140	有效			0
天津卫视	233.18.204.97:5140	有效			0
天津卫视	239.45.1.124:5140	无效			5881
重庆卫视	233.18.204.100:5140	有效			0
重庆卫视	233.18.204.143:5140	有效			0
重庆卫视	239.45.1.84:5140	无效			5636
东南卫视	233.18.204.94:5140	有效			0
东南卫视	239.45.1.121:5140	无效			6432
河北卫视	233.18.204.103:5140	有效			0
河北卫视	233.18.204.140:5140	有效			0
河北卫视	239.45.1.44:5140	无效			6918
河南卫视	233.18.204.105:5140	有效			0
河南卫视	233.18.204.145:5140	有效			0
河南卫视	239.45.0.3:5140	无效			6652
湖北卫视	233.18.204.142:5140	有效			0
湖北卫视	233.18.204.92:5140	有效			0
湖北卫视	239.45.3.239:5140	无效			6711
陕西卫视	233.18.204.135:5140	有效			0
陕西卫视	233.18.204.223:5140	有效			0
陕西卫视	239.45.1.232:5140	无效			6122
四川卫视	233.18.204.124:5140	有效			0
四川卫视	233.18.204.99:5140	有效			0
四川卫视	239.45.1.83:5140	无效			5890
海南卫视	233.18.204.102:5140	有效			0
海南卫视	233.18.204.122:5140	有效			0
海南卫视	239.45.1.81:5140	无效			6711
甘肃卫视	233.18.204.110:5140	有效			0
甘肃卫视	233.18.204.137:5140	有效			0
甘肃卫视	239.45.1.234:5140	无效			6137
广西卫视	233.18.204.107:5140	有效			0
广西卫视	233.18.204.123:5140	有效			0
广西卫视	239.45.0.5:5140	无效			7410
贵州卫视	233.18.204.101:5140	有效			0
贵州卫视	233.18.204.144:5140	有效			0
贵州卫视	239.45.1.80:5140	无效			7199
黑龙江卫视	233.18.204.139:5140	有效			0
黑龙江卫视	233.18.204.90:5140	有效			0
黑龙江卫视	239.45.3.232:5140	无效			5633
江西卫视	233.18.204.130:5140	有效			0
江西卫视	233.18.204.95:5140	有效			0
江西卫视	239.45.1.122:5140	无效			5887
吉林卫视	233.18.204.108:5140	有效			0
吉林卫视	233.18.204.131:5140	有效			0
吉林卫视	239.45.0.6:5140	无效			6686
内蒙古卫视	233.18.204.141:5140	有效			0
内蒙古卫视	233.18.204.217:5140	有效			0
内蒙古卫视	239.45.1.238:5140	无效			6143
宁夏卫视	233.18.204.117:5140	无效			6653
宁夏卫视	233.18.204.230:5140	有效			0
宁夏卫视	239.45.1.213:5140	无效			6429
山西卫视	233.18.204.132:5140	有效	720x576	h264	5872
山西卫视	233.18.204.211:5140	有效	1920x1080	h264	7834
山西卫视	239.45.1.229:5140	无效			6678
新疆卫视	233.18.204.147:5140	无效			6902
新疆卫视	233.18.204.220:5140	无效			5626
新疆卫视	239.45.1.116:5140	无效			6673
云南卫视	233.18.204.106:5140	无效			7917
云南卫视	233.18.204.128:5140	无效			5634
云南卫视	233.18.204.136:5140	无效			7670
云南卫视	239.45.0.4:5140	无效			6656
青海卫视	233.18.204.112:5140	无效			5636
青海卫视	233.18.204.133:5140	无效			6670
青海卫视	239.45.1.230:5140	无效			6121
西藏卫视	233.18.204.134:5140	无效			5896
西藏卫视	233.18.204.222:5140	无效			6664
西藏卫视	239.45.1.231:5140	无效			7921
兵团卫视	233.18.204.148:5140	无效			7676
兵团卫视	233.18.204.221:5140	无效			6654
兵团卫视	239.45.1.117:5140	无效			6132
康巴卫视	239.45.1.251:5140	无效			5892
三沙卫视	233.18.204.149:5140	有效			0
三沙卫视	233.18.204.172:5140	无效			6650
三沙卫视	239.45.1.82:5140	无效			6131
延边卫视	233.18.204.155:5140	有效	720x576	h264	5823
延边卫视	239.45.0.39:5140	无效			6635
北京卫视4K	233.18.204.209:5140	无效			6132
北京卫视4K	239.45.3.123:5140	无效			5895
江苏卫视4K	233.18.204.226:5140	无效			6642
江苏卫视4K	239.45.1.109:5140	无效			6135
浙江卫视4K	233.18.204.216:514	无效			5870
浙江卫视4K	233.18.204.229:5140	无效			6629
山东卫视4K	233.18.204.228:5140	无效			6149
山东卫视4K	239.45.3.180:5140	无效			5871
