# 补充IP列表 - 原文件: 上海电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 233.18.204.x =====
# 已有IP: 198 个, 缺失IP: 56 个
# 规律: 多段线性
#   D∈[1,215] → 0×D+5140
#   D∈[216,216] → -4626×D+999730
#   D∈[217,217] → 4626×D+-998702
#   D∈[218,231] → 0×D+5140

204-3,rtp://233.18.204.3:5140
204-8,rtp://233.18.204.8:5140
204-9,rtp://233.18.204.9:5140
204-10,rtp://233.18.204.10:5140
204-15,rtp://233.18.204.15:5140
204-16,rtp://233.18.204.16:5140
204-17,rtp://233.18.204.17:5140
204-18,rtp://233.18.204.18:5140
204-19,rtp://233.18.204.19:5140
204-36,rtp://233.18.204.36:5140
204-37,rtp://233.18.204.37:5140
204-38,rtp://233.18.204.38:5140
204-39,rtp://233.18.204.39:5140
204-56,rtp://233.18.204.56:5140
204-60,rtp://233.18.204.60:5140
204-61,rtp://233.18.204.61:5140
204-62,rtp://233.18.204.62:5140
204-64,rtp://233.18.204.64:5140
204-156,rtp://233.18.204.156:5140
204-190,rtp://233.18.204.190:5140
204-191,rtp://233.18.204.191:5140
204-192,rtp://233.18.204.192:5140
204-193,rtp://233.18.204.193:5140
204-194,rtp://233.18.204.194:5140
204-195,rtp://233.18.204.195:5140
204-196,rtp://233.18.204.196:5140
204-197,rtp://233.18.204.197:5140
204-198,rtp://233.18.204.198:5140
204-199,rtp://233.18.204.199:5140
204-200,rtp://233.18.204.200:5140
204-212,rtp://233.18.204.212:5140
204-213,rtp://233.18.204.213:5140
204-214,rtp://233.18.204.214:5140
204-232,rtp://233.18.204.232:5140
204-233,rtp://233.18.204.233:5140
204-234,rtp://233.18.204.234:5140
204-235,rtp://233.18.204.235:5140
204-236,rtp://233.18.204.236:5140
204-237,rtp://233.18.204.237:5140
204-238,rtp://233.18.204.238:5140
204-239,rtp://233.18.204.239:5140
204-240,rtp://233.18.204.240:5140
204-241,rtp://233.18.204.241:5140
204-242,rtp://233.18.204.242:5140
204-243,rtp://233.18.204.243:5140
204-244,rtp://233.18.204.244:5140
204-245,rtp://233.18.204.245:5140
204-246,rtp://233.18.204.246:5140
204-247,rtp://233.18.204.247:5140
204-248,rtp://233.18.204.248:5140
204-249,rtp://233.18.204.249:5140
204-250,rtp://233.18.204.250:5140
204-251,rtp://233.18.204.251:5140
204-252,rtp://233.18.204.252:5140
204-253,rtp://233.18.204.253:5140
204-254,rtp://233.18.204.254:5140

# ===== 网段: 239.45.0.x =====
# 已有IP: 15 个, 缺失IP: 239 个
# 规律: 固定端口 5140

0-1,rtp://239.45.0.1:5140
0-7,rtp://239.45.0.7:5140
0-10,rtp://239.45.0.10:5140
0-11,rtp://239.45.0.11:5140
0-12,rtp://239.45.0.12:5140
0-14,rtp://239.45.0.14:5140
0-15,rtp://239.45.0.15:5140
0-18,rtp://239.45.0.18:5140
0-19,rtp://239.45.0.19:5140
0-20,rtp://239.45.0.20:5140
0-21,rtp://239.45.0.21:5140
0-22,rtp://239.45.0.22:5140
0-23,rtp://239.45.0.23:5140
0-24,rtp://239.45.0.24:5140
0-25,rtp://239.45.0.25:5140
0-26,rtp://239.45.0.26:5140
0-27,rtp://239.45.0.27:5140
0-28,rtp://239.45.0.28:5140
0-29,rtp://239.45.0.29:5140
0-30,rtp://239.45.0.30:5140
0-31,rtp://239.45.0.31:5140
0-32,rtp://239.45.0.32:5140
0-33,rtp://239.45.0.33:5140
0-34,rtp://239.45.0.34:5140
0-35,rtp://239.45.0.35:5140
0-36,rtp://239.45.0.36:5140
0-37,rtp://239.45.0.37:5140
0-43,rtp://239.45.0.43:5140
0-44,rtp://239.45.0.44:5140
0-45,rtp://239.45.0.45:5140
0-46,rtp://239.45.0.46:5140
0-47,rtp://239.45.0.47:5140
0-48,rtp://239.45.0.48:5140
0-49,rtp://239.45.0.49:5140
0-50,rtp://239.45.0.50:5140
0-51,rtp://239.45.0.51:5140
0-52,rtp://239.45.0.52:5140
0-53,rtp://239.45.0.53:5140
0-54,rtp://239.45.0.54:5140
0-55,rtp://239.45.0.55:5140
0-56,rtp://239.45.0.56:5140
0-57,rtp://239.45.0.57:5140
0-58,rtp://239.45.0.58:5140
0-59,rtp://239.45.0.59:5140
0-60,rtp://239.45.0.60:5140
0-61,rtp://239.45.0.61:5140
