# 20260705_150937_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
204-3	233.18.204.3:5140	无效			6398
204-8	233.18.204.8:5140	无效			5642
204-9	233.18.204.9:5140	有效	720x576	h264	5710
204-10	233.18.204.10:5140	有效	720x576	h264	5709
204-15	233.18.204.15:5140	有效	720x576	h264	7363
204-16	233.18.204.16:5140	无效			6647
204-17	233.18.204.17:5140	无效			6399
204-18	233.18.204.18:5140	无效			6918
204-19	233.18.204.19:5140	无效			6650
204-36	233.18.204.36:5140	有效	720x576	h264	5911
204-37	233.18.204.37:5140	无效			5638
204-38	233.18.204.38:5140	无效			6140
204-39	233.18.204.39:5140	有效	1920x1080	h264	7234
204-56	233.18.204.56:5140	无效			5886
204-60	233.18.204.60:5140	无效			5639
204-61	233.18.204.61:5140	有效	1920x1080	h264	9196
204-62	233.18.204.62:5140	有效	1920x1080	h264	9884
204-64	233.18.204.64:5140	无效			5631
204-156	233.18.204.156:5140	无效			5896
204-190	233.18.204.190:5140	无效			5629
204-191	233.18.204.191:5140	无效			5626
204-192	233.18.204.192:5140	无效			7184
204-193	233.18.204.193:5140	无效			6122
204-194	233.18.204.194:5140	无效			5888
204-195	233.18.204.195:5140	无效			5897
204-196	233.18.204.196:5140	无效			5895
204-197	233.18.204.197:5140	无效			5626
204-198	233.18.204.198:5140	无效			6652
204-199	233.18.204.199:5140	无效			6397
204-200	233.18.204.200:5140	无效			5634
204-212	233.18.204.212:5140	无效			5890
204-213	233.18.204.213:5140	无效			5888
204-214	233.18.204.214:5140	无效			5634
204-232	233.18.204.232:5140	无效			6654
204-233	233.18.204.233:5140	无效			6404
204-234	233.18.204.234:5140	无效			6137
204-235	233.18.204.235:5140	无效			5889
204-236	233.18.204.236:5140	无效			5641
204-237	233.18.204.237:5140	无效			5628
204-238	233.18.204.238:5140	无效			6907
204-239	233.18.204.239:5140	无效			5640
204-240	233.18.204.240:5140	无效			5626
204-241	233.18.204.241:5140	无效			7438
204-242	233.18.204.242:5140	无效			6889
204-243	233.18.204.243:5140	无效			6402
204-244	233.18.204.244:5140	无效			6409
204-245	233.18.204.245:5140	无效			5625
204-246	233.18.204.246:5140	无效			5632
204-247	233.18.204.247:5140	无效			5643
204-248	233.18.204.248:5140	无效			7175
204-249	233.18.204.249:5140	无效			6138
204-250	233.18.204.250:5140	无效			6903
204-251	233.18.204.251:5140	无效			5635
204-252	233.18.204.252:5140	无效			5633
204-253	233.18.204.253:5140	无效			5631
204-254	233.18.204.254:5140	无效			5639
0-1	239.45.0.1:5140	无效			6386
0-7	239.45.0.7:5140	无效			5635
0-10	239.45.0.10:5140	无效			5632
0-11	239.45.0.11:5140	无效			5642
0-12	239.45.0.12:5140	无效			5888
0-14	239.45.0.14:5140	无效			5624
0-15	239.45.0.15:5140	无效			5637
0-18	239.45.0.18:5140	无效			6391
0-19	239.45.0.19:5140	无效			5637
0-20	239.45.0.20:5140	无效			5627
0-21	239.45.0.21:5140	无效			5628
0-22	239.45.0.22:5140	无效			5892
0-23	239.45.0.23:5140	无效			6404
0-24	239.45.0.24:5140	无效			5628
0-25	239.45.0.25:5140	无效			6629
0-26	239.45.0.26:5140	无效			5637
0-27	239.45.0.27:5140	无效			5892
0-28	239.45.0.28:5140	无效			5633
0-29	239.45.0.29:5140	无效			5633
0-30	239.45.0.30:5140	无效			6660
0-31	239.45.0.31:5140	无效			5635
0-32	239.45.0.32:5140	无效			6541
0-33	239.45.0.33:5140	无效			5665
0-34	239.45.0.34:5140	无效			5603
0-35	239.45.0.35:5140	无效			5601
0-36	239.45.0.36:5140	无效			5673
0-37	239.45.0.37:5140	无效			5598
0-43	239.45.0.43:5140	无效			6726
0-44	239.45.0.44:5140	无效			6470
0-45	239.45.0.45:5140	无效			5653
0-46	239.45.0.46:5140	无效			5680
0-47	239.45.0.47:5140	无效			6656
0-48	239.45.0.48:5140	无效			5666
0-49	239.45.0.49:5140	无效			5684
0-50	239.45.0.50:5140	无效			6311
0-51	239.45.0.51:5140	无效			6207
0-52	239.45.0.52:5140	无效			6722
0-53	239.45.0.53:5140	无效			5594
0-54	239.45.0.54:5140	无效			5606
0-55	239.45.0.55:5140	无效			6313
0-56	239.45.0.56:5140	无效			5599
0-57	239.45.0.57:5140	无效			5615
0-58	239.45.0.58:5140	无效			6462
0-59	239.45.0.59:5140	无效			5739
0-60	239.45.0.60:5140	无效			6719
0-61	239.45.0.61:5140	无效			5600
0-62	239.45.0.62:5140	无效			6560
0-63	239.45.0.63:5140	无效			5603
0-64	239.45.0.64:5140	无效			5610
0-65	239.45.0.65:5140	无效			6460
0-66	239.45.0.66:5140	无效			8462
0-67	239.45.0.67:5140	无效			99999
0-68	239.45.0.68:5140	无效			5576
0-69	239.45.0.69:5140	无效			5604
0-70	239.45.0.70:5140	无效			5600
0-71	239.45.0.71:5140	无效			5600
0-72	239.45.0.72:5140	无效			6517
0-73	239.45.0.73:5140	无效			5681
0-74	239.45.0.74:5140	无效			7449
0-75	239.45.0.75:5140	无效			5666
0-76	239.45.0.76:5140	无效			5759
0-77	239.45.0.77:5140	无效			5615
0-78	239.45.0.78:5140	无效			5594
0-79	239.45.0.79:5140	无效			6603
0-80	239.45.0.80:5140	无效			5665
0-81	239.45.0.81:5140	无效			99999
0-82	239.45.0.82:5140	无效			5673
0-83	239.45.0.83:5140	无效			5582
0-84	239.45.0.84:5140	无效			5609
0-85	239.45.0.85:5140	无效			7350
0-86	239.45.0.86:5140	无效			6460
0-87	239.45.0.87:5140	无效			5727
0-88	239.45.0.88:5140	无效			5699
