# 补充IP列表 - 原文件: 云南电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.200.200.x =====
# 已有IP: 154 个, 缺失IP: 100 个
# 规律: 多段线性
#   D∈[2,5] → -18.666666666666668×D+8117.333333333333
#   D∈[6,6] → -12×D+8084
#   D∈[7,7] → 16×D+7916
#   D∈[8,8] → 4×D+8000
#   D∈[9,9] → -28×D+8256
#   D∈[10,10] → 1004×D+-1032
#   D∈[11,11] → -936×D+18368
#   D∈[12,12] → 772×D+-420
#   D∈[13,15] → 4×D+8796
#   D∈[16,16] → -352×D+14136
#   D∈[17,17] → -4×D+8568
#   D∈[18,18] → 508×D+-136
#   D∈[20,23] → 4×D+8936
#   D∈[30,30] → -75.42857142857143×D+10762.857142857143
#   D∈[31,31] → 360×D+-2300
#   D∈[32,32] → 4×D+8736
#   D∈[33,33] → -840×D+35744
#   D∈[46,46] → 17.53846153846154×D+7445.2307692307695
#   D∈[49,65] → 4×D+8068
#   D∈[66,66] → -312×D+28608
#   D∈[67,67] → 760×D+-42144
#   D∈[68,68] → -4×D+9044
#   D∈[69,69] → -7538×D+521356
#   D∈[70,70] → 6774×D+-466172
#   D∈[71,71] → 4×D+7728
#   D∈[72,72] → 1008×D+-63556
#   D∈[73,73] → 4×D+8732
#   D∈[74,75] → -12×D+9900
#   D∈[76,76] → 4×D+8700
#   D∈[77,77] → 12×D+8092
#   D∈[78,78] → -7782×D+608230
#   D∈[79,81] → 0×D+1234
#   D∈[82,82] → 6770×D+-547136
#   D∈[83,83] → -4×D+8332
#   D∈[84,85] → 16×D+6672
#   D∈[86,86] → -24×D+10072
#   D∈[88,88] → 6×D+7492
#   D∈[89,89] → 4×D+7668
#   D∈[90,90] → 40×D+4464
#   D∈[91,91] → -28×D+10584
#   D∈[92,92] → -8×D+8764
#   D∈[93,93] → 60×D+2508
#   D∈[94,94] → 12×D+6972
#   D∈[95,95] → -56×D+13364
#   D∈[96,96] → 68×D+1584
#   D∈[97,97] → -4×D+8496
#   D∈[98,98] → -56×D+13540
#   D∈[100,100] → 16×D+6484
#   D∈[101,101] → -36×D+11684
#   D∈[103,103] → 176×D+-9728
#   D∈[104,104] → -316×D+40948
#   D∈[105,105] → 20×D+6004
#   D∈[106,106] → 8×D+7264
#   D∈[107,107] → 4×D+7688
#   D∈[108,109] → 8×D+7260
#   D∈[112,112] → 125.33333333333333×D+-5529.333333333332
#   D∈[113,115] → 4×D+8060
#   D∈[116,116] → 188×D+-13100
#   D∈[117,117] → 4×D+8244
#   D∈[118,118] → -272×D+40536
#   D∈[119,119] → 4×D+7968
#   D∈[120,120] → -43×D+13561
#   D∈[121,121] → -1×D+8521
#   D∈[122,122] → 208×D+-16768
#   D∈[123,123] → 4×D+8120
#   D∈[124,124] → 38×D+3938
#   D∈[125,125] → 4×D+8154
#   D∈[126,126] → 146×D+-9596
#   D∈[127,127] → -184×D+31984
#   D∈[128,128] → 36×D+4044
#   D∈[129,129] → 68×D+-52
#   D∈[130,130] → -708×D+100052
#   D∈[131,131] → 876×D+-105868
#   D∈[132,132] → -12×D+10460
#   D∈[133,134] → 4×D+8348
#   D∈[135,135] → -808×D+117156
#   D∈[136,136] → -16×D+10236
#   D∈[137,137] → 452×D+-53412
#   D∈[138,138] → 292×D+-31492
#   D∈[139,139] → 100×D+-4996
#   D∈[140,140] → -4×D+9460
#   D∈[141,141] → -176×D+33540
#   D∈[145,145] → 29×D+4635
#   D∈[147,147] → -56×D+16960
#   D∈[149,149] → -143.5×D+29822.5
#   D∈[150,150] → 209×D+-22700
#   D∈[157,157] → -33.42857142857143×D+13664.285714285714
#   D∈[158,158] → 342×D+-45278
#   D∈[159,159] → -360×D+65638
#   D∈[160,160] → -56×D+17302
#   D∈[161,161] → 40×D+1942
#   D∈[162,162] → -46×D+15788
#   D∈[163,163] → 462×D+-66508
#   D∈[164,164] → -646×D+114096
#   D∈[166,166] → -12×D+10120
#   D∈[167,167] → 608×D+-92800
#   D∈[168,168] → 12×D+6732
#   D∈[169,169] → -346×D+66876
#   D∈[175,175] → -7×D+9585
#   D∈[177,177] → 24×D+4160
#   D∈[178,178] → 476×D+-75844
#   D∈[180,180] → -220×D+48044
#   D∈[182,182] → -6×D+9524
#   D∈[185,185] → 5.333333333333333×D+7461.333333333333
#   D∈[186,186] → -92×D+25468
#   D∈[187,187] → 260×D+-40004
#   D∈[188,188] → -8×D+10112
#   D∈[189,189] → -402×D+84184
#   D∈[190,190] → 310×D+-50384
#   D∈[192,192] → 54×D+-1744
#   D∈[193,193] → 152×D+-20560
#   D∈[194,194] → 4×D+8004
#   D∈[196,196] → -326×D+72024
#   D∈[202,202] → 109.33333333333333×D+-13301.333333333332
#   D∈[203,203] → -586×D+127156
#   D∈[204,204] → 510×D+-95332
#   D∈[205,205] → -92×D+27476
#   D∈[206,206] → -472×D+105376
#   D∈[207,207] → 752×D+-146768
#   D∈[208,208] → -706×D+155038
#   D∈[209,209] → 786×D+-155298
#   D∈[211,211] → -218×D+54538
#   D∈[212,212] → 180×D+-29440
#   D∈[213,213] → 4×D+7872
#   D∈[216,216] → 1.3333333333333333×D+8440.0
#   D∈[226,226] → -51.4×D+19830.4
#   D∈[227,227] → 786×D+-169422
#   D∈[228,228] → 4×D+8092
#   D∈[229,229] → -632×D+153100
#   D∈[230,230] → -8×D+10204

200-1,rtp://239.200.200.1:8098
200-3,rtp://239.200.200.3:8061
200-4,rtp://239.200.200.4:8042
200-19,rtp://239.200.200.19:10052
200-22,rtp://239.200.200.22:9024
200-24,rtp://239.200.200.24:10012
200-25,rtp://239.200.200.25:10004
200-26,rtp://239.200.200.26:9996
200-27,rtp://239.200.200.27:9988
200-28,rtp://239.200.200.28:9980
200-29,rtp://239.200.200.29:9972
200-34,rtp://239.200.200.34:9932
200-35,rtp://239.200.200.35:9924
200-36,rtp://239.200.200.36:9916
200-37,rtp://239.200.200.37:9908
200-38,rtp://239.200.200.38:9900
200-39,rtp://239.200.200.39:9892
200-40,rtp://239.200.200.40:9884
200-41,rtp://239.200.200.41:9876
200-42,rtp://239.200.200.42:9868
200-43,rtp://239.200.200.43:9860
200-44,rtp://239.200.200.44:9852
200-45,rtp://239.200.200.45:9844
200-47,rtp://239.200.200.47:9828
200-48,rtp://239.200.200.48:9820
200-50,rtp://239.200.200.50:8268
200-51,rtp://239.200.200.51:8272
200-52,rtp://239.200.200.52:8276
200-54,rtp://239.200.200.54:8284
200-59,rtp://239.200.200.59:8304
200-87,rtp://239.200.200.87:9508
200-99,rtp://239.200.200.99:9412
200-102,rtp://239.200.200.102:9388
200-110,rtp://239.200.200.110:9324
200-111,rtp://239.200.200.111:9316
200-142,rtp://239.200.200.142:9068
200-143,rtp://239.200.200.143:9060
200-144,rtp://239.200.200.144:9052
200-146,rtp://239.200.200.146:9036
200-148,rtp://239.200.200.148:9020
200-151,rtp://239.200.200.151:8996
200-152,rtp://239.200.200.152:8988
200-153,rtp://239.200.200.153:8980
200-154,rtp://239.200.200.154:8972
200-155,rtp://239.200.200.155:8964
200-156,rtp://239.200.200.156:8956
200-165,rtp://239.200.200.165:8884
200-170,rtp://239.200.200.170:8844
200-171,rtp://239.200.200.171:8836
200-172,rtp://239.200.200.172:8828
200-173,rtp://239.200.200.173:8820
200-174,rtp://239.200.200.174:8812
200-176,rtp://239.200.200.176:8796
200-179,rtp://239.200.200.179:8772
200-181,rtp://239.200.200.181:8756
200-183,rtp://239.200.200.183:8740
200-184,rtp://239.200.200.184:8732
200-191,rtp://239.200.200.191:8676
200-195,rtp://239.200.200.195:8644
200-197,rtp://239.200.200.197:8628
200-198,rtp://239.200.200.198:8620
200-199,rtp://239.200.200.199:8612
200-200,rtp://239.200.200.200:8604
200-201,rtp://239.200.200.201:8596
200-210,rtp://239.200.200.210:8524
200-214,rtp://239.200.200.214:8492
200-215,rtp://239.200.200.215:8484
200-217,rtp://239.200.200.217:8468
200-218,rtp://239.200.200.218:8460
200-219,rtp://239.200.200.219:8452
200-220,rtp://239.200.200.220:8444
200-221,rtp://239.200.200.221:8436
200-222,rtp://239.200.200.222:8428
200-223,rtp://239.200.200.223:8420
200-224,rtp://239.200.200.224:8412
200-225,rtp://239.200.200.225:8404
200-231,rtp://239.200.200.231:8356
200-232,rtp://239.200.200.232:8348
200-233,rtp://239.200.200.233:8340
200-234,rtp://239.200.200.234:8332
200-235,rtp://239.200.200.235:8324
200-236,rtp://239.200.200.236:8316
200-237,rtp://239.200.200.237:8308
200-238,rtp://239.200.200.238:8300
200-239,rtp://239.200.200.239:8292
200-240,rtp://239.200.200.240:8284
200-241,rtp://239.200.200.241:8276
200-242,rtp://239.200.200.242:8268
200-243,rtp://239.200.200.243:8260
200-244,rtp://239.200.200.244:8252
200-245,rtp://239.200.200.245:8244
200-246,rtp://239.200.200.246:8236
200-247,rtp://239.200.200.247:8228
200-248,rtp://239.200.200.248:8220
200-249,rtp://239.200.200.249:8212
200-250,rtp://239.200.200.250:8204
200-251,rtp://239.200.200.251:8196
200-252,rtp://239.200.200.252:8188
200-253,rtp://239.200.200.253:8180
200-254,rtp://239.200.200.254:8172

# ===== 网段: 239.200.201.x =====
# 已有IP: 143 个, 缺失IP: 111 个
# 规律: 多段线性
#   D∈[1,3] → -119×D+8659
#   D∈[4,4] → -4×D+8314
#   D∈[5,5] → -4178×D+25010
#   D∈[10,10] → 879.6×D+-278.0
#   D∈[16,16] → 41.333333333333336×D+8104.666666666667
#   D∈[17,17] → -32×D+9278
#   D∈[18,18] → -192×D+11998
#   D∈[19,19] → -8×D+8686
#   D∈[20,20] → 16×D+8230
#   D∈[21,21] → -24×D+9030
#   D∈[22,22] → -16×D+8862
#   D∈[23,24] → -12×D+8774
#   D∈[29,29] → -873.2×D+29442.800000000003
#   D∈[30,30] → 4020×D+-112460
#   D∈[31,31] → 4×D+8020
#   D∈[32,32] → -4024×D+132888
#   D∈[33,33] → 0×D+4120
#   D∈[34,34] → 4028×D+-128804
#   D∈[35,35] → 620×D+-12932
#   D∈[36,36] → -364×D+21508
#   D∈[40,40] → 28×D+7396
#   D∈[41,41] → 4×D+8356
#   D∈[42,42] → -75×D+11595
#   D∈[45,45] → 118.33333333333333×D+3475.0
#   D∈[46,46] → -696×D+40120
#   D∈[48,48] → 358×D+-8364
#   D∈[49,49] → -64×D+11892
#   D∈[50,50] → -688×D+42468
#   D∈[51,52] → -4×D+8268
#   D∈[54,54] → -10×D+8580
#   D∈[55,55] → 230×D+-4380
#   D∈[56,56] → -86×D+13000
#   D∈[57,57] → -4×D+8408
#   D∈[59,59] → 301×D+-8977
#   D∈[69,69] → -1.8×D+8888.2
#   D∈[72,72] → -167.33333333333334×D+20310.0
#   D∈[73,73] → -138×D+18198
#   D∈[76,76] → 230×D+-8666
#   D∈[77,77] → -682×D+60646
