# 20260802_150121_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
内蒙古卫视	239.125.1.59:5000	无效			542
内蒙古蒙古语卫视	239.125.1.66:5000	无效			651
内蒙古农牧	239.125.1.73:4120	无效			477
内蒙古少儿	239.125.1.69:4120	无效			592
内蒙古文体	239.125.1.72:4120	无效			637
内蒙古新闻	239.125.1.70:4120	无效			410
内蒙古经济	239.125.1.74:4120	无效			719
内蒙古蒙语文化	239.125.1.71:4120	无效			501
CCTV1	239.125.1.177:4130	无效			804
CCTV2	239.125.1.118:4130	无效			452
CCTV3	239.125.2.52:4120	无效			794
CCTV4	239.125.1.141:4130	无效			470
CCTV4欧洲	239.125.2.196:4120	无效			713
CCTV4美洲	239.125.2.197:4120	无效			398
CCTV5	239.125.2.54:4120	无效			727
CCTV5+	239.125.1.57:5000	无效			322
CCTV6	239.125.2.56:4120	无效			740
CCTV7	239.125.1.131:4130	无效			460
CCTV8	239.125.2.58:4120	无效			685
CCTV9	239.125.1.142:4130	无效			512
CCTV10	239.125.1.143:4130	无效			5726
CCTV11	239.125.1.134:4130	无效			5062
CCTV12	239.125.1.161:4130	无效			5735
CCTV13	239.125.1.53:4120	无效			5076
CCTV14	239.125.1.162:4130	无效			5682
CCTV15	239.125.1.163:4130	无效			5064
CCTV16	239.125.2.206:4120	无效			5808
CGTN英语	239.125.2.198:4120	无效			5075
CGTN英文纪录	239.125.2.199:4120	无效			5744
CGTN西班牙语	239.125.2.200:4120	无效			5074
CGTN法语	239.125.2.201:4120	无效			5834
CGTN阿拉伯语	239.125.2.202:4120	无效			5074
CGTN俄语	239.125.2.203:4120	无效			5805
中国教育-1	239.125.1.139:4130	无效			5075
CETV2	239.125.1.29:5000	无效			5773
CETV4	239.125.1.110:4120	无效			5073
湖南卫视	239.125.1.170:4130	无效			5838
浙江卫视	239.125.1.159:4130	无效			5077
江苏卫视	239.125.1.172:4130	无效			5753
北京卫视	239.125.1.176:4130	无效			5075
东方卫视	239.125.1.116:4130	无效			1023
安徽卫视	239.125.1.173:4130	无效			481
广东卫视	239.125.1.154:4130	无效			1028
深圳卫视	239.125.1.166:4130	无效			547
辽宁卫视	239.125.1.115:4130	无效			999
山东卫视	239.125.1.149:4130	无效			538
天津卫视	239.125.1.153:4130	无效			1082
重庆卫视	239.125.1.168:4130	无效			467
东南卫视	239.125.1.164:4130	无效			1073
