# 20260711_145319_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
3-1	234.1.3.1:5000	无效			778
3-2	234.1.3.2:5000	无效			954
3-3	234.1.3.3:5000	无效			146
3-4	234.1.3.4:5000	无效			183
3-5	234.1.3.5:5000	无效			188
3-6	234.1.3.6:5000	无效			174
3-7	234.1.3.7:5000	无效			181
3-8	234.1.3.8:5000	无效			107
3-9	234.1.3.9:5000	无效			72
3-10	234.1.3.10:5000	无效			807
3-11	234.1.3.11:5000	无效			858
3-12	234.1.3.12:5000	无效			198
3-13	234.1.3.13:5000	无效			131
3-14	234.1.3.14:5000	无效			122
3-15	234.1.3.15:5000	无效			124
3-16	234.1.3.16:5000	无效			129
3-17	234.1.3.17:5000	无效			174
3-18	234.1.3.18:5000	无效			106
3-19	234.1.3.19:5000	无效			801
3-20	234.1.3.20:5000	无效			932
3-21	234.1.3.21:5000	无效			81
3-22	234.1.3.22:5000	无效			184
3-23	234.1.3.23:5000	无效			182
3-24	234.1.3.24:5000	无效			196
3-25	234.1.3.25:5000	无效			177
3-26	234.1.3.26:5000	无效			161
3-27	234.1.3.27:5000	无效			63
3-28	234.1.3.28:5000	无效			509
3-29	234.1.3.29:5000	无效			1182
3-30	234.1.3.30:5000	无效			191
3-31	234.1.3.31:5000	无效			124
3-32	234.1.3.32:5000	无效			121
3-33	234.1.3.33:5000	无效			124
3-34	234.1.3.34:5000	无效			108
3-35	234.1.3.35:5000	无效			124
3-36	234.1.3.36:5000	无效			130
3-37	234.1.3.37:5000	无效			490
3-38	234.1.3.38:5000	无效			1150
3-39	234.1.3.39:5000	无效			171
3-40	234.1.3.40:5000	无效			186
3-41	234.1.3.41:5000	无效			188
3-42	234.1.3.42:5000	无效			182
3-43	234.1.3.43:5000	无效			165
3-44	234.1.3.44:5000	无效			103
3-45	234.1.3.45:5000	无效			111
3-46	234.1.3.46:5000	无效			891
3-47	234.1.3.47:5000	无效			838
3-48	234.1.3.48:5000	无效			140
3-49	234.1.3.49:5000	无效			190
3-50	234.1.3.50:5000	无效			190
3-51	234.1.3.51:5000	无效			172
3-52	234.1.3.52:5000	无效			142
3-53	234.1.3.53:5000	无效			164
3-54	234.1.3.54:5000	无效			61
3-55	234.1.3.55:5000	无效			796
3-56	234.1.3.56:5000	无效			824
3-57	234.1.3.57:5000	无效			185
3-58	234.1.3.58:5000	无效			186
3-59	234.1.3.59:5000	无效			180
3-60	234.1.3.60:5000	无效			197
3-61	234.1.3.61:5000	无效			164
3-62	234.1.3.62:5000	无效			180
3-63	234.1.3.63:5000	无效			71
3-64	234.1.3.64:5000	无效			773
3-65	234.1.3.65:5000	无效			879
3-66	234.1.3.66:5000	无效			199
3-67	234.1.3.67:5000	无效			109
3-68	234.1.3.68:5000	无效			130
3-69	234.1.3.69:5000	无效			125
3-70	234.1.3.70:5000	无效			104
3-71	234.1.3.71:5000	无效			159
3-72	234.1.3.72:5000	无效			181
3-73	234.1.3.73:5000	无效			774
3-74	234.1.3.74:5000	无效			852
3-75	234.1.3.75:5000	无效			203
3-76	234.1.3.76:5000	无效			130
3-77	234.1.3.77:5000	无效			127
3-78	234.1.3.78:5000	无效			124
3-79	234.1.3.79:5000	无效			130
3-80	234.1.3.80:5000	无效			185
3-81	234.1.3.81:5000	无效			178
3-82	234.1.3.82:5000	无效			890
3-83	234.1.3.83:5000	无效			722
3-84	234.1.3.84:5000	无效			182
3-85	234.1.3.85:5000	无效			186
3-86	234.1.3.86:5000	无效			182
3-87	234.1.3.87:5000	无效			186
3-88	234.1.3.88:5000	无效			129
3-89	234.1.3.89:5000	无效			149
3-90	234.1.3.90:5000	无效			67
3-91	234.1.3.91:5000	无效			6033
