# 20260801_150024_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
4K超清	225.1.0.205:1025	有效		hevc	7408
BTV体育休闲	225.1.0.113:1025	有效	1920x1080	h264	8060
BTV卡酷少儿	225.1.0.70:8000	有效	1920x1080	h264	6578
BTV卡酷少儿	225.1.0.151:1025	有效	720x576	h264	5853
BTV国际	225.1.0.152:1025	有效	1920x1080	h264	6622
BTV影视	225.1.0.84:8000	有效		h264	1371
BTV影视	225.1.0.145:1025	有效	720x576	h264	1390
BTV文艺	225.1.0.112:1025	有效	1920x1080	h264	6583
BTV文艺	225.1.0.143:1025	有效	720x576	h264	1453
BTV新闻	225.1.0.83:8000	有效	1920x1080	h264	5014
BTV新闻	225.1.0.150:1025	有效		h264	4621
BTV生活	225.1.0.148:1025	有效		h264	1336
BTV生活	225.1.0.209:1025	有效	1920x1080	h264	2154
BTV生活	225.1.1.3:8000	有效	1920x1080	h264	6362
BTV生活	225.1.8.56:8002	有效		h264	2143
BTV纪实科教	225.1.0.144:1025	有效		h264	1646
BTV纪实科教	225.1.1.1:8000	有效		h264	1156
BTV财经	225.1.0.146:1025	有效		h264	1147
BTV财经	225.1.1.2:8000	有效		h264	2145
CCTV1	225.1.8.126:8002	无效			5952
CCTV1	225.1.8.194:4120	无效			5729
CCTV1	225.1.8.1:8008	有效			0
CCTV1	225.1.8.210:8068	无效			6096
CCTV1	225.1.8.33:8002	有效			0
CCTV1	225.1.8.53:8060	无效			5524
CCTV1	225.1.8.81:8176	有效			0
CCTV1	225.1.0.103:1025	有效	1920x1080	h264	4719
CCTV1	225.1.0.130:1025	无效			5985
CCTV1	225.1.8.55:8002	有效		hevc	6680
CCTV1	225.1.8.97:8002	无效			6133
CCTV1	225.1.8.98:8002	无效			5993
CCTV1	225.1.8.99:8002	无效			5786
CCTV1	225.1.8.103:8002	无效			6189
CCTV1	225.1.8.118:8002	无效			6188
CCTV1	225.1.8.164:8002	无效			1398
CCTV1	225.1.8.191:8002	无效			1524
CCTV1	225.1.8.192:8002	无效			1498
CCTV2	225.1.8.2:8084	有效			0
CCTV2	225.1.0.104:1025	有效	1920x1080	h264	5306
CCTV2	225.1.0.131:1025	无效			1061
CCTV2	225.1.8.102:8004	无效			1496
CCTV3	225.1.8.88:8000	有效			0
CCTV3	225.1.8.92:8000	无效			1508
CCTV4	225.1.8.4:8092	有效	1920x1080	h264	7012
CCTV4	225.1.0.102:1025	有效	1920x1080	h264	7734
CCTV4	225.1.0.132:1025	无效			1240
CCTV4K	225.1.8.223:2000	有效	3840x2160	hevc	7541
CCTV4K	225.1.8.224:2000	有效	3840x2160	hevc	6747
CCTV4欧洲	225.1.8.174:4222	有效			0
CCTV4美洲	225.1.8.175:4222	有效			0
CCTV5	225.1.8.89:8000	有效	1920x1080	h264	7135
CCTV5	225.1.8.93:8000	无效			1382
CCTV5+	225.1.8.20:8004	有效			0
CCTV5+	225.1.0.110:1025	有效		h264	2037
CCTV6	225.1.8.84:8000	有效			0
CCTV6	225.1.8.90:8000	无效			2454
CCTV7	225.1.8.7:8104	有效			0
CCTV7	225.1.0.105:1025	有效	1920x1080	h264	6450
CCTV7	225.1.0.133:1025	无效			1372
CCTV8	225.1.8.85:8000	有效			0
CCTV8	225.1.8.91:8000	无效			6243
CCTV9	225.1.8.9:8112	有效			0
CCTV9	225.1.0.106:1025	有效	1920x1080	h264	6911
CCTV9	225.1.0.134:1025	无效			6160
CCTV9	225.1.8.109:8032	无效			6135
CCTV10	225.1.8.10:8116	有效			0
CCTV10	225.1.0.107:1025	有效	1920x1080	h264	3608
CCTV10	225.1.0.135:1025	无效			5989
CCTV11	225.1.8.73:8120	有效			0
CCTV11	225.1.0.85:8120	有效	1920x1080	h264	1365
CCTV11	225.1.0.136:1025	无效			6133
CCTV12	225.1.8.12:8124	有效			0
CCTV12	225.1.0.108:1025	有效	1920x1080	h264	5771
CCTV12	225.1.0.137:1025	无效			6131
CCTV13	225.1.1.10:8128	有效			0
CCTV13	225.1.8.168:8130	有效			0
CCTV13	225.1.0.138:1025	无效			6207
CCTV13	225.1.1.10:8128	有效			0
CCTV14	225.1.8.14:8132	有效			0
CCTV14	225.1.0.109:1025	有效	1920x1080	h264	3418
CCTV14	225.1.0.139:1025	无效			6263
CCTV15	225.1.8.74:8136	有效			0
CCTV15	225.1.0.92:8136	有效	1920x1080	h264	6612
CCTV15	225.1.0.140:1025	无效			6190
CCTV15	225.1.8.115:8052	无效			6167
CCTV16	225.1.8.189:8002	有效			0
CCTV17	225.1.8.17:8144	有效			0
CCTV17	225.1.0.94:8064	无效			1454
CCTV17	225.1.0.95:8144	有效	1920x1080	h264	6127
CCTV17	225.1.8.117:8064	无效			1333
CCTV-6电影	239.69.1.124:10382	无效			2473
CCTV-16奥林匹克	239.69.1.247:11124	无效			1557
CETV1	225.1.8.169:4120	无效			1512
CETV1	225.1.8.32:8152	有效			0
CETV2	225.1.8.193:4120	有效			0
CETV4	225.1.8.195:4120	有效			0
CGTN	225.1.8.116:8056	无效			1484
CGTN	225.1.8.176:4222	有效			0
CGTN 纪录(英)	225.1.8.177:4222	有效	1920x1080	h264	1245
CGTN 英语	225.1.0.141:1025	无效			1530
CGTN俄语	225.1.8.181:4222	有效			0
CGTN法语	225.1.8.179:4222	有效			0
CGTN西语	225.1.8.178:4222	有效			0
CGTN阿语	225.1.8.180:4222	有效			0
IPTV5足球	225.1.8.249:4120	有效			0
IPTV7军事	225.1.8.236:4120	有效			0
IPTV10解密	225.1.8.235:4120	有效			0
IPTV11戏曲	225.1.8.238:4120	有效			0
IPTV14早教	225.1.8.239:4120	有效			0
IPTV15音乐现场	225.1.8.230:4120	有效			0
IPTV光影	225.1.0.222:1025	有效	1920x1080	h264	1595
IPTV军事	225.1.0.229:1025	有效	1920x1080	h264	2889
IPTV军旅剧场	225.1.0.237:1025	有效	1920x1080	h264	5550
IPTV动作影院	225.1.0.216:1025	有效	1920x1080	h264	5682
IPTV动画	225.1.0.225:1025	有效	1920x1080	h264	6089
IPTV古装剧场	225.1.0.236:1025	有效		h264	1244
IPTV台球	225.1.0.203:1025	有效	1920x1080	h264	5432
IPTV喜剧影院	225.1.0.217:1025	有效	1920x1080	h264	5695
IPTV国学	225.1.8.237:4120	有效			0
IPTV国学	225.1.0.228:1025	有效		h264	1478
IPTV地理	225.1.8.231:4120	有效			0
IPTV地理	225.1.0.234:1025	有效	1920x1080	h264	1817
IPTV城市剧场	225.1.0.238:1025	有效		h264	1289
IPTV墨宝	225.1.8.243:4120	有效			0
IPTV墨宝	225.1.0.202:1025	有效	1920x1080	h264	5886
IPTV好学生	225.1.8.241:4120	有效			0
IPTV好学生	225.1.0.224:1025	有效	1920x1080	h264	6685
IPTV家庭影院	225.1.0.215:1025	有效	1920x1080	h264	5573
IPTV少儿动画	225.1.0.198:1025	有效	1920x1080	h264	6260
IPTV戏曲	225.1.0.227:1025	有效	1920x1080	h264	5750
IPTV收视指南	225.1.8.201:8012	有效			0
IPTV收视指南	225.1.0.192:1025	有效	1920x1080	h264	5529
IPTV早教	225.1.0.226:1025	有效	1920x1080	h264	2429
IPTV星影	225.1.0.214:1025	有效	1920x1080	h264	5908
IPTV武侠剧场	225.1.0.218:1025	有效	1920x1080	h264	5984
IPTV武术	225.1.8.247:4120	有效			0
IPTV武术	225.1.0.220:1025	有效	1920x1080	hevc	5850
IPTV热播剧场	225.1.0.193:1025	有效		h264	1235
IPTV爱生活	225.1.8.246:4120	有效			0
IPTV爱生活	225.1.0.221:1025	有效	1920x1080	h264	5772
IPTV精选	225.1.0.231:1025	有效	1920x1080	h264	2884
IPTV经典电影	225.1.0.194:1025	有效	1920x1080	h264	2840
IPTV美人	225.1.8.233:4120	有效			0
IPTV美人	225.1.0.232:1025	有效		h264	2529
IPTV美妆	225.1.8.232:4120	有效			0
IPTV美妆	225.1.0.233:1025	有效	1920x1080	h264	5752
IPTV解密	225.1.0.230:1025	有效	1920x1080	h264	1357
IPTV足球	225.1.0.219:1025	有效	1920x1080	h264	5848
IPTV鉴赏	225.1.8.242:4120	有效			0
IPTV鉴赏	225.1.0.223:1025	有效		h264	1230
IPTV音乐现场	225.1.0.235:1025	有效	1920x1080	h264	6025
IPTV高网	225.1.0.204:1025	有效	1920x1080	h264	5690
IPTV魅力时尚	225.1.0.195:1025	有效	1920x1080	h264	2702
三沙卫视	225.1.8.78:4120	有效			0
三沙卫视	225.1.0.91:4120	有效	720x576	h264	5586
东南卫视	225.1.8.79:8148	有效			0
东南卫视	225.1.0.90:8148	有效	1920x1080	h264	2372
东南卫视	225.1.0.170:1025	无效			1388
东南卫视	225.1.8.149:8112	无效			1498
东方卫视	225.1.8.45:8032	有效			0
东方卫视	225.1.0.121:1025	有效	1920x1080	h264	6453
东方卫视	225.1.0.168:1025	无效			1403
中国交通	225.1.8.208:8002	有效	1920x1080	h264	8479
中国教育1台	225.1.0.190:1025	无效			6278
中国教育1台	225.1.0.242:1025	有效	1920x1080	h264	5670
中国教育2台	225.1.0.241:1025	有效	720x576	h264	5721
中国教育3台	225.1.0.240:1025	无效			6192
中国教育4台	225.1.0.239:1025	有效	720x576	h264	6913
云南卫视	225.1.8.139:8108	有效			0
云南卫视	225.1.0.160:1025	有效	720x576	h264	5721
优购物	225.1.8.185:8002	有效	1920x1080	h264	7304
优购物	225.1.8.198:8002	无效			6234
光影	225.1.8.244:4120	有效			0
兵器科技	239.69.1.79:10114	无效			6240
兵团卫视	225.1.8.167:4120	无效			6315
兵团卫视	225.1.0.188:1025	无效			6209
内蒙古卫视	225.1.8.156:8176	有效			0
内蒙古卫视	225.1.0.177:1025	有效	720x576	h264	5951
军旅剧场	225.1.8.228:4120	有效			0
动作影院	225.1.8.252:4120	有效			0
北京IPTV4K超清	225.1.8.211:8002	有效			0
北京IPTV淘BABY	225.1.8.36:8002	有效			0
北京IPTV淘剧场	225.1.8.37:8002	有效			0
北京IPTV淘娱乐	225.1.8.61:8002	有效			0
北京IPTV淘电影	225.1.8.38:8002	有效			0
北京IPTV萌宠TV	225.1.8.63:8002	有效			0
北京体育休闲	225.1.8.23:8002	有效			0
北京卡酷少儿	225.1.8.130:8002	有效			0
北京卡酷少儿	225.1.8.35:8000	有效			0
北京卫视	225.1.8.121:8002	有效			0
北京卫视	225.1.8.21:8002	有效			0
北京卫视	225.1.0.111:1025	有效	1920x1080	h264	5562
北京卫视	225.1.0.142:1025	有效	720x576	h264	3705
北京卫视4K超高清	225.1.8.120:8002	有效			0
北京卫视4K超高清	225.1.8.128:8002	有效			0
北京国际频道	225.1.8.131:8002	有效			0
北京影视	225.1.8.124:8002	有效			0
北京影视频道	225.1.8.82:8000	有效	1920x1080	h264	7133
北京文艺	225.1.8.122:8002	有效			0
北京文艺频道	225.1.8.22:8002	有效			0
北京新闻	225.1.8.129:8002	有效			0
北京新闻频道	225.1.8.83:8000	有效			0
北京生活	225.1.8.127:8002	有效			0
北京生活频道	225.1.8.108:8002	有效			0
北京科教	225.1.8.123:8002	有效			0
北京纪实科教	225.1.8.105:8002	有效			0
北京财经	225.1.8.125:8002	有效			0
北京财经频道	225.1.8.106:8002	有效			0
华数动画	225.1.8.240:4120	有效			0
华数精选	225.1.8.234:4120	有效			0
卡酷少儿	239.69.1.193:10800	无效			6249
厦门卫视	225.1.8.166:4120	有效			0
厦门卫视	225.1.0.187:1025	有效	720x576	h264	5290
古装剧场	225.1.8.229:4120	有效			0
台球	225.1.8.245:4120	有效			0
吉林卫视	225.1.8.153:8200	无效			6231
吉林卫视	225.1.8.184:8174	有效			0
吉林卫视	225.1.0.174:1025	无效			6266
喜剧影院	225.1.8.251:4120	有效			0
嘉佳卡通	225.1.8.170:9268	有效			0
嘉佳卡通	225.1.0.191:1025	有效	720x576	h264	1889
四川卫视	225.1.8.142:8288	有效			0
四川卫视	225.1.0.163:1025	有效	720x576	h264	5906
城市剧场	225.1.8.227:4120	有效			0
大健康	225.1.0.116:1025	有效		h264	1004
大湾区卫视	225.1.0.99:1025	无效			6243
大湾区卫视	225.1.8.225:5008	无效			1560
天津卫视	225.1.8.48:8044	有效			0
天津卫视	225.1.0.124:1025	有效		h264	1569
天津卫视	225.1.0.157:1025	无效			2544
天津卫视	225.1.8.136:8144	无效			1484
央广购物	225.1.8.182:8002	有效	1920x1080	h264	8637
央广购物	225.1.8.183:8002	有效	1920x1080	h264	6780
宁夏卫视	225.1.8.159:8124	无效			1435
宁夏卫视	225.1.0.180:1025	无效			1412
安徽卫视	225.1.8.52:8064	有效			0
安徽卫视	225.1.0.128:1025	有效	1920x1080	h264	1707
安徽卫视	225.1.0.156:1025	无效			2596
家庭影院	225.1.8.253:4120	有效			0
家有购物	225.1.8.187:8002	有效	1920x1080	h264	7126
家有购物	225.1.8.188:8002	有效	1920x1080	h264	6635
密云电视台	225.1.8.75:8002	有效			0
少儿动画	225.1.8.207:9000	有效			0
山东卫视	225.1.8.50:8052	有效			0
山东卫视	225.1.0.126:1025	有效	1920x1080	h264	6354
山东卫视	225.1.0.159:1025	无效			1548
山东卫视	225.1.8.138:8148	无效			1536
山东教育卫视	225.1.8.190:4120	有效			0
山东教育卫视	225.1.0.246:1025	有效	720x576	h264	5254
山西卫视	225.1.8.155:8172	有效			0
山西卫视	225.1.0.176:1025	有效	720x576	h264	7888
广东卫视	225.1.8.49:8048	有效			0
广东卫视	225.1.0.125:1025	有效	1920x1080	h264	6644
广东卫视	225.1.0.172:1025	无效			1431
广东卫视	225.1.8.151:8132	无效			3734
广西卫视	225.1.8.152:8300	有效			0
广西卫视	225.1.0.173:1025	有效	720x576	h264	2206
延庆电视台	225.1.8.196:8002	有效	720x576	h264	5296
快乐垂钓	225.1.8.71:8002	有效			0
快乐垂钓	225.1.0.97:1025	有效	1920x1080	h264	6712
怀旧剧场	239.69.1.86:10156	无效			1389
怀旧剧场	239.69.1.89:10174	无效			1465
房山电视台	225.1.8.68:8002	有效			0
房山电视台	225.1.0.250:1025	有效	1920x1080	h264	8939
新疆卫视	225.1.8.161:8160	无效			1495
新疆卫视	225.1.0.182:1025	无效			1419
时尚购物	225.1.8.186:8002	无效			2487
时尚购物	225.1.8.199:8002	无效			1499
星影	225.1.8.254:4120	有效			0
晴彩篮球	225.1.8.212:8002	有效	1920x1080	h264	6481
朝阳融媒	225.1.8.69:8002	有效	1920x1080	h264	8301
朝阳融媒	225.1.0.100:1025	有效	1920x1080	h264	3926
武侠剧场	225.1.8.250:4120	有效			0
江苏卫视	225.1.8.44:8028	有效			0
江苏卫视	225.1.0.120:1025	有效	1920x1080	h264	7145
江苏卫视	225.1.0.155:1025	无效			1404
江西卫视	225.1.1.9:8164	有效			0
江西卫视	225.1.8.171:8166	有效			0
江西卫视	225.1.0.164:1025	无效			1463
河北卫视	225.1.8.76:8002	有效	1920x1080	h264	6845
河北卫视	225.1.0.171:1025	无效			1475
河南卫视	225.1.8.140:8128	无效			1435
河南卫视	225.1.8.206:8184	有效			0
河南卫视	225.1.0.71:8184	有效	1920x1080	h264	4957
河南卫视	225.1.0.161:1025	无效			6658
河南卫视	225.1.8.40:8184	无效			6649
浙江卫视	225.1.8.46:8036	有效			0
浙江卫视	225.1.0.122:1025	有效		h264	2131
浙江卫视	225.1.0.154:1025	无效			6650
海南卫视	225.1.8.158:8304	有效			0
海南卫视	225.1.0.179:1025	有效	720x576	h264	5652
淘baby	225.1.0.206:1025	有效	1920x1080	h264	6173
淘剧场	225.1.0.114:1025	有效	1920x1080	h264	4212
淘娱乐	225.1.0.212:1025	有效		h264	1848
淘电影	225.1.0.115:1025	有效	1920x1080	h264	1177
深圳卫视	225.1.8.43:8020	有效			0
深圳卫视	225.1.0.119:1025	有效	1920x1080	h264	1308
深圳卫视	225.1.0.166:1025	无效			7676
湖北卫视	225.1.8.47:8044	有效			0
湖北卫视	225.1.0.123:1025	有效	1920x1080	h264	6503
湖北卫视	225.1.0.167:1025	无效			7665
湖北卫视	225.1.8.146:8136	无效			6890
湖南卫视	225.1.8.41:8012	有效			0
湖南卫视	225.1.0.117:1025	有效	1920x1080	h264	729
湖南卫视	225.1.0.153:1025	无效			7394
湖南卫视	225.1.8.132:8064	无效			7383
热播剧场	225.1.8.202:9020	有效			0
爱上4K	225.1.0.101:1025	有效	3840x2160	hevc	4122
爱上4K电影	225.1.8.80:2000	有效			0
甘肃卫视	225.1.8.162:8188	无效			6607
甘肃卫视	225.1.0.183:1025	无效			7871
睛彩广场舞	225.1.8.215:8002	有效	1920x1080	h264	8080
睛彩竞技	225.1.8.209:8002	有效	1920x1080	h264	3234
睛彩羽毛球	225.1.8.214:8002	有效	1920x1080	h264	2587
第一剧场	239.69.1.74:10084	无效			6176
纪实人文	225.1.0.129:1025	无效			6176
经典电影	225.1.8.203:9024	有效			0
聚鲨环球精选	225.1.8.216:8002	有效	1920x1080	h264	3935
聚鲨精选	225.1.8.58:8002	有效			0
茶频道	225.1.8.72:8002	有效			0
茶频道	225.1.0.96:1025	有效	1920x1080	h264	6267
萌宠TV	225.1.0.210:1025	有效		h264	2030
西藏卫视	225.1.8.160:8164	无效			6167
西藏卫视	225.1.0.181:1025	无效			6149
财富天下	225.1.0.186:1025	无效			6142
财富天下	225.1.8.165:9136	无效			6135
贵州卫视	225.1.8.77:8076	有效			0
贵州卫视	225.1.0.88:8076	有效	1920x1080	h264	6412
贵州卫视	225.1.0.165:1025	无效			6118
贵州卫视	225.1.8.144:8120	无效			6099
辽宁卫视	225.1.8.51:8056	有效			0
辽宁卫视	225.1.0.127:1025	有效	1920x1080	h264	3937
辽宁卫视	225.1.0.158:1025	无效			6094
辽宁卫视	225.1.8.137:8116	无效			6077
通州电视台	225.1.8.119:8002	有效	1920x1080	h264	6999
重庆卫视	225.1.8.172:8162	有效			0
重庆卫视	225.1.0.169:1025	无效			6057
江西卫视	225.1.1.9:8164	有效			0
重温经典	225.1.8.39:8002	有效			0
金鹰卡通	225.1.8.163:9252	有效			0
金鹰卡通	239.69.1.248:11130	无效			6072
金鹰卡通	225.1.0.184:1025	有效	720x576	h264	1664
金鹰纪实	225.1.8.31:8156	有效	1920x1080	h264	7090
金鹰纪实	225.1.0.243:1025	有效	1920x1080	h264	7901
陕西卫视	225.1.8.154:8140	有效			0
陕西卫视	225.1.0.175:1025	有效	720x576	h264	6533
青海卫视	225.1.8.157:8184	有效			0
青海卫视	225.1.0.178:1025	有效	720x576	h264	6398
风云足球	239.69.1.81:10126	无效			6044
高网频道	225.1.8.248:4120	有效			0
魅力时尚	225.1.8.204:9012	有效			0
黑龙江卫视	225.1.8.42:8016	有效			0
黑龙江卫视	225.1.0.118:1025	有效	1920x1080	h264	6462
黑龙江卫视	225.1.0.162:1025	无效			6051
﻿# 2026/05/16 16:40		无效			6047
