# 20260723_155522_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-1	225.1.1.1:8452	无效			5249
1-2	225.1.1.2:8416	无效			5045
1-3	225.1.1.3:8380	无效			5046
1-4	225.1.1.4:8344	无效			5043
1-5	225.1.1.5:8308	无效			5044
1-6	225.1.1.6:8272	无效			5046
1-7	225.1.1.7:8236	无效			5047
1-8	225.1.1.8:8200	无效			5325
1-11	225.1.1.11:8092	无效			5058
1-12	225.1.1.12:8056	无效			5066
1-13	225.1.1.13:8020	无效			5052
1-14	225.1.1.14:7984	无效			5048
1-15	225.1.1.15:7948	无效			5042
1-16	225.1.1.16:7912	无效			5046
1-17	225.1.1.17:7876	无效			5283
1-18	225.1.1.18:7840	无效			5044
1-19	225.1.1.19:7804	无效			5055
1-20	225.1.1.20:7768	无效			5054
1-21	225.1.1.21:7732	无效			5052
1-22	225.1.1.22:7696	无效			5042
1-23	225.1.1.23:7660	无效			5038
1-24	225.1.1.24:7624	无效			5269
1-25	225.1.1.25:7588	无效			5052
1-26	225.1.1.26:7552	无效			5062
1-27	225.1.1.27:7516	无效			5050
1-28	225.1.1.28:7480	无效			5047
1-29	225.1.1.29:7444	无效			5041
1-30	225.1.1.30:7408	无效			5041
1-31	225.1.1.31:7372	无效			5321
1-32	225.1.1.32:7336	无效			5070
1-33	225.1.1.33:7300	无效			5046
1-34	225.1.1.34:7264	无效			5047
1-35	225.1.1.35:7228	无效			5042
1-36	225.1.1.36:7192	无效			5051
1-37	225.1.1.37:7156	无效			5047
1-38	225.1.1.38:7120	无效			5314
1-39	225.1.1.39:7084	无效			5051
1-40	225.1.1.40:7048	无效			5046
1-41	225.1.1.41:7012	无效			5048
1-42	225.1.1.42:6976	无效			5042
1-43	225.1.1.43:6940	无效			5041
1-44	225.1.1.44:6904	无效			5038
1-45	225.1.1.45:6868	无效			5279
1-46	225.1.1.46:6832	无效			5050
1-47	225.1.1.47:6796	无效			5041
1-48	225.1.1.48:6760	无效			5039
1-49	225.1.1.49:6724	无效			5039
1-50	225.1.1.50:6688	无效			5039
1-51	225.1.1.51:6652	无效			5039
1-52	225.1.1.52:6616	无效			5301
1-53	225.1.1.53:6580	无效			5057
1-54	225.1.1.54:6544	无效			5052
1-55	225.1.1.55:6508	无效			5047
1-56	225.1.1.56:6472	无效			5048
1-57	225.1.1.57:6436	无效			5046
1-58	225.1.1.58:6400	无效			5038
1-59	225.1.1.59:6364	无效			5326
1-60	225.1.1.60:6328	无效			5065
1-61	225.1.1.61:6292	无效			5058
1-62	225.1.1.62:6256	无效			5044
1-63	225.1.1.63:6220	无效			5047
1-64	225.1.1.64:6184	无效			5048
1-65	225.1.1.65:6148	无效			5040
1-66	225.1.1.66:6112	无效			5360
1-67	225.1.1.67:6076	无效			5052
1-68	225.1.1.68:6040	无效			5049
1-69	225.1.1.69:6004	无效			5041
1-70	225.1.1.70:5968	无效			5036
1-71	225.1.1.71:5932	无效			5046
1-72	225.1.1.72:5896	无效			5046
1-73	225.1.1.73:5860	无效			569
1-74	225.1.1.74:5824	无效			628
1-75	225.1.1.75:5788	无效			310
1-76	225.1.1.76:5752	无效			246
1-77	225.1.1.77:5716	无效			1281
1-78	225.1.1.78:5680	无效			239
1-79	225.1.1.79:5644	无效			222
1-80	225.1.1.80:5608	无效			1563
1-81	225.1.1.81:5572	无效			2353
1-82	225.1.1.82:5536	无效			1261
1-83	225.1.1.83:5500	无效			232
1-84	225.1.1.84:5464	无效			227
1-85	225.1.1.85:5428	无效			242
1-86	225.1.1.86:5392	无效			393
1-87	225.1.1.87:5356	无效			659
1-88	225.1.1.88:5320	无效			462
1-89	225.1.1.89:5284	无效			271
1-90	225.1.1.90:5248	无效			307
1-91	225.1.1.91:5212	无效			291
1-92	225.1.1.92:5176	无效			329
1-93	225.1.1.93:5140	无效			313
1-94	225.1.1.94:5104	无效			2657
1-95	225.1.1.95:5068	无效			253
1-96	225.1.1.96:5032	无效			263
1-97	225.1.1.97:4996	无效			237
1-98	225.1.1.98:4960	无效			235
1-99	225.1.1.99:4924	无效			222
1-100	225.1.1.100:4888	无效			218
1-101	225.1.1.101:4852	无效			607
1-102	225.1.1.102:4816	无效			500
1-103	225.1.1.103:4780	无效			1294
1-104	225.1.1.104:4744	无效			369
1-105	225.1.1.105:4708	无效			221
1-106	225.1.1.106:4672	无效			1253
1-107	225.1.1.107:4636	无效			1276
1-108	225.1.1.108:4600	无效			563
1-109	225.1.1.109:4564	无效			625
1-110	225.1.1.110:4528	无效			1342
1-111	225.1.1.111:4492	无效			335
1-112	225.1.1.112:4456	无效			298
1-113	225.1.1.113:4420	无效			266
1-114	225.1.1.114:4384	无效			1268
1-115	225.1.1.115:4348	无效			679
1-116	225.1.1.116:4312	无效			492
1-117	225.1.1.117:4276	无效			308
1-118	225.1.1.118:4240	无效			322
1-119	225.1.1.119:4204	无效			239
1-120	225.1.1.120:4168	无效			285
1-121	225.1.1.121:4132	无效			1374
1-122	225.1.1.122:4096	无效			642
1-123	225.1.1.123:4060	无效			534
1-124	225.1.1.124:4024	无效			1352
1-125	225.1.1.125:3988	无效			1355
1-126	225.1.1.126:3952	无效			267
1-127	225.1.1.127:3916	无效			236
1-128	225.1.1.128:3880	无效			217
1-129	225.1.1.129:3844	无效			787
1-130	225.1.1.130:3808	无效			388
1-131	225.1.1.131:3772	无效			1344
1-132	225.1.1.132:3736	无效			312
1-133	225.1.1.133:3700	无效			260
1-134	225.1.1.134:3664	无效			229
1-135	225.1.1.135:3628	无效			258
1-136	225.1.1.136:3592	无效			1753
1-137	225.1.1.137:3556	无效			1276
1-138	225.1.1.138:3520	无效			217
1-139	225.1.1.139:3484	无效			266
1-140	225.1.1.140:3448	无效			225
1-141	225.1.1.141:3412	无效			229
1-142	225.1.1.142:3376	无效			287
1-143	225.1.1.143:3340	无效			5540
1-144	225.1.1.144:3304	无效			5043
1-145	225.1.1.145:3268	无效			5040
1-146	225.1.1.146:3232	无效			5042
1-147	225.1.1.147:3196	无效			5038
1-148	225.1.1.148:3160	无效			5039
1-149	225.1.1.149:3124	无效			5038
1-150	225.1.1.150:3088	无效			5515
1-151	225.1.1.151:3052	无效			5044
1-152	225.1.1.152:3016	无效			5045
1-153	225.1.1.153:2980	无效			5038
1-154	225.1.1.154:2944	无效			5037
1-155	225.1.1.155:2908	无效			5041
1-156	225.1.1.156:2872	无效			5037
1-157	225.1.1.157:2836	无效			5575
1-158	225.1.1.158:2800	无效			5046
1-159	225.1.1.159:2764	无效			5040
1-160	225.1.1.160:2728	无效			5037
1-161	225.1.1.161:2692	无效			5037
1-162	225.1.1.162:2656	无效			5038
1-163	225.1.1.163:2620	无效			5037
1-164	225.1.1.164:2584	无效			5521
1-165	225.1.1.165:2548	无效			5043
1-166	225.1.1.166:2512	无效			5049
1-167	225.1.1.167:2476	无效			5039
1-168	225.1.1.168:2440	无效			5036
1-169	225.1.1.169:2404	无效			5039
1-170	225.1.1.170:2368	无效			5036
1-171	225.1.1.171:2332	无效			5566
1-172	225.1.1.172:2296	无效			5050
1-173	225.1.1.173:2260	无效			5039
1-174	225.1.1.174:2224	无效			5047
1-175	225.1.1.175:2188	无效			5039
1-176	225.1.1.176:2152	无效			5042
1-177	225.1.1.177:2116	无效			5036
1-178	225.1.1.178:2080	无效			5568
1-179	225.1.1.179:2044	无效			5051
1-180	225.1.1.180:2008	无效			5042
1-181	225.1.1.181:1972	无效			5048
1-182	225.1.1.182:1936	无效			5040
1-183	225.1.1.183:1900	无效			5040
1-184	225.1.1.184:1864	无效			5036
1-185	225.1.1.185:1828	无效			5634
1-186	225.1.1.186:1792	无效			5043
1-187	225.1.1.187:1756	无效			5042
1-188	225.1.1.188:1720	无效			5039
1-189	225.1.1.189:1684	无效			5044
1-190	225.1.1.190:1648	无效			5044
1-191	225.1.1.191:1612	无效			5039
1-192	225.1.1.192:1576	无效			5597
1-193	225.1.1.193:1540	无效			5039
1-194	225.1.1.194:1504	无效			5048
1-195	225.1.1.195:1468	无效			5049
1-196	225.1.1.196:1432	无效			5050
1-197	225.1.1.197:1396	无效			5040
1-198	225.1.1.198:1360	无效			5042
1-199	225.1.1.199:1324	无效			5583
1-200	225.1.1.200:1288	无效			5048
1-201	225.1.1.201:1252	无效			5052
1-202	225.1.1.202:1216	无效			5038
1-203	225.1.1.203:1180	无效			5039
1-204	225.1.1.204:1144	无效			5040
1-205	225.1.1.205:1108	无效			5038
1-206	225.1.1.206:1072	无效			5573
1-207	225.1.1.207:1036	无效			5053
1-208	225.1.1.208:1000	无效			5050
1-209	225.1.1.209:964	无效			5051
1-210	225.1.1.210:928	无效			5053
1-211	225.1.1.211:892	无效			5046
1-212	225.1.1.212:856	无效			5041
1-213	225.1.1.213:820	无效			1858
1-214	225.1.1.214:784	无效			241
1-215	225.1.1.215:748	无效			238
1-216	225.1.1.216:712	无效			1424
1-217	225.1.1.217:676	无效			223
1-218	225.1.1.218:640	无效			229
1-219	225.1.1.219:604	无效			217
1-220	225.1.1.220:568	无效			800
1-221	225.1.1.221:532	无效			294
1-222	225.1.1.222:496	无效			287
1-223	225.1.1.223:460	无效			241
1-224	225.1.1.224:424	无效			289
1-225	225.1.1.225:388	无效			319
1-226	225.1.1.226:352	无效			341
1-227	225.1.1.227:316	无效			744
1-228	225.1.1.228:280	无效			333
1-229	225.1.1.229:244	无效			282
1-230	225.1.1.230:208	无效			226
1-231	225.1.1.231:172	无效			313
1-232	225.1.1.232:136	无效			329
1-233	225.1.1.233:100	无效			361
1-234	225.1.1.234:64	无效			800
1-235	225.1.1.235:28	无效			290
1-236	225.1.1.236:1	无效			1352
1-237	225.1.1.237:1	无效			299
1-238	225.1.1.238:1	无效			1285
1-239	225.1.1.239:1	无效			1259
1-240	225.1.1.240:1	无效			236
1-241	225.1.1.241:1	无效			754
1-242	225.1.1.242:1	无效			297
1-243	225.1.1.243:1	无效			233
1-244	225.1.1.244:1	无效			305
1-245	225.1.1.245:1	无效			273
1-246	225.1.1.246:1	无效			334
1-247	225.1.1.247:1	无效			249
1-248	225.1.1.248:1	无效			820
1-249	225.1.1.249:1	无效			265
1-250	225.1.1.250:1	无效			334
1-251	225.1.1.251:1	无效			232
1-252	225.1.1.252:1	无效			270
1-253	225.1.1.253:1	无效			332
1-254	225.1.1.254:1	无效			1435
8-3	225.1.8.3:4120	无效			809
8-5	225.1.8.5:8096	无效			1288
8-6	225.1.8.6:8100	无效			258
8-8	225.1.8.8:8108	无效			388
8-11	225.1.8.11:8120	无效			239
8-13	225.1.8.13:8128	无效			246
8-15	225.1.8.15:8136	无效			238
8-16	225.1.8.16:8140	无效			767
8-18	225.1.8.18:4120	无效			304
8-19	225.1.8.19:4120	无效			315
8-24	225.1.8.24:4120	无效			230
8-25	225.1.8.25:4120	无效			256
8-26	225.1.8.26:4120	无效			305
8-27	225.1.8.27:4120	无效			247
8-28	225.1.8.28:4120	无效			764
8-29	225.1.8.29:4120	无效			1337
8-30	225.1.8.30:4120	无效			262
8-34	225.1.8.34:4120	无效			382
8-40	225.1.8.40:4120	无效			259
8-54	225.1.8.54:4120	无效			232
8-55	225.1.8.55:4120	无效			257
8-56	225.1.8.56:4120	无效			793
8-57	225.1.8.57:4120	无效			1311
8-59	225.1.8.59:4120	无效			250
8-60	225.1.8.60:4120	无效			1399
8-62	225.1.8.62:8002	无效			1261
8-64	225.1.8.64:8002	无效			224
8-65	225.1.8.65:8002	无效			240
8-66	225.1.8.66:8002	无效			5624
8-67	225.1.8.67:8002	无效			5087
8-70	225.1.8.70:8002	无效			5067
8-86	225.1.8.86:8000	无效			5050
8-87	225.1.8.87:8000	无效			5041
8-90	225.1.8.90:4120	无效			5037
8-91	225.1.8.91:4120	无效			5035
8-92	225.1.8.92:4120	无效			5598
8-93	225.1.8.93:4120	无效			5042
8-94	225.1.8.94:4120	无效			5038
8-95	225.1.8.95:4120	无效			5037
8-96	225.1.8.96:4120	无效			5045
