# 20260629_170534_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
BRTV文艺	228.1.1.127:8001	无效			961
BRTV生活	228.1.1.199:8000	无效			542
CCTV1HD	228.1.1.28:8008	无效			638
CCTV2HD	228.1.1.24:8084	无效			839
CCTV3HD	228.1.1.191:8002	无效			906
CCTV4HD	228.1.1.25:8092	无效			537
CCTV4KSDR	228.1.1.227:2000	无效			717
CCTV4欧洲HD	228.1.1.213:4220	无效			745
CCTV4美洲HD	228.1.1.203:4220	无效			896
CCTV5+HD	228.1.1.23:8004	无效			538
CCTV5HD	228.1.1.192:8002	无效			906
CCTV6HD	228.1.1.193:8002	无效			584
CCTV7HD	228.1.1.26:8104	无效			877
CCTV8HD	228.1.1.194:8002	无效			603
CCTV9HD	228.1.1.27:8112	无效			1015
CCTV10HD	228.1.1.29:8116	无效			473
CCTV11HD	228.1.1.182:8120	无效			690
CCTV12HD	228.1.1.30:8124	无效			755
CCTV13HD	228.1.1.212:8128	无效			904
CCTV14HD	228.1.1.31:8132	无效			557
CCTV15	228.1.1.218:8002	无效			6260
CCTV15	228.1.1.216:8002	无效			6098
CCTV15HD	228.1.1.183:8136	无效			6247
CCTV16HD	228.1.1.215:8002	无效			6106
CCTV17HD	228.1.1.181:8144	无效			6251
CETV1HD	228.1.1.32:8152	无效			6097
CETV2	228.1.1.97:4120	无效			6234
CETV2	228.1.1.98:4120	无效			6110
CGTNHD	228.1.1.204:4220	无效			6208
CGTN俄语HD	228.1.1.209:4220	无效			6131
CGTN法语HD	228.1.1.207:4220	无效			6211
CGTN纪录HD	228.1.1.205:4220	无效			6131
CGTN西语HD	228.1.1.206:4220	无效			6478
CGTN阿语	228.1.1.208:4220	无效			5864
CHC动作电影HD	228.1.1.238:7000	无效			6230
IPTV少儿动画HD	228.1.1.83:9000	无效			5830
IPTV收视指南HD	228.1.1.108:8012	无效			6470
IPTV热播剧场HD	228.1.1.88:9020	无效			5857
IPTV经典电影HD	228.1.1.89:9024	无效			6454
IPTV魅力时尚HD	228.1.1.86:9012	无效			5862
三沙卫视	228.1.1.186:4120	无效			6445
东南卫视HD	228.1.1.185:8148	无效			5865
东方卫视4K	228.1.1.43:3006	无效			6219
东方卫视HD	228.1.1.39:8032	无效			5830
