# 20260524_064222_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
北京卫视	239.3.1.241:8000	有效			0
北京卫视4K	239.3.1.139:8001	无效			1163
北京卫视4K	239.3.1.140:8001	无效			557
北京卫视4K	239.3.1.22:8001	有效			0
北京卫视4KHDR	239.3.1.118:8001	有效			0
北京IPTV4K超清	239.3.1.249:8001	有效			0
北京IPTV淘BABY	239.3.1.238:8001	有效	1920x1080	h264	6265
北京IPTV淘剧场	239.3.1.95:8001	有效	1920x1080	h264	5696
北京IPTV淘娱乐	239.3.1.100:8001	有效			0
北京IPTV淘电影	239.3.1.250:8001	有效			0
北京IPTV萌宠TV	239.3.1.102:8001	有效			0
北京体育休闲	239.3.1.243:8000	有效	1920x1080	h264	6120
北京卡酷少儿	239.3.1.189:8000	有效	1920x1080	h264	5515
北京国际频道	239.3.1.235:8000	有效	1920x1080	h264	6220
北京影视频道	239.3.1.158:8000	有效	1920x1080	h264	5675
北京文艺频道	239.3.1.242:8000	有效			0
北京新闻频道	239.3.1.159:8000	有效			0
北京生活频道	239.3.1.117:8000	有效			0
北京纪实科教	239.3.1.115:8000	有效			0
北京财经频道	239.3.1.116:8000	无效			1209
CCTV1	239.3.1.129:8008	无效			589
CCTV2	239.3.1.60:8084	有效			0
CCTV3	239.3.1.172:8001	无效			1164
CCTV4	239.3.1.105:8092	无效			589
CCTV4欧洲	239.3.1.213:4220	无效			1161
CCTV4美洲	239.3.1.214:4220	无效			611
CCTV5	239.3.1.173:8001	无效			1221
CCTV5+	239.3.1.130:8004	无效			578
CCTV6	239.3.1.174:8001	无效			1296
CCTV7	239.3.1.61:8104	无效			614
CCTV8	239.3.1.175:8001	无效			1352
CCTV9	239.3.1.62:8112	无效			574
CCTV10	239.3.1.63:8116	无效			1229
CCTV11	239.3.1.152:8120	无效			584
CCTV12	239.3.1.64:8124	无效			1202
CCTV13	239.3.1.124:8128	无效			598
CCTV14	239.3.1.65:8132	无效			1255
CCTV15	239.3.1.153:8136	无效			586
CCTV16	239.3.1.184:8001	无效			1296
CCTV17	239.3.1.151:8144	无效			606
CCTV4KSDR	239.3.1.244:2000	无效			1282
CCTV4KSDR	239.3.1.245:2000	有效			0
CCTV16SDR	239.3.1.183:8001	无效			592
CGTN	239.3.1.215:4220	无效			1354
CGTN西语	239.3.1.217:4220	无效			579
CGTN法语	239.3.1.218:4220	无效			1298
CGTN阿语	239.3.1.219:4220	无效			577
CGTN俄语	239.3.1.220:4220	无效			1315
CETV1	239.3.1.57:8152	无效			606
CETV2	239.3.1.54:4120	无效			1401
CETV3	239.3.1.55:4120	无效			592
CETV4	239.3.1.56:4120	无效			1390
湖南卫视	239.3.1.132:8012	有效			0
浙江卫视	239.3.1.137:8036	有效			0
江苏卫视	239.3.1.135:8028	无效			587
东方卫视	239.3.1.136:8032	有效	1920x1080	h264	11566
安徽卫视	239.3.1.211:8064	有效	1920x1080	h264	7489
广东卫视	239.3.1.142:8048	有效	1920x1080	h264	12766
深圳卫视	239.3.1.134:8020	无效			5746
辽宁卫视	239.3.1.210:8056	有效	1920x1080	h264	12114
山东卫视	239.3.1.209:8052	有效	1920x1080	h264	7650
天津卫视	239.3.1.141:1234	有效	1920x1080	h264	12062
重庆卫视	239.3.1.122:8160	有效	1920x1080	h264	7540
东南卫视	239.3.1.156:8148	有效	1920x1080	h264	12085
河北卫视	239.3.1.148:8072	有效	1920x1080	h264	7846
河南卫视	239.3.1.27:8128	无效			6719
河南卫视	239.3.1.50:8184	有效			0
