# 20260602_124023_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-1	239.3.1.1:7439	无效			5466
1-2	239.3.1.2:7466	无效			5081
1-3	239.3.1.3:7492	无效			5514
1-4	239.3.1.4:7519	无效			5105
1-5	239.3.1.5:7546	无效			5491
1-6	239.3.1.6:7573	无效			5083
1-7	239.3.1.7:7599	无效			5485
1-8	239.3.1.8:7626	无效			5079
1-9	239.3.1.9:7653	无效			5510
1-10	239.3.1.10:7680	无效			5095
1-11	239.3.1.11:7706	无效			5424
1-12	239.3.1.12:7733	无效			5070
1-13	239.3.1.13:7760	无效			5544
1-14	239.3.1.14:7787	无效			5148
1-15	239.3.1.15:7813	无效			5697
1-16	239.3.1.16:7840	无效			5164
1-17	239.3.1.17:7867	无效			5577
1-18	239.3.1.18:7894	无效			5160
1-19	239.3.1.19:7920	无效			5506
1-20	239.3.1.20:7947	无效			5105
1-21	239.3.1.21:7974	无效			904
1-23	239.3.1.23:8027	无效			341
1-24	239.3.1.24:8054	无效			843
1-25	239.3.1.25:8081	无效			363
1-28	239.3.1.28:8001	无效			831
1-30	239.3.1.30:8001	无效			317
1-31	239.3.1.31:8001	无效			775
1-32	239.3.1.32:8001	无效			309
1-33	239.3.1.33:8001	无效			819
1-34	239.3.1.34:8001	无效			335
1-35	239.3.1.35:8001	无效			820
1-36	239.3.1.36:8001	无效			309
1-37	239.3.1.37:8001	无效			879
1-38	239.3.1.38:8001	无效			326
1-40	239.3.1.40:8001	无效			841
1-59	239.3.1.59:8001	无效			350
1-97	239.3.1.97:8001	无效			878
1-98	239.3.1.98:8001	无效			344
1-99	239.3.1.99:8001	无效			885
1-101	239.3.1.101:8001	无效			342
1-106	239.3.1.106:8001	无效			5610
1-107	239.3.1.107:8001	无效			5208
1-108	239.3.1.108:8001	无效			5645
1-109	239.3.1.109:8001	无效			5344
1-110	239.3.1.110:8001	无效			5607
1-111	239.3.1.111:8001	无效			5371
1-120	239.3.1.120:8001	无效			5524
1-121	239.3.1.121:8001	无效			5213
1-145	239.3.1.145:8001	无效			5603
1-146	239.3.1.146:8001	无效			5362
1-150	239.3.1.150:8001	无效			5567
1-162	239.3.1.162:8001	无效			5365
1-170	239.3.1.170:8001	无效			5536
1-171	239.3.1.171:8001	无效			5091
1-176	239.3.1.176:8001	无效			5534
1-177	239.3.1.177:8001	无效			5387
1-179	239.3.1.179:8001	无效			5634
1-180	239.3.1.180:8001	无效			5324
1-181	239.3.1.181:8001	无效			5538
1-182	239.3.1.182:8001	无效			5387
1-185	239.3.1.185:8001	无效			5629
1-186	239.3.1.186:8001	无效			5302
1-190	239.3.1.190:8001	无效			5623
1-191	239.3.1.191:8001	无效			5296
1-192	239.3.1.192:8001	无效			5558
1-204	239.3.1.204:8001	无效			5323
1-205	239.3.1.205:8001	无效			5596
1-206	239.3.1.206:8001	无效			5338
1-207	239.3.1.207:8001	无效			5593
1-208	239.3.1.208:8001	无效			5326
1-222	239.3.1.222:8001	无效			5550
1-223	239.3.1.223:8001	无效			5351
1-224	239.3.1.224:8001	无效			5578
1-225	239.3.1.225:8001	无效			5346
1-226	239.3.1.226:8001	无效			5520
1-227	239.3.1.227:8001	无效			5346
1-228	239.3.1.228:8001	无效			5577
1-229	239.3.1.229:8001	无效			5332
1-230	239.3.1.230:8001	无效			5579
1-231	239.3.1.231:8001	无效			5307
1-232	239.3.1.232:8001	无效			5558
1-233	239.3.1.233:8001	无效			5322
1-234	239.3.1.234:8001	无效			5540
1-239	239.3.1.239:8001	无效			5343
1-246	239.3.1.246:2000	无效			5521
1-251	239.3.1.251:8001	无效			5344
1-252	239.3.1.252:8001	无效			5490
1-254	239.3.1.254:8001	无效			5377
