# 20260523_110057_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
吉林卫视	239.37.0.111:5540	无效			6282
吉林公共	239.37.0.128:5540	无效			5881
吉林抚松	239.37.0.219:5540	无效			5884
吉林教育	239.37.0.126:5540	无效			5627
吉林新闻	239.37.0.127:5540	无效			5644
吉林篮球	239.37.0.108:5540	无效			5624
吉林篮球	239.37.0.211:5540	无效			5632
吉林篮球	239.37.0.212:5540	无效			5627
吉林篮球	239.37.0.213:5540	有效	1920x1080	h264	7127
吉林篮球	239.37.0.214:5540	有效	1920x1080	h264	6748
吉林篮球	239.37.0.216:5540	有效	1920x1080	h264	7477
吉林蛟河	239.37.0.252:5540	有效	720x576	h264	6412
吉林通榆	239.37.0.176:5540	有效	720x576	h264	5677
CCTV1	239.37.0.149:5540	有效	1920x1080	h264	7819
CCTV1	239.37.0.152:5540	有效	1920x1080	h264	9747
CCTV1	239.37.0.178:5540	有效	720x576	h264	5730
CCTV1	239.37.0.20:5540	有效	720x576	h264	5911
CCTV1	239.37.0.224:5540	有效	1920x1080	h264	7028
CCTV1	239.37.0.235:5540	有效	1920x1080	h264	7433
CCTV1	239.37.0.254:5540	无效			5618
CCTV1	239.37.0.8:5540	无效			5633
CCTV2	239.37.0.003:5540	有效	1920x1080	h264	7156
CCTV2	239.37.0.21:5540	有效		hevc	8449
CCTV2	239.37.0.3:5540	有效	1920x1080	h264	7386
CCTV-3综艺	239.37.0.189:5540	无效			6018
CCTV3	239.37.0.231:5540	有效	1920x1080	h264	7308
CCTV-4中文国际	239.37.0.22:5540	无效			5751
CCTV-4中文国际	239.37.1.25:5540	无效			5631
CCTV4	239.37.0.022:5540	无效			5625
CCTV-4中文国际欧洲	239.37.1.11:5540	无效			5634
CCTV-4中文国际美洲	239.37.1.12:5540	有效	1920x1080	h264	7793
CCTV-5体育	239.37.0.190:5540	无效			5778
CCTV5	239.37.0.232:5540	无效			7623
CCTV5+	239.37.0.121:5540	无效			5826
CCTV-6电影	239.37.0.191:5540	无效			8688
CCTV6	239.37.0.233:5540	有效	1920x1080	h264	6713
CCTV-7国防军事	239.37.1.20:5540	有效	1920x1080	h264	7079
CCTV7	239.37.0.2:5540	无效			6699
CCTV7	239.37.0.84:5540	无效			5626
CCTV-8电视剧	239.37.0.192:5540	无效			5632
CCTV8	239.37.0.234:5540	有效	1920x1080	h264	7672
CCTV-9纪录	239.37.0.122:5540	无效			5773
CCTV9	239.37.0.001:5540	无效			5628
CCTV9	239.37.0.1:5540	无效			5632
CCTV-10科教	239.37.0.25:5540	无效			5884
CCTV10	239.37.0.007:5540	无效			5628
CCTV10	239.37.0.7:5540	无效			5639
CCTV-11戏曲	239.37.0.26:5540	无效			5633
CCTV-11戏曲	239.37.1.26:5540	有效	1920x1080	h264	7352
CCTV11	239.37.0.227:5540	有效	1920x1080	h264	6957
CCTV-12社会与法	239.37.0.27:5540	无效			5786
CCTV12	239.37.0.006:5540	有效	1920x1080	h264	6865
CCTV12	239.37.0.6:5540	有效	1920x1080	h264	6738
CCTV-13新闻	239.37.0.28:5540	无效			5597
CCTV-13新闻	239.37.1.27:5540	有效	1920x1080	h264	8708
CCTV13	239.37.0.028:5540	无效			5628
CCTV13	239.37.0.150:5540	无效			6272
CCTV-14少儿	239.37.0.29:5540	无效			5899
CCTV14	239.37.0.005:5540	无效			5618
CCTV14	239.37.0.5:5540	无效			5632
CCTV-15音乐	239.37.0.30:5540	无效			6396
CCTV-15音乐	239.37.1.28:5540	无效			5633
CCTV16	239.37.1.21:5540	有效	1920x1080	h264	8026
CCTV16	239.37.1.22:5540	有效	3840x2160	hevc	10473
CCTV17	239.37.0.002:5540	有效	1920x1080	h264	7204
CHC动作电影	239.37.0.186:5540	有效	1920x1080	h264	6962
CHC家庭影院	239.37.0.188:5540	有效	1920x1080	h264	7947
CCTV风云音乐	239.37.0.81:5540	有效	1920x1080	h264	7429
风云音乐	239.37.0.081:5540	无效			5651
CCTV世界地理	239.37.0.79:5540	无效			5639
世界地理	239.37.0.079:5540	有效	1920x1080	h264	8811
CCTV第一剧场	239.37.0.78:5540	有效	1920x1080	h264	6858
第一剧场	239.37.0.078:5540	无效			6258
风云剧场	239.37.0.114:5540	无效			5901
CCTV央视精品	239.37.0.83:5540	无效			5623
兵器科技	239.37.0.084:5540	无效			5630
CCTV风云足球	239.37.0.80:5540	无效			5627
风云足球	239.37.0.080:5540	无效			5645
CCTV怀旧剧场	239.37.0.82:5540	无效			5620
怀旧剧场	239.37.0.082:5540	无效			10954
CCTV女性时尚	239.37.0.69:5540	无效			6263
女性时尚	239.37.0.069:5540	无效			5886
央视台球	239.37.0.163:5540	无效			5882
电视指南	239.37.0.115:5540	无效			5631
老故事	239.37.0.113:5540	无效			5635
优优宝贝	239.37.0.107:5540	无效			5635
CGTN	239.37.0.31:5540	有效	3840x2160	hevc	8346
CGTN英语	239.37.1.13:5540	有效	1920x1080	h264	8314
CGTN英文纪录	239.37.1.14:5540	有效	1920x1080	h264	7511
CGTN西班牙语	239.37.1.15:5540	无效			5670
CGTN法语	239.37.1.16:5540	无效			5628
CGTN阿拉伯语	239.37.1.17:5540	无效			5629
CGTN俄语	239.37.1.18:5540	无效			5628
CETV1	239.37.0.193:5540	有效	1920x1080	h264	6790
CETV-2	239.37.1.31:5540	无效			5749
CETV-4	239.37.1.32:5540	无效			6664
湖南卫视	239.37.0.038:5540	无效			7612
湖南卫视	239.37.0.10:5540	无效			5817
湖南卫视	239.37.0.38:5540	有效	1920x1080	h264	8528
浙江卫视	239.37.0.037:5540	无效			6824
浙江卫视	239.37.0.153:5540	无效			5640
浙江卫视	239.37.0.37:5540	有效	1920x1080	h264	6759
江苏卫视	239.37.0.055:5540	无效			6809
江苏卫视	239.37.0.112:5540	无效			5630
北京卫视	239.37.0.050:5540	无效			7023
北京卫视	239.37.0.50:5540	有效	1920x1080	h264	7280
北京卫视	239.37.0.9:5540	有效	1920x1080	h264	7701
东方卫视	239.37.0.048:5540	无效			5748
东方卫视	239.37.0.123:5540	有效	1920x1080	h264	7419
安徽卫视	239.37.0.046:5540	无效			5642
安徽卫视	239.37.0.159:5540	无效			10440
安徽卫视	239.37.0.46:5540	有效	720x576	h264	5741
广东卫视	239.37.0.033:5540	无效			6268
广东卫视	239.37.0.12:5540	无效			6903
广东卫视	239.37.0.33:5540	无效			5624
深圳卫视	239.37.0.047:5540	无效			5639
深圳卫视	239.37.0.14:5540	无效			5627
深圳卫视	239.37.0.47:5540	无效			5892
辽宁卫视	239.37.0.044:5540	无效			6908
辽宁卫视	239.37.0.160:5540	有效	1920x1080	h264	7748
辽宁卫视	239.37.0.44:5540	无效			8304
山东卫视	239.37.0.049:5540	无效			5622
山东卫视	239.37.0.15:5540	无效			8430
山东卫视	239.37.0.49:5540	无效			5651
天津卫视	239.37.0.064:5540	有效	1920x1080	h264	8176
天津卫视	239.37.0.4:5540	有效	1920x1080	h264	9300
重庆卫视	239.37.0.062:5540	无效			5818
重庆卫视	239.37.0.158:5540	有效	1920x1080	h264	6679
重庆卫视	239.37.0.62:5540	无效			6256
东南卫视	239.37.0.042:5540	无效			5883
东南卫视	239.37.0.124:5540	无效			5878
东南卫视	239.37.0.42:5540	无效			5645
河北卫视	239.37.0.052:5540	无效			5618
河北卫视	239.37.0.154:5540	无效			5631
河北卫视	239.37.0.52:5540	无效			5632
河南卫视	239.37.0.056:5540	无效			5887
河南卫视	239.37.0.155:5540	有效	1920x1080	h264	7330
河南卫视	239.37.0.56:5540	有效	1920x1080	h264	6957
湖北卫视	239.37.0.040:5540	有效	1920x1080	h264	7379
湖北卫视	239.37.0.16:5540	有效	1920x1080	h264	7501
湖北卫视	239.37.0.40:5540	有效	1920x1080	h264	6874
陕西卫视	239.37.0.045:5540	有效	3840x2160	hevc	8942
陕西卫视	239.37.0.103:5540	有效	1920x1080	h264	8821
陕西卫视	239.37.0.45:5540	有效		hevc	7256
四川卫视	239.37.0.041:5540	无效			6241
四川卫视	239.37.0.151:5540	无效			5892
四川卫视	239.37.0.41:5540	有效	1920x1080	h264	7871
海南卫视	239.37.0.035:5540	有效	800x600	h264	6719
海南卫视	239.37.0.102:5540	有效	1920x1080	h264	7925
甘肃卫视	239.37.0.034:5540	无效			8721
甘肃卫视	239.37.0.34:5540	有效	3840x2160	hevc	8081
甘肃卫视	239.37.1.30:5540	有效	1920x1080	h264	7068
广西卫视	239.37.0.051:5540	无效			6242
广西卫视	239.37.0.51:5540	有效	1920x1080	h264	7864
广西卫视	239.37.1.23:5540	有效	1920x1080	h264	7722
贵州卫视	239.37.0.058:5540	有效	3840x2160	hevc	8531
贵州卫视	239.37.0.157:5540	无效			5825
贵州卫视	239.37.0.58:5540	无效			5637
黑龙江卫视	239.37.0.032:5540	无效			5880
黑龙江卫视	239.37.0.13:5540	无效			5634
江西卫视	239.37.0.043:5540	无效			6356
江西卫视	239.37.0.156:5540	无效			99999
内蒙古卫视	239.37.0.036:5540	有效	720x576	h264	8729
内蒙古卫视	239.37.0.36:5540	有效	720x576	h264	7865
宁夏卫视	239.37.0.066:5540	有效	720x576	h264	5746
宁夏卫视	239.37.0.66:5540	有效	720x576	h264	5970
山西卫视	239.37.0.053:5540	有效	720x576	h264	8789
山西卫视	239.37.0.53:5540	有效	720x576	h264	11915
新疆卫视	239.37.0.039:5540	有效	720x576	h264	6927
新疆卫视	239.37.0.39:5540	有效	720x576	h264	14249
云南卫视	239.37.0.063:5540	有效	720x576	h264	5668
云南卫视	239.37.0.63:5540	有效	720x576	h264	5815
青海卫视	239.37.0.057:5540	无效			99999
青海卫视	239.37.0.104:5540	无效			99999
青海卫视	239.37.0.57:5540	无效			99999
西藏卫视	239.37.0.054:5540	有效	720x576	h264	14477
西藏卫视	239.37.0.54:5540	有效	720x576	h264	7035
兵团卫视	239.37.0.059:5540	有效	720x576	h264	5679
兵团卫视	239.37.0.59:5540	有效	720x576	h264	5763
三沙卫视	239.37.0.200:5540	有效	720x576	h264	7764
三沙卫视	239.37.0.201:5540	无效			5711
延边卫视	239.37.0.116:5540	有效	720x576	h264	12734
纪实科教	239.37.0.101:5540	无效			99999
北京卡酷少儿	239.37.0.60:5540	有效	720x576	h264	6543
卡酷少儿	239.37.0.060:5540	有效	720x576	h264	6872
电竞天堂	239.37.0.140:5540	无效			99999
快乐垂钓	239.37.0.244:5540	有效	1920x1080	h264	14395
茶频道	239.37.0.245:5540	无效			99999
金鹰纪实	239.37.0.161:5540	无效			99999
金鹰卡通	239.37.0.061:5540	无效			2837
金鹰卡通	239.37.0.61:5540	有效	1920x1080	h264	13713
金鹰卡通	239.37.1.19:5540	有效	1920x1080	h264	14154
梨园频道	239.37.0.088:5540	无效			99999
梨园频道	239.37.0.228:5540	无效			99999
梨园频道	239.37.0.88:5540	有效	1920x1080	h264	17978
武术世界	239.37.0.076:5540	无效			99999
武术世界	239.37.0.76:5540	有效	1920x1080	h264	8194
文物宝库	239.37.0.92:5540	有效		hevc	17337
国学频道	239.37.0.093:5540	有效	720x576	h264	12886
国学频道	239.37.0.93:5540	有效	720x576	h264	5665
法治天地	239.37.0.238:5540	无效			99999
生活时尚	239.37.0.240:5540	无效			99999
都市剧场	239.37.0.241:5540	无效			99999
游戏风云	239.37.0.243:5540	无效			99999
动漫秀场	239.37.0.242:5540	有效	1920x1080	h264	19215
金色学堂	239.37.0.239:5540	无效			99999
哈哈炫动	239.37.0.065:5540	有效	720x576	h264	5716
哈哈炫动	239.37.0.65:5540	有效	720x576	h264	5650
嘉佳卡通	239.37.0.067:5540	有效	720x576	h264	7458
嘉佳卡通	239.37.0.67:5540	有效	720x576	h264	5716
中国交通	239.37.0.226:5540	无效			99999
环球奇观	239.37.0.070:5540	有效	720x576	h264	5849
环球奇观	239.37.0.105:5540	无效			99999
环球奇观	239.37.0.70:5540	有效	720x576	h264	5773
极速汽车	239.37.0.237:5540	无效			99999
好享购物	239.37.0.185:5540	有效	720x576	h264	5694
央广购物	239.37.0.184:5540	有效	720x576	h264	8281
优购物	239.37.0.182:5540	无效			99999
家有购物	239.37.0.110:5540	有效	720x576	h264	5879
北京卫视4K超高清	239.37.0.109:5540	无效			99999
