# 20260915_180515_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-11	239.37.0.11:5540	无效			5763
0-17	239.37.0.17:5540	无效			5092
0-18	239.37.0.18:5540	无效			5080
0-19	239.37.0.19:5540	无效			5724
0-68	239.37.0.68:5540	无效			5074
0-71	239.37.0.71:5540	无效			5078
0-72	239.37.0.72:5540	无效			5855
0-73	239.37.0.73:5540	无效			5101
0-74	239.37.0.74:5540	无效			5106
0-75	239.37.0.75:5540	无效			5855
0-77	239.37.0.77:5540	无效			5101
0-85	239.37.0.85:5540	无效			5105
0-86	239.37.0.86:5540	无效			5847
0-91	239.37.0.91:5540	无效			5099
0-94	239.37.0.94:5540	无效			5107
0-117	239.37.0.117:5540	无效			5846
0-118	239.37.0.118:5540	无效			5107
0-119	239.37.0.119:5540	无效			5110
0-120	239.37.0.120:5540	无效			5908
0-141	239.37.0.141:5540	无效			5080
0-142	239.37.0.142:5540	有效	1920x1080	h264	7217
0-147	239.37.0.147:5540	无效			5086
0-148	239.37.0.148:5540	无效			5990
0-195	239.37.0.195:5540	有效	1920x1080	h264	8479
0-196	239.37.0.196:5540	无效			5083
0-197	239.37.0.197:5540	有效	1920x1080	h264	7311
0-198	239.37.0.198:5540	无效			5078
0-199	239.37.0.199:5540	无效			5910
0-202	239.37.0.202:5540	有效	1920x1080	h264	7743
0-203	239.37.0.203:5540	有效	1920x1080	h264	7291
0-204	239.37.0.204:5540	有效	1920x1080	h264	6592
0-205	239.37.0.205:5540	无效			5084
0-206	239.37.0.206:5540	无效			5102
0-207	239.37.0.207:5540	无效			5989
0-208	239.37.0.208:5540	无效			5082
0-209	239.37.0.209:5540	无效			5081
0-210	239.37.0.210:5540	无效			1276
1-1	239.37.1.1:5540	无效			481
1-8	239.37.1.8:5540	有效	1920x1080	h264	2841
1-10	239.37.1.10:5540	有效		h264	2135
1-33	239.37.1.33:5540	无效			377
1-34	239.37.1.34:5540	无效			1132
1-35	239.37.1.35:5540	无效			623
1-36	239.37.1.36:5540	无效			358
1-37	239.37.1.37:5540	无效			1161
1-38	239.37.1.38:5540	无效			583
1-39	239.37.1.39:5540	无效			357
1-40	239.37.1.40:5540	无效			1308
1-41	239.37.1.41:5540	无效			405
1-42	239.37.1.42:5540	无效			363
1-43	239.37.1.43:5540	无效			1255
1-44	239.37.1.44:5540	无效			442
1-45	239.37.1.45:5540	无效			350
1-46	239.37.1.46:5540	无效			1313
1-47	239.37.1.47:5540	无效			384
1-48	239.37.1.48:5540	无效			335
1-49	239.37.1.49:5540	无效			1335
1-50	239.37.1.50:5540	无效			434
1-51	239.37.1.51:5540	无效			373
1-52	239.37.1.52:5540	无效			1193
1-53	239.37.1.53:5540	无效			500
1-54	239.37.1.54:5540	无效			360
1-55	239.37.1.55:5540	无效			1471
1-56	239.37.1.56:5540	无效			326
1-57	239.37.1.57:5540	无效			337
1-58	239.37.1.58:5540	无效			1233
1-59	239.37.1.59:5540	无效			535
1-60	239.37.1.60:5540	无效			339
1-61	239.37.1.61:5540	无效			6025
1-62	239.37.1.62:5540	无效			5077
1-63	239.37.1.63:5540	无效			5072
1-64	239.37.1.64:5540	无效			6175
1-65	239.37.1.65:5540	无效			5619
1-66	239.37.1.66:5540	无效			5078
1-67	239.37.1.67:5540	无效			5921
