# 20260815_143048_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
吉林卫视	239.253.142.19:3000	有效			0
吉林乡村	239.253.142.176:3000	有效			0
吉林市新闻	239.253.142.211:3000	有效			0
吉林市生活	239.253.142.213:3000	有效			0
吉林市科教	239.253.142.212:3000	有效			0
吉林影视	239.253.142.174:3000	有效			0
吉林教育	239.253.142.104:3000	有效			0
吉林生活	239.253.142.175:3000	有效			0
吉林综艺	239.253.142.178:3000	有效			0
吉林都市	239.253.142.92:3000	有效			0
CCTV1	239.253.142.160:3000	有效			0
CCTV1	239.253.142.195:3000	有效			0
CCTV2	239.253.142.201:3000	有效			0
CCTV3	239.253.142.115:3000	有效			0
CCTV4	239.253.142.251:3000	有效			0
CCTV4欧洲	239.253.142.239:3000	有效			0
CCTV4美洲	239.253.142.240:3000	有效			0
CCTV5	239.253.142.116:3000	有效			0
CCTV6	239.253.142.117:3000	有效			0
CCTV7	239.253.142.247:3000	有效			0
CCTV8	239.253.142.118:3000	有效			0
CCTV9	239.253.142.203:3000	有效			0
CCTV10	239.253.142.204:3000	有效			0
CCTV11	239.253.142.252:3000	有效			0
CCTV12	239.253.142.205:3000	有效			0
CCTV13	239.253.142.253:3000	有效			0
CCTV14	239.253.142.206:3000	有效			0
CCTV15	239.253.142.88:3000	有效			0
CCTV16	239.253.142.248:3000	有效			0
CCTV16	239.253.142.249:3000	有效			0
CCTV17	239.253.142.202:3000	有效			0
CCTV4K	239.253.142.68:3000	有效			0
CHC动作电影	239.253.142.188:3000	有效			0
CHC家庭影院	239.253.142.190:3000	有效			0
风云音乐	239.253.142.78:3000	有效			0
世界地理	239.253.142.76:3000	有效			0
第一剧场	239.253.142.75:3000	有效			0
风云剧场	239.253.142.99:3000	有效			0
文化精品	239.253.142.80:3000	有效			0
兵器科技	239.253.142.81:3000	有效			0
风云足球	239.253.142.77:3000	有效			0
怀旧剧场	239.253.142.79:3000	有效			0
女性时尚	239.253.142.66:3000	有效			0
央视台球	239.253.142.65:3000	有效			0
电视指南	239.253.142.100:3000	有效			0
发现之旅	239.253.142.30:3000	有效			0
老故事	239.253.142.98:3000	有效			0
优优宝贝	239.253.142.192:3000	有效			0
CGTN	239.253.142.241:3000	有效			0
CGTN西语	239.253.142.243:3000	有效			0
CGTN法语	239.253.142.244:3000	有效			0
CGTN阿语	239.253.142.245:3000	有效			0
CGTN俄语	239.253.142.246:3000	有效			0
CETV1	239.253.142.14:3000	有效			0
CETV2	239.253.142.71:3000	有效			0
CETV4	239.253.142.74:3000	有效			0
湖南卫视	239.253.142.162:3000	有效			0
浙江卫视	239.253.142.125:3000	有效			0
江苏卫视	239.253.142.163:3000	有效			0
北京卫视	239.253.142.161:3000	有效			0
北京卫视	239.253.142.47:3000	有效			0
东方卫视	239.253.142.122:3000	有效			0
安徽卫视	239.253.142.131:3000	有效			0
广东卫视	239.253.142.164:3000	有效			0
深圳卫视	239.253.142.166:3000	有效			0
辽宁卫视	239.253.142.132:3000	有效			0
山东卫视	239.253.142.167:3000	有效			0
天津卫视	239.253.142.169:3000	有效			0
重庆卫视	239.253.142.130:3000	有效			0
东南卫视	239.253.142.121:3000	有效			0
河北卫视	239.253.142.126:3000	有效			0
河南卫视	239.253.142.127:3000	有效			0
湖北卫视	239.253.142.168:3000	有效			0
陕西卫视	239.253.142.34:3000	有效			0
陕西卫视	239.253.142.41:3000	有效			0
四川卫视	239.253.142.123:3000	有效			0
海南卫视	239.253.142.31:3000	有效			0
甘肃卫视	239.253.142.179:3000	有效			0
广西卫视	239.253.142.106:3000	有效			0
贵州卫视	239.253.142.129:3000	有效			0
