# 20260524_064408_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
四川卫视	239.93.0.169:5140	无效			6104
四川卫视	239.93.0.20:1235	无效			5643
四川卫视	239.94.0.60:5140	有效			0
四川卫视4K	239.94.0.115:5140	有效			0
四川卫视高清	239.93.26.20:1235	无效			8701
四川卫视高清	239.94.0.59:5140	有效			0
四川乡村频道	239.93.0.52:5140	无效			5639
四川乡村高清	239.93.26.52:5140	无效			5879
四川乡村高清	239.94.0.77:5140	有效			0
四川妇女儿童	239.93.0.219:5140	无效			6371
四川峨眉电影	239.93.0.252:5140	无效			5878
四川影视文艺	239.93.0.166:5140	无效			5635
四川文化旅游	239.93.1.102:5140	无效			6913
四川新闻频道	239.93.0.47:5140	无效			5630
四川科教频道	239.93.42.44:5140	无效			6107
四川经济频道	239.93.1.101:5140	无效			5636
CCTV-1综合	239.93.0.184:5140	无效			5890
CCTV1	239.94.0.31:5140	有效			0
CCTV1	239.94.2.34:5140	有效			0
CCTV1	239.94.2.69:5140	有效			0
CCTV-2财经	239.93.1.23:6000	无效			5622
CCTV2	239.94.2.35:5140	有效			0
CCTV2	239.94.2.70:5140	有效			0
CCTV-3综艺	239.93.1.11:2223	无效			6657
CCTV3	239.94.0.32:5140	有效			0
CCTV-4中文国际	239.93.1.105:5140	无效			6376
CCTV-5体育	239.93.42.37:5140	无效			5882
CCTV5	239.94.0.33:5140	有效			0
CCTV5	239.94.2.30:5140	有效			0
CCTV-5+体育赛事	239.93.1.36:8004	无效			5624
CCTV5+	239.94.0.23:5140	有效	1920x1080	h264	8528
CCTV-6电影	239.93.1.13:2226	无效			5807
CCTV6	239.94.0.34:5140	有效	1920x1080	h264	8456
CCTV6	239.94.2.33:5140	有效			0
CCTV-7国防军事	239.93.1.67:5140	无效			6617
CCTV-8电视剧	239.93.42.39:5140	无效			5621
CCTV8	239.94.0.35:5140	有效			0
CCTV8	239.94.2.29:5140	有效			0
CCTV-9纪录	239.93.1.24:5140	无效			6400
CCTV9	239.94.2.32:5140	有效			0
CCTV-10科教	239.93.1.28:5140	无效			5634
CCTV10	239.94.2.31:5140	有效			0
CCTV-11戏曲	239.93.0.102:5140	无效			7172
CCTV11	239.94.0.36:5140	有效			0
CCTV-12社会与法	239.93.1.30:8124	无效			6442
CCTV-13新闻	239.93.0.66:5140	无效			6086
CCTV13	239.94.0.37:5140	有效			0
