# 20260528_143201_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
0-1	239.93.0.1:5140	无效			99999
0-2	239.93.0.2:5140	无效			99999
0-3	239.93.0.3:5140	无效			99999
0-4	239.93.0.4:5140	无效			5945
0-7	239.93.0.7:5140	无效			99999
0-9	239.93.0.9:5140	无效			99999
0-10	239.93.0.10:5140	无效			99999
0-11	239.93.0.11:5140	无效			9268
0-12	239.93.0.12:5140	无效			5889
0-13	239.93.0.13:5140	无效			99999
0-14	239.93.0.14:5140	无效			99999
0-15	239.93.0.15:5140	无效			99999
0-23	239.93.0.23:5140	无效			5907
0-24	239.93.0.24:5140	无效			7421
0-25	239.93.0.25:5140	无效			5634
0-26	239.93.0.26:5140	无效			6659
0-27	239.93.0.27:5140	无效			6912
0-28	239.93.0.28:5140	无效			5624
0-29	239.93.0.29:5140	无效			5637
0-30	239.93.0.30:5140	无效			5626
0-31	239.93.0.31:5140	无效			5903
0-32	239.93.0.32:5140	无效			5882
0-33	239.93.0.33:5140	无效			5893
0-34	239.93.0.34:5140	无效			7465
0-35	239.93.0.35:5140	无效			5831
0-36	239.93.0.36:5140	无效			99999
0-37	239.93.0.37:5140	无效			99999
0-38	239.93.0.38:5140	无效			99999
0-39	239.93.0.39:5140	无效			99999
0-40	239.93.0.40:5140	无效			99999
0-44	239.93.0.44:5140	无效			5696
0-45	239.93.0.45:5140	无效			5619
0-46	239.93.0.46:5140	无效			99999
0-48	239.93.0.48:5140	无效			99999
0-49	239.93.0.49:5140	无效			99999
0-51	239.93.0.51:5140	无效			5749
0-53	239.93.0.53:5140	无效			99999
0-54	239.93.0.54:5140	无效			99999
0-59	239.93.0.59:5140	无效			99999
0-60	239.93.0.60:5140	无效			9063
0-61	239.93.0.61:5140	无效			5891
0-63	239.93.0.63:5140	无效			5886
0-64	239.93.0.64:5140	无效			6922
0-65	239.93.0.65:5140	无效			5885
0-67	239.93.0.67:5140	无效			5879
0-68	239.93.0.68:5140	无效			5639
0-70	239.93.0.70:5140	无效			5625
0-71	239.93.0.71:5140	无效			5638
0-72	239.93.0.72:5140	无效			5629
0-73	239.93.0.73:5140	无效			6916
0-75	239.93.0.75:5140	无效			9760
0-76	239.93.0.76:5140	无效			5860
0-77	239.93.0.77:5140	无效			99999
0-78	239.93.0.78:5140	无效			99999
0-79	239.93.0.79:5140	无效			99999
0-84	239.93.0.84:5140	无效			99999
0-86	239.93.0.86:5140	无效			99999
0-93	239.93.0.93:5140	无效			5680
0-96	239.93.0.96:5140	无效			5840
0-98	239.93.0.98:5140	无效			99999
0-99	239.93.0.99:5140	无效			99999
0-101	239.93.0.101:5140	无效			99999
0-107	239.93.0.107:5140	无效			5779
0-111	239.93.0.111:5140	无效			99999
0-112	239.93.0.112:5140	无效			99999
0-115	239.93.0.115:5140	无效			99999
0-119	239.93.0.119:5140	无效			8784
0-120	239.93.0.120:5140	无效			5900
0-121	239.93.0.121:5140	无效			6901
0-122	239.93.0.122:5140	无效			5642
0-128	239.93.0.128:5140	无效			7416
0-133	239.93.0.133:5140	无效			6913
0-137	239.93.0.137:5140	无效			5640
0-141	239.93.0.141:5140	无效			5616
0-148	239.93.0.148:5140	无效			5643
0-149	239.93.0.149:5140	无效			5633
0-150	239.93.0.150:5140	无效			5625
0-152	239.93.0.152:5140	无效			8748
0-153	239.93.0.153:5140	无效			5859
0-154	239.93.0.154:5140	无效			99999
0-155	239.93.0.155:5140	无效			99999
0-158	239.93.0.158:5140	无效			99999
0-159	239.93.0.159:5140	无效			99999
0-160	239.93.0.160:5140	无效			99999
0-161	239.93.0.161:5140	无效			5678
0-163	239.93.0.163:5140	无效			5633
0-164	239.93.0.164:5140	无效			99999
0-165	239.93.0.165:5140	无效			99999
0-170	239.93.0.170:5140	无效			99999
0-171	239.93.0.171:5140	无效			5736
0-172	239.93.0.172:5140	无效			99999
0-175	239.93.0.175:5140	无效			99999
0-176	239.93.0.176:5140	无效			99999
0-177	239.93.0.177:5140	无效			9074
0-179	239.93.0.179:5140	无效			5881
0-185	239.93.0.185:5140	无效			5885
0-186	239.93.0.186:5140	无效			5640
0-187	239.93.0.187:5140	无效			5880
0-188	239.93.0.188:5140	无效			5634
0-189	239.93.0.189:5140	无效			5891
0-191	239.93.0.191:5140	无效			5632
0-194	239.93.0.194:5140	无效			5892
0-196	239.93.0.196:5140	无效			5880
0-201	239.93.0.201:5140	无效			5639
0-205	239.93.0.205:5140	无效			5623
0-207	239.93.0.207:5140	无效			7684
0-210	239.93.0.210:5140	无效			99999
0-212	239.93.0.212:5140	无效			99999
0-213	239.93.0.213:5140	无效			99999
0-216	239.93.0.216:5140	无效			99999
0-220	239.93.0.220:5140	无效			99999
0-221	239.93.0.221:5140	无效			5908
0-222	239.93.0.222:5140	无效			99999
0-223	239.93.0.223:5140	无效			99999
0-225	239.93.0.225:5140	无效			99999
0-226	239.93.0.226:5140	无效			9284
0-227	239.93.0.227:5140	无效			5909
0-228	239.93.0.228:5140	无效			99999
0-229	239.93.0.229:5140	无效			99999
0-230	239.93.0.230:5140	无效			99999
0-231	239.93.0.231:5140	无效			6683
0-232	239.93.0.232:5140	无效			5632
0-233	239.93.0.233:5140	无效			5889
0-234	239.93.0.234:5140	无效			5893
0-236	239.93.0.236:5140	无效			6648
0-237	239.93.0.237:5140	无效			5630
0-238	239.93.0.238:5140	无效			8710
0-239	239.93.0.239:5140	无效			5629
0-240	239.93.0.240:5140	无效			5627
0-241	239.93.0.241:5140	无效			5643
0-242	239.93.0.242:5140	无效			5622
0-243	239.93.0.243:5140	无效			6952
0-244	239.93.0.244:5140	无效			5846
0-245	239.93.0.245:5140	无效			99999
0-247	239.93.0.247:5140	无效			99999
0-253	239.93.0.253:5140	无效			99999
0-254	239.93.0.254:5140	无效			99999
1-1	239.93.1.1:7084	无效			99999
1-2	239.93.1.2:6598	无效			5923
1-3	239.93.1.3:6112	无效			99999
1-4	239.93.1.4:5626	无效			99999
1-6	239.93.1.6:4653	无效			99999
1-7	239.93.1.7:4167	无效			9254
1-8	239.93.1.8:3681	无效			5891
1-9	239.93.1.9:3195	无效			99999
1-10	239.93.1.10:2709	无效			99999
1-12	239.93.1.12:5140	无效			99999
1-14	239.93.1.14:5140	无效			5921
1-15	239.93.1.15:5140	无效			5887
1-16	239.93.1.16:5140	无效			5883
1-17	239.93.1.17:5140	无效			5894
1-18	239.93.1.18:5140	无效			5884
1-19	239.93.1.19:5140	无效			7165
1-20	239.93.1.20:5140	无效			6915
1-21	239.93.1.21:5140	无效			6658
1-22	239.93.1.22:5140	无效			5626
1-25	239.93.1.25:5140	无效			5634
1-26	239.93.1.26:5140	无效			5891
1-27	239.93.1.27:5140	无效			7162
1-31	239.93.1.31:5140	无效			5910
1-32	239.93.1.32:5140	无效			99999
1-37	239.93.1.37:5140	无效			99999
1-38	239.93.1.38:5140	无效			99999
1-40	239.93.1.40:5140	无效			99999
1-41	239.93.1.41:5140	无效			99999
1-42	239.93.1.42:5140	无效			11479
1-43	239.93.1.43:5140	无效			99999
1-44	239.93.1.44:5140	无效			99999
1-45	239.93.1.45:5140	无效			99999
1-46	239.93.1.46:5140	无效			5779
1-48	239.93.1.48:5140	无效			99999
1-50	239.93.1.50:5140	无效			99999
1-51	239.93.1.51:5140	无效			99999
1-52	239.93.1.52:5140	无效			8827
1-55	239.93.1.55:5140	无效			5897
1-56	239.93.1.56:5140	无效			6922
1-57	239.93.1.57:5140	无效			5877
1-58	239.93.1.58:5140	无效			5896
1-59	239.93.1.59:5140	无效			5875
1-60	239.93.1.60:5140	无效			5635
1-61	239.93.1.61:5140	无效			5630
1-62	239.93.1.62:5140	无效			5631
