# 20260523_141802_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
四川卫视	239.11.0.78:5140	有效			0
四川卫视4K	239.11.0.43:5140	有效		hevc	8170
四川卫视4K	239.11.0.86:5140	有效			0
四川峨眉电影	239.11.0.11:5140	有效	1920x1080	h264	6739
四川影视文艺	239.11.0.77:5140	有效			0
四川科教频道	239.11.0.194:5140	有效	1920x1080	h264	7114
CCTV1	239.11.0.130:5140	有效			0
CCTV1	239.11.0.65:5140	有效			0
CCTV2	239.11.0.108:5140	有效			0
CCTV3	239.11.0.101:5140	有效			0
CCTV4	239.11.0.109:5140	有效	1920x1080	h264	7548
CCTV5	239.10.0.200:5140	有效	720x576	h264	5735
CCTV5	239.11.0.100:5140	有效	1920x1080	h264	6991
CCTV5	239.11.0.66:5140	有效	720x576	h264	6306
CCTV5+	239.11.0.241:5140	无效			5539
CCTV6	239.11.0.102:5140	无效			5627
CCTV7	239.11.0.110:5140	有效			0
CCTV8	239.11.0.103:5140	有效			0
CCTV9	239.11.0.111:5140	有效	1920x1080	h264	7565
CCTV10	239.11.0.112:5140	有效			0
CCTV11	239.11.0.22:5140	有效		h264	7105
CCTV12	239.11.0.113:5140	有效			0
CCTV13	239.11.0.24:5140	有效	1920x1080	h264	7284
CCTV14	239.11.0.114:5140	有效			0
CCTV15	239.11.0.26:5140	有效			0
CCTV17	239.11.0.107:5140	有效	1920x1080	h264	7364
CCTV4KSDR	239.11.0.61:5140	有效			0
CCTV4KSDR	239.11.0.62:5140	无效			5785
CCTV16SDR	239.10.0.187:5140	无效			5856
CCTV8K	239.10.0.134:5140	有效			8046
CHC动作电影	239.10.0.87:5140	有效	1920x1080	h264	7354
CHC家庭影院	239.10.0.86:5140	有效	1920x1080	h264	7313
CGTN	239.11.0.245:5140	无效			6213
CGTN西语	239.11.0.79:5140	有效			0
CGTN法语	239.11.0.80:5140	有效	1920x1080	h264	7172
CGTN阿语	239.11.0.81:5140	有效			0
CGTN俄语	239.11.0.82:5140	有效			0
CETV1	239.11.0.139:5140	无效			5884
CETV2	239.11.0.246:5140	有效			0
CETV4	239.11.0.248:5140	有效	1920x1080	h264	7610
凤凰中文	239.11.0.153:5140	有效	1920x1080	h264	7429
凤凰资讯	239.11.0.154:5140	有效	1920x1080	h264	6959
湖南卫视	239.11.0.119:5140	有效	1920x1080	h264	7442
浙江卫视	239.11.0.70:5140	有效			0
江苏卫视	239.11.0.76:5140	有效	1920x1080	h264	7184
北京卫视	239.11.0.121:5140	有效	1920x1080	h264	7408
东方卫视	239.11.0.68:5140	有效			0
安徽卫视	239.11.0.117:5140	无效			6456
广东卫视	239.11.0.115:5140	无效			5899
深圳卫视	239.11.0.71:5140	无效			5620
辽宁卫视	239.11.0.118:5140	无效			6466
山东卫视	239.11.0.73:5140	有效			0
天津卫视	239.11.0.123:5140	无效			6134
重庆卫视	239.11.0.116:5140	有效			0
东南卫视	239.11.0.41:5140	无效			5640
河北卫视	239.11.0.31:5140	无效			6475
河南卫视	239.11.0.44:5140	无效			6119
湖北卫视	239.11.0.74:5140	无效			5641
陕西卫视	239.11.0.54:5140	有效			0
海南卫视	239.11.0.193:5140	无效			6464
甘肃卫视	239.11.0.55:5140	有效			0
广西卫视	239.11.0.48:5140	无效			6139
贵州卫视	239.11.0.51:5140	无效			5626
黑龙江卫视	239.11.0.36:5140	有效			0
江西卫视	239.11.0.42:5140	无效			6467
吉林卫视	239.11.0.35:5140	无效			6142
内蒙古卫视	239.11.0.33:5140	有效			0
宁夏卫视	239.11.0.57:5140	有效			0
山西卫视	239.11.0.32:5140	无效			5622
新疆卫视	239.11.0.58:5140	有效			0
云南卫视	239.11.0.52:5140	无效			6471
青海卫视	239.11.0.56:5140	无效			6125
西藏卫视	239.11.0.53:5140	有效			0
兵团卫视	239.11.0.204:5140	无效			5634
康巴卫视	239.11.0.10:5140	有效			0
三沙卫视	239.11.0.84:5140	有效			0
厦门卫视	239.11.0.83:5140	无效			6469
延边卫视	239.11.0.206:5140	无效			6118
山东教育卫视	239.11.0.140:5140	有效			0
江苏卫视4K	239.11.0.88:5140	无效			5643
浙江卫视4K	239.11.0.89:5140	有效			0
山东卫视4K	239.11.0.91:5140	无效			6452
湖南卫视4K	239.11.0.87:5140	无效			6142
广东卫视4K	239.10.0.94:5140	无效			5632
深圳卫视4K	239.10.0.93:5140	有效			0
东方卫视4K	239.11.0.90:5140	有效			0
经典电影	239.10.0.122:5140	有效			0
喜剧影院	239.10.0.132:5140	无效			6450
家庭影院	239.10.0.127:5140	无效			5881
星影	239.10.0.156:5140	有效			0
热播剧场	239.10.0.121:5140	无效			5622
古装剧场	239.10.0.126:5140	有效			0
城市剧场	239.10.0.124:5140	无效			6435
军旅剧场	239.10.0.125:5140	无效			5885
华数动画	239.10.0.163:5140	无效			5627
卡酷少儿	239.11.0.129:5140	无效			6438
求索纪录	239.10.0.221:5140	无效			5879
先锋乒羽	239.10.0.90:5140	无效			5628
快乐垂钓	239.10.0.128:5140	无效			6296
金鹰纪实	239.10.0.193:5140	有效	1920x1080	h264	6424
金鹰卡通	239.11.0.127:5140	有效			0
