# 20260722_154245_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
四川卫视	225.0.4.204:7980	无效			5561
四川卫视	239.0.0.1:5140	有效			0
四川卫视4K	225.0.4.108:7980	无效			5081
四川卫视4K50P	239.0.0.203:5140	有效			0
四川乡村频道	239.0.0.8:5140	有效			0
四川妇女儿童	239.0.0.7:5140	有效			0
四川峨眉电影	239.0.0.9:5140	有效			0
四川影视文艺	239.0.0.5:5140	有效			0
四川文化旅游	239.0.0.3:5140	有效			0
四川新闻频道	239.0.0.4:5140	有效			0
四川星空购物	239.0.0.6:5140	有效			0
四川科教频道	239.0.0.186:5140	有效	1920x1080	h264	7732
四川经济频道	239.0.0.2:5140	有效			0
CCTV-1综合	239.0.0.10:5140	有效			0
CCTV1	225.0.4.74:7980	无效			5631
CCTV-2财经	239.0.0.11:5140	有效			0
CCTV2	225.0.4.132:7980	无效			5086
CCTV-3综艺	239.0.0.12:5140	有效			0
CCTV3	225.0.4.142:7980	无效			5655
CCTV-4中文国际	239.0.0.13:5140	有效			0
CCTV4	225.0.4.149:7980	无效			5078
CCTV4	225.0.4.176:7980	无效			5354
CCTV-5体育	239.0.0.14:5140	有效	1920x1080	h264	7737
CCTV5	225.0.4.143:7980	无效			5071
CCTV-5+体育赛事	239.0.0.22:5140	有效			0
CCTV5+	225.0.4.73:7980	无效			5619
CCTV-6电影	239.0.0.15:5140	有效			0
CCTV6	225.0.4.144:7980	无效			5076
CCTV-7国防军事	239.0.0.16:5140	有效			0
CCTV7	225.0.4.127:7980	无效			5670
CCTV-8电视剧	239.0.0.17:5140	有效			0
CCTV8	225.0.4.137:7980	无效			5068
CCTV8	225.0.4.163:7980	无效			5826
CCTV-9纪录	239.0.0.18:5140	有效			0
CCTV9	225.0.4.131:7980	无效			5110
CCTV-10科教	239.0.0.19:5140	有效	1920x1080	h264	7498
CCTV10	225.0.4.130:7980	无效			5806
CCTV-11戏曲	239.0.0.187:5140	有效	1920x1080	h264	7547
CCTV11	225.0.4.218:7980	无效			5097
CCTV-12社会与法	239.0.0.20:5140	有效	1920x1080	h264	7406
CCTV12	225.0.4.129:7980	无效			5774
CCTV-13新闻	239.0.0.190:5140	有效			0
CCTV13	225.0.4.219:7980	无效			5091
CCTV-14少儿	239.0.0.21:5140	有效	1920x1080	h264	7498
CCTV14	225.0.4.128:7980	无效			5816
CCTV-15音乐	239.0.0.188:5140	有效			0
CCTV15	225.0.4.220:7980	无效			5095
CCTV-17农业农村	239.0.0.152:5140	有效			0
CCTV17	225.0.4.179:7980	无效			5765
CCTV4K超高清	239.0.0.184:5140	有效	3840x2160	hevc	7646
CHC动作电影	225.0.4.229:7980	无效			5093
CHC动作电影	239.0.0.24:5140	有效			0
CHC家庭影院	225.0.4.228:7980	无效			5716
CHC家庭影院	239.0.0.23:5140	有效	1920x1080	h264	6758
风云音乐	225.0.4.205:7980	无效			5074
世界地理	225.0.4.207:7980	无效			5859
第一剧场	225.0.4.206:7980	无效			5339
风云剧场	225.0.4.209:7980	无效			5891
兵器科技	225.0.4.223:7980	无效			5159
风云足球	225.0.4.210:7980	无效			5866
怀旧剧场	225.0.4.222:7980	无效			5100
女性时尚	225.0.4.208:7980	无效			5913
央视台球	225.0.4.224:7980	无效			5360
老故事	239.0.0.27:5140	有效			0
优优宝贝	225.0.4.126:7980	无效			5832
CGTN英语	239.0.0.49:5140	有效			0
CETV1	225.0.4.186:7980	无效			5168
CETV1	239.0.0.51:5140	有效			0
CETV2	239.0.0.196:5140	有效			0
CETV4	225.0.4.182:7980	无效			5801
CETV4	225.0.4.185:7980	无效			5234
CETV4	239.0.0.98:5140	有效			0
湖南卫视	225.0.4.75:7980	无效			5913
湖南卫视	239.0.0.68:5140	有效	1920x1080	h264	7691
浙江卫视	225.0.4.81:7980	无效			5552
浙江卫视	239.0.0.61:5140	有效			0
江苏卫视	225.0.4.79:7980	无效			5903
江苏卫视	239.0.0.60:5140	有效	1920x1080	h264	7517
北京卫视	225.0.4.78:7980	无效			5540
北京卫视	239.0.0.52:5140	有效	1920x1080	h264	7384
东方卫视	225.0.4.80:7980	无效			5942
东方卫视	239.0.0.58:5140	有效	1920x1080	h264	7381
安徽卫视	225.0.4.133:7980	无效			5587
安徽卫视	239.0.0.65:5140	有效			0
广东卫视	225.0.4.84:7980	无效			5948
广东卫视	239.0.0.70:5140	有效	1920x1080	h264	6976
深圳卫视	225.0.4.202:7980	无效			5557
深圳卫视	239.0.0.71:5140	有效	1920x1080	h264	7707
辽宁卫视	225.0.4.98:7980	无效			5950
辽宁卫视	239.0.0.56:5140	有效			0
山东卫视	225.0.4.199:7980	无效			5542
山东卫视	239.0.0.66:5140	有效			0
天津卫视	225.0.4.82:7980	无效			5914
天津卫视	239.0.0.54:5140	有效	1920x1080	h264	7348
重庆卫视	225.0.4.187:7980	无效			5563
重庆卫视	239.0.0.72:5140	有效	1920x1080	h264	7063
东南卫视	225.0.4.200:7980	无效			5846
东南卫视	239.0.0.62:5140	有效			0
河北卫视	225.0.4.174:7980	无效			5508
河北卫视	239.0.0.55:5140	有效			0
河南卫视	239.0.0.182:5140	有效			0
湖北卫视	225.0.4.217:7980	无效			5895
湖北卫视	239.0.0.67:5140	有效			0
陕西卫视	239.0.0.53:5140	有效			0
海南卫视	239.0.0.100:5140	无效			5568
甘肃卫视	225.0.4.181:7980	无效			5950
甘肃卫视	239.0.0.192:5140	有效	1920x1080	h264	7542
广西卫视	239.0.0.185:5140	有效			0
贵州卫视	225.0.4.175:7980	无效			5584
贵州卫视	239.0.0.64:5140	有效			0
黑龙江卫视	225.0.4.201:7980	无效			5882
黑龙江卫视	239.0.0.57:5140	有效	1920x1080	h264	7227
江西卫视	225.0.4.203:7980	无效			5495
江西卫视	239.0.0.63:5140	有效			0
吉林卫视	239.0.0.191:5140	有效			0
内蒙古卫视	239.0.0.79:5140	无效			5934
宁夏卫视	239.0.0.110:5140	无效			5610
山西卫视	239.0.0.78:5140	有效	720x576	h264	5821
新疆卫视	225.0.4.60:7980	无效			5889
新疆卫视	239.0.0.111:5140	无效			5571
云南卫视	239.0.0.74:5140	有效			0
青海卫视	239.0.0.108:5140	有效			0
西藏卫视	225.0.4.67:7980	无效			5897
西藏卫视	239.0.0.104:5140	无效			5601
兵团卫视	225.0.4.72:7980	无效			5899
兵团卫视	239.0.0.183:5140	无效			5612
康巴卫视	239.0.0.175:5140	有效			0
三沙卫视	239.0.0.195:5140	有效	720x576	h264	6074
厦门卫视	239.0.0.194:5140	有效			0
延边卫视	239.0.0.76:5140	有效			0
山东教育卫视	225.0.4.177:7980	无效			5886
山东教育卫视	239.0.0.197:5140	有效			0
