# 补充IP列表 - 原文件: 四川联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 225.0.4.x =====
# 已有IP: 128 个, 缺失IP: 126 个
# 规律: 固定端口 7980

4-1,rtp://225.0.4.1:7980
4-2,rtp://225.0.4.2:7980
4-3,rtp://225.0.4.3:7980
4-4,rtp://225.0.4.4:7980
4-5,rtp://225.0.4.5:7980
4-6,rtp://225.0.4.6:7980
4-7,rtp://225.0.4.7:7980
4-8,rtp://225.0.4.8:7980
4-9,rtp://225.0.4.9:7980
4-10,rtp://225.0.4.10:7980
4-11,rtp://225.0.4.11:7980
4-12,rtp://225.0.4.12:7980
4-13,rtp://225.0.4.13:7980
4-14,rtp://225.0.4.14:7980
4-15,rtp://225.0.4.15:7980
4-16,rtp://225.0.4.16:7980
4-17,rtp://225.0.4.17:7980
4-18,rtp://225.0.4.18:7980
4-19,rtp://225.0.4.19:7980
4-20,rtp://225.0.4.20:7980
4-21,rtp://225.0.4.21:7980
4-22,rtp://225.0.4.22:7980
4-23,rtp://225.0.4.23:7980
4-24,rtp://225.0.4.24:7980
4-25,rtp://225.0.4.25:7980
4-26,rtp://225.0.4.26:7980
4-27,rtp://225.0.4.27:7980
4-28,rtp://225.0.4.28:7980
4-29,rtp://225.0.4.29:7980
4-30,rtp://225.0.4.30:7980
4-31,rtp://225.0.4.31:7980
4-32,rtp://225.0.4.32:7980
4-33,rtp://225.0.4.33:7980
4-34,rtp://225.0.4.34:7980
4-35,rtp://225.0.4.35:7980
4-36,rtp://225.0.4.36:7980
4-37,rtp://225.0.4.37:7980
4-38,rtp://225.0.4.38:7980
4-39,rtp://225.0.4.39:7980
4-40,rtp://225.0.4.40:7980
4-41,rtp://225.0.4.41:7980
4-42,rtp://225.0.4.42:7980
4-43,rtp://225.0.4.43:7980
4-44,rtp://225.0.4.44:7980
4-45,rtp://225.0.4.45:7980
4-46,rtp://225.0.4.46:7980
4-49,rtp://225.0.4.49:7980
4-58,rtp://225.0.4.58:7980
4-59,rtp://225.0.4.59:7980
4-61,rtp://225.0.4.61:7980
4-62,rtp://225.0.4.62:7980
4-63,rtp://225.0.4.63:7980
4-64,rtp://225.0.4.64:7980
4-65,rtp://225.0.4.65:7980
4-66,rtp://225.0.4.66:7980
4-68,rtp://225.0.4.68:7980
4-69,rtp://225.0.4.69:7980
4-70,rtp://225.0.4.70:7980
4-71,rtp://225.0.4.71:7980
4-76,rtp://225.0.4.76:7980
4-77,rtp://225.0.4.77:7980
4-83,rtp://225.0.4.83:7980
4-85,rtp://225.0.4.85:7980
4-86,rtp://225.0.4.86:7980
4-87,rtp://225.0.4.87:7980
4-88,rtp://225.0.4.88:7980
4-89,rtp://225.0.4.89:7980
4-90,rtp://225.0.4.90:7980
4-91,rtp://225.0.4.91:7980
4-92,rtp://225.0.4.92:7980
4-93,rtp://225.0.4.93:7980
4-94,rtp://225.0.4.94:7980
4-95,rtp://225.0.4.95:7980
4-96,rtp://225.0.4.96:7980
4-97,rtp://225.0.4.97:7980
4-99,rtp://225.0.4.99:7980
4-100,rtp://225.0.4.100:7980
4-109,rtp://225.0.4.109:7980
4-110,rtp://225.0.4.110:7980
4-111,rtp://225.0.4.111:7980
4-112,rtp://225.0.4.112:7980
4-113,rtp://225.0.4.113:7980
4-114,rtp://225.0.4.114:7980
4-115,rtp://225.0.4.115:7980
4-116,rtp://225.0.4.116:7980
4-117,rtp://225.0.4.117:7980
4-118,rtp://225.0.4.118:7980
4-119,rtp://225.0.4.119:7980
4-120,rtp://225.0.4.120:7980
4-121,rtp://225.0.4.121:7980
4-124,rtp://225.0.4.124:7980
4-134,rtp://225.0.4.134:7980
4-135,rtp://225.0.4.135:7980
4-136,rtp://225.0.4.136:7980
4-138,rtp://225.0.4.138:7980
4-139,rtp://225.0.4.139:7980
4-140,rtp://225.0.4.140:7980
4-141,rtp://225.0.4.141:7980
4-150,rtp://225.0.4.150:7980
4-151,rtp://225.0.4.151:7980
4-155,rtp://225.0.4.155:7980
4-156,rtp://225.0.4.156:7980
4-157,rtp://225.0.4.157:7980
4-160,rtp://225.0.4.160:7980
4-161,rtp://225.0.4.161:7980
4-164,rtp://225.0.4.164:7980
4-173,rtp://225.0.4.173:7980
4-180,rtp://225.0.4.180:7980
4-184,rtp://225.0.4.184:7980
4-198,rtp://225.0.4.198:7980
4-214,rtp://225.0.4.214:7980
4-216,rtp://225.0.4.216:7980
4-225,rtp://225.0.4.225:7980
4-238,rtp://225.0.4.238:7980
4-243,rtp://225.0.4.243:7980
4-244,rtp://225.0.4.244:7980
4-245,rtp://225.0.4.245:7980
4-246,rtp://225.0.4.246:7980
4-247,rtp://225.0.4.247:7980
4-248,rtp://225.0.4.248:7980
4-249,rtp://225.0.4.249:7980
4-250,rtp://225.0.4.250:7980
4-251,rtp://225.0.4.251:7980
4-252,rtp://225.0.4.252:7980
4-253,rtp://225.0.4.253:7980
4-254,rtp://225.0.4.254:7980

# ===== 网段: 239.0.0.x =====
# 已有IP: 104 个, 缺失IP: 150 个
# 规律: 固定端口 5140

0-31,rtp://239.0.0.31:5140
0-42,rtp://239.0.0.42:5140
0-43,rtp://239.0.0.43:5140
0-44,rtp://239.0.0.44:5140
0-45,rtp://239.0.0.45:5140
0-46,rtp://239.0.0.46:5140
0-47,rtp://239.0.0.47:5140
0-48,rtp://239.0.0.48:5140
0-50,rtp://239.0.0.50:5140
0-59,rtp://239.0.0.59:5140
0-73,rtp://239.0.0.73:5140
0-80,rtp://239.0.0.80:5140
0-81,rtp://239.0.0.81:5140
0-82,rtp://239.0.0.82:5140
0-83,rtp://239.0.0.83:5140
0-84,rtp://239.0.0.84:5140
0-85,rtp://239.0.0.85:5140
0-86,rtp://239.0.0.86:5140
0-87,rtp://239.0.0.87:5140
0-88,rtp://239.0.0.88:5140
0-89,rtp://239.0.0.89:5140
0-90,rtp://239.0.0.90:5140
0-91,rtp://239.0.0.91:5140
0-92,rtp://239.0.0.92:5140
0-93,rtp://239.0.0.93:5140
0-94,rtp://239.0.0.94:5140
0-96,rtp://239.0.0.96:5140
0-97,rtp://239.0.0.97:5140
0-99,rtp://239.0.0.99:5140
0-101,rtp://239.0.0.101:5140
0-102,rtp://239.0.0.102:5140
0-103,rtp://239.0.0.103:5140
0-106,rtp://239.0.0.106:5140
0-107,rtp://239.0.0.107:5140
0-112,rtp://239.0.0.112:5140
0-113,rtp://239.0.0.113:5140
0-114,rtp://239.0.0.114:5140
0-115,rtp://239.0.0.115:5140
0-116,rtp://239.0.0.116:5140
0-117,rtp://239.0.0.117:5140
0-118,rtp://239.0.0.118:5140
0-119,rtp://239.0.0.119:5140
0-120,rtp://239.0.0.120:5140
0-121,rtp://239.0.0.121:5140
0-122,rtp://239.0.0.122:5140
0-123,rtp://239.0.0.123:5140
0-124,rtp://239.0.0.124:5140
0-125,rtp://239.0.0.125:5140
0-126,rtp://239.0.0.126:5140
0-127,rtp://239.0.0.127:5140
0-128,rtp://239.0.0.128:5140
0-129,rtp://239.0.0.129:5140
0-130,rtp://239.0.0.130:5140
0-131,rtp://239.0.0.131:5140
0-132,rtp://239.0.0.132:5140
0-133,rtp://239.0.0.133:5140
0-134,rtp://239.0.0.134:5140
0-135,rtp://239.0.0.135:5140
0-136,rtp://239.0.0.136:5140
0-137,rtp://239.0.0.137:5140
0-138,rtp://239.0.0.138:5140
0-139,rtp://239.0.0.139:5140
0-140,rtp://239.0.0.140:5140
0-141,rtp://239.0.0.141:5140
0-142,rtp://239.0.0.142:5140
0-144,rtp://239.0.0.144:5140
0-145,rtp://239.0.0.145:5140
0-146,rtp://239.0.0.146:5140
0-147,rtp://239.0.0.147:5140
0-148,rtp://239.0.0.148:5140
0-149,rtp://239.0.0.149:5140
0-150,rtp://239.0.0.150:5140
0-151,rtp://239.0.0.151:5140
0-153,rtp://239.0.0.153:5140
0-154,rtp://239.0.0.154:5140
0-155,rtp://239.0.0.155:5140
0-156,rtp://239.0.0.156:5140
0-157,rtp://239.0.0.157:5140
0-158,rtp://239.0.0.158:5140
0-159,rtp://239.0.0.159:5140
0-160,rtp://239.0.0.160:5140
0-161,rtp://239.0.0.161:5140
0-162,rtp://239.0.0.162:5140
0-163,rtp://239.0.0.163:5140
0-164,rtp://239.0.0.164:5140
0-165,rtp://239.0.0.165:5140
0-166,rtp://239.0.0.166:5140
0-167,rtp://239.0.0.167:5140
0-168,rtp://239.0.0.168:5140
0-169,rtp://239.0.0.169:5140
0-170,rtp://239.0.0.170:5140
0-171,rtp://239.0.0.171:5140
0-172,rtp://239.0.0.172:5140
0-173,rtp://239.0.0.173:5140
0-174,rtp://239.0.0.174:5140
0-176,rtp://239.0.0.176:5140
0-177,rtp://239.0.0.177:5140
0-178,rtp://239.0.0.178:5140
0-179,rtp://239.0.0.179:5140
0-180,rtp://239.0.0.180:5140
0-181,rtp://239.0.0.181:5140
0-189,rtp://239.0.0.189:5140
0-193,rtp://239.0.0.193:5140
0-202,rtp://239.0.0.202:5140
0-209,rtp://239.0.0.209:5140
0-210,rtp://239.0.0.210:5140
0-211,rtp://239.0.0.211:5140
0-212,rtp://239.0.0.212:5140
0-213,rtp://239.0.0.213:5140
0-214,rtp://239.0.0.214:5140
0-215,rtp://239.0.0.215:5140
0-216,rtp://239.0.0.216:5140
0-217,rtp://239.0.0.217:5140
0-218,rtp://239.0.0.218:5140
0-219,rtp://239.0.0.219:5140
0-220,rtp://239.0.0.220:5140
0-221,rtp://239.0.0.221:5140
0-222,rtp://239.0.0.222:5140
0-223,rtp://239.0.0.223:5140
0-224,rtp://239.0.0.224:5140
0-225,rtp://239.0.0.225:5140
0-226,rtp://239.0.0.226:5140
0-227,rtp://239.0.0.227:5140
0-228,rtp://239.0.0.228:5140
0-229,rtp://239.0.0.229:5140
0-230,rtp://239.0.0.230:5140
0-231,rtp://239.0.0.231:5140
0-232,rtp://239.0.0.232:5140
0-233,rtp://239.0.0.233:5140
0-234,rtp://239.0.0.234:5140
0-235,rtp://239.0.0.235:5140
0-236,rtp://239.0.0.236:5140
0-237,rtp://239.0.0.237:5140
0-238,rtp://239.0.0.238:5140
0-239,rtp://239.0.0.239:5140
0-240,rtp://239.0.0.240:5140
0-241,rtp://239.0.0.241:5140
0-242,rtp://239.0.0.242:5140
0-243,rtp://239.0.0.243:5140
0-244,rtp://239.0.0.244:5140
0-245,rtp://239.0.0.245:5140
0-246,rtp://239.0.0.246:5140
0-247,rtp://239.0.0.247:5140
0-248,rtp://239.0.0.248:5140
0-249,rtp://239.0.0.249:5140
0-250,rtp://239.0.0.250:5140
0-251,rtp://239.0.0.251:5140
0-252,rtp://239.0.0.252:5140
0-253,rtp://239.0.0.253:5140
0-254,rtp://239.0.0.254:5140

# ===== 总计补充: 276 个IP =====
