# 20260723_160522_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
宁夏卫视	239.121.4.94:8538	无效			422
宁夏公共频道	239.121.4.97:8556	无效			350
宁夏少儿频道	239.121.4.63:8352	无效			382
宁夏教育频道	239.121.4.200:9184	无效			418
宁夏文旅频道	239.121.4.93:8532	无效			221
宁夏经济频道	239.121.4.91:8520	无效			559
CCTV-1综合	239.121.4.113:8636	无效			345
CCTV-2财经	239.121.4.155:8914	无效			423
CCTV-3综艺	239.121.4.151:8890	无效			338
CCTV-4中文国际	239.121.4.134:8786	无效			432
CCTV-5体育	239.121.4.152:8896	无效			540
CCTV-5+体育赛事	239.121.4.140:8852	无效			255
CCTV-6电影	239.121.4.153:8902	无效			495
CCTV-7国防军事	239.121.4.156:8920	无效			301
CCTV-8电视剧	239.121.4.154:8908	无效			574
CCTV-9纪录	239.121.4.157:8926	无效			223
CCTV-10科教	239.121.4.158:8932	无效			489
CCTV-11戏曲	239.121.4.150:9202	无效			291
CCTV11	239.121.4.11:8016	无效			655
CCTV-12社会与法	239.121.4.159:8938	无效			143
CCTV12	239.121.4.12:8022	无效			5533
CCTV-13新闻	239.121.4.13:8028	无效			5044
CCTV-14少儿	239.121.4.160:8944	无效			5503
CCTV-15音乐	239.121.4.202:9208	无效			5058
CCTV-16奥林匹克	239.121.4.122:8008	无效			5501
CCTV-17农业农村	239.121.4.61:8340	无效			5057
高网	239.121.4.192:9136	无效			5463
CGTN英语	239.121.4.125:8014	无效			5050
CGTN西班牙语	239.121.4.137:8020	无效			5489
CGTN法语	239.121.4.206:8024	无效			5062
CGTN阿拉伯语	239.121.4.207:8026	无效			5556
CGTN俄语	239.121.4.208:8030	无效			5047
CETV1	239.121.4.180:9064	无效			5481
CETV2	239.121.4.60:8334	无效			5062
CETV4	239.121.4.199:9178	无效			5557
湖南卫视	239.121.4.114:8666	无效			5053
浙江卫视	239.121.4.116:8678	无效			5598
江苏卫视	239.121.4.115:8672	无效			5127
北京卫视	239.121.4.117:8684	无效			5580
东方卫视	239.121.4.109:8636	无效			5068
东方卫视	239.121.4.27:8136	无效			5579
