# 20260905_171501_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
8-1	225.1.8.1:8080	无效			635
8-2	225.1.8.2:8084	无效			2288
8-3	225.1.8.3:8088	无效			717
8-4	225.1.8.4:8092	无效			776
8-5	225.1.8.5:8096	无效			708
8-6	225.1.8.6:8100	无效			786
8-8	225.1.8.8:8108	无效			1268
8-9	225.1.8.9:8112	无效			1142
8-10	225.1.8.10:8116	无效			763
8-11	225.1.8.11:8120	无效			713
8-13	225.1.8.13:1	无效			798
8-14	225.1.8.14:1	无效			851
8-15	225.1.8.15:1	无效			896
8-16	225.1.8.16:1	无效			1250
8-17	225.1.8.17:1	无效			954
8-18	225.1.8.18:1	无效			784
8-19	225.1.8.19:1	无效			1776
8-20	225.1.8.20:1	无效			890
8-21	225.1.8.21:1	无效			944
8-22	225.1.8.22:1	无效			1192
8-24	225.1.8.24:1	无效			295
8-25	225.1.8.25:1	无效			249
8-26	225.1.8.26:1	无效			690
8-27	225.1.8.27:1	无效			1182
8-28	225.1.8.28:1	无效			776
8-29	225.1.8.29:1	无效			781
8-30	225.1.8.30:1	无效			784
8-31	225.1.8.31:1	无效			819
8-32	225.1.8.32:1	无效			810
8-33	225.1.8.33:1	无效			1079
8-34	225.1.8.34:1	无效			1170
8-35	225.1.8.35:1	无效			797
8-39	225.1.8.39:1	无效			740
8-40	225.1.8.40:1	无效			1808
8-41	225.1.8.41:1	无效			845
8-42	225.1.8.42:1	无效			1176
8-43	225.1.8.43:1	无效			1000
8-44	225.1.8.44:1	无效			804
8-45	225.1.8.45:1	无效			733
8-46	225.1.8.46:1	无效			723
8-48	225.1.8.48:1	无效			897
8-49	225.1.8.49:1	无效			818
8-50	225.1.8.50:1	无效			1054
8-51	225.1.8.51:1	无效			810
8-52	225.1.8.52:1	无效			1048
8-54	225.1.8.54:1	无效			996
8-55	225.1.8.55:1	无效			800
8-56	225.1.8.56:1	无效			756
8-57	225.1.8.57:1	无效			787
8-58	225.1.8.58:1	无效			842
8-59	225.1.8.59:1	无效			979
8-60	225.1.8.60:1	无效			1469
8-61	225.1.8.61:1	无效			874
8-62	225.1.8.62:1	无效			750
8-63	225.1.8.63:1	无效			868
8-64	225.1.8.64:1	无效			860
8-65	225.1.8.65:1	无效			859
8-66	225.1.8.66:1	无效			827
8-67	225.1.8.67:1	无效			2420
8-68	225.1.8.68:1	无效			734
8-69	225.1.8.69:1	无效			735
8-70	225.1.8.70:1	无效			893
8-71	225.1.8.71:1	无效			870
8-72	225.1.8.72:1	无效			1128
8-73	225.1.8.73:1	无效			796
8-74	225.1.8.74:1	无效			260
8-75	225.1.8.75:1	无效			820
8-76	225.1.8.76:1	无效			1100
8-77	225.1.8.77:1	无效			1836
8-78	225.1.8.78:1	无效			765
8-79	225.1.8.79:1	无效			827
8-80	225.1.8.80:1	无效			848
8-81	225.1.8.81:1	无效			1578
8-82	225.1.8.82:1	无效			840
8-83	225.1.8.83:1	无效			688
8-84	225.1.8.84:1	无效			724
8-86	225.1.8.86:1	无效			840
8-87	225.1.8.87:1	无效			627
8-88	225.1.8.88:1	无效			599
8-90	225.1.8.90:1	无效			1147
8-91	225.1.8.91:1	无效			1270
8-92	225.1.8.92:1	无效			812
8-93	225.1.8.93:1	无效			1860
8-94	225.1.8.94:1	无效			788
8-95	225.1.8.95:1	无效			986
8-96	225.1.8.96:1	无效			1288
8-97	225.1.8.97:1	无效			286
8-98	225.1.8.98:1	无效			257
8-99	225.1.8.99:1	无效			639
8-100	225.1.8.100:1	无效			1281
8-101	225.1.8.101:1	无效			830
8-102	225.1.8.102:1	无效			1823
8-103	225.1.8.103:1	无效			689
8-104	225.1.8.104:1	无效			746
8-105	225.1.8.105:1	无效			1119
8-106	225.1.8.106:1	无效			1095
8-107	225.1.8.107:1	无效			1799
8-108	225.1.8.108:1	无效			822
8-109	225.1.8.109:1	无效			884
8-110	225.1.8.110:1	无效			1996
8-111	225.1.8.111:1	无效			905
8-112	225.1.8.112:1	无效			725
8-113	225.1.8.113:1	无效			765
8-114	225.1.8.114:1	无效			703
8-115	225.1.8.115:1	无效			885
8-116	225.1.8.116:1	无效			901
8-117	225.1.8.117:1	无效			1055
8-118	225.1.8.118:1	无效			635
8-119	225.1.8.119:1	无效			274
8-120	225.1.8.120:1	无效			265
8-126	225.1.8.126:8002	无效			1015
8-128	225.1.8.128:8002	无效			947
8-140	225.1.8.140:1	无效			1782
8-164	225.1.8.164:1	无效			805
8-168	225.1.8.168:4120	无效			843
8-171	225.1.8.171:1	无效			854
8-172	225.1.8.172:1	无效			1326
8-173	225.1.8.173:1	无效			827
8-174	225.1.8.174:1	无效			876
8-176	225.1.8.176:1	无效			672
8-177	225.1.8.177:1	无效			788
8-179	225.1.8.179:1	无效			799
8-180	225.1.8.180:1	无效			838
8-181	225.1.8.181:1	无效			1359
8-182	225.1.8.182:1	无效			911
8-183	225.1.8.183:1	无效			800
8-184	225.1.8.184:1	无效			804
8-185	225.1.8.185:1	无效			764
8-186	225.1.8.186:1	无效			823
8-187	225.1.8.187:1	无效			739
8-188	225.1.8.188:1	无效			1051
8-189	225.1.8.189:1	无效			670
8-191	225.1.8.191:1	无效			717
8-192	225.1.8.192:1	无效			2278
8-194	225.1.8.194:4120	无效			651
8-196	225.1.8.196:24	无效			730
8-197	225.1.8.197:840	无效			885
8-198	225.1.8.198:1656	无效			879
8-199	225.1.8.199:2472	无效			1654
8-200	225.1.8.200:3288	无效			891
8-202	225.1.8.202:4920	无效			780
8-205	225.1.8.205:7368	无效			816
8-208	225.1.8.208:9816	无效			687
8-209	225.1.8.209:10632	无效			881
8-210	225.1.8.210:11448	无效			1050
8-211	225.1.8.211:12264	无效			1618
8-212	225.1.8.212:13080	无效			792
8-213	225.1.8.213:13896	无效			760
8-214	225.1.8.214:14712	无效			747
8-215	225.1.8.215:15528	无效			888
8-216	225.1.8.216:16344	无效			759
8-217	225.1.8.217:17160	无效			1013
8-218	225.1.8.218:17976	无效			860
8-219	225.1.8.219:18792	无效			266
8-220	225.1.8.220:19608	无效			1056
8-221	225.1.8.221:20424	无效			955
8-222	225.1.8.222:21240	无效			1817
8-223	225.1.8.223:22056	无效			864
8-224	225.1.8.224:22872	无效			871
8-225	225.1.8.225:23688	无效			1014
8-226	225.1.8.226:24504	无效			3530
8-227	225.1.8.227:25320	无效			859
8-228	225.1.8.228:26136	无效			879
8-229	225.1.8.229:26952	无效			891
8-230	225.1.8.230:27768	无效			1387
8-231	225.1.8.231:28584	无效			775
8-232	225.1.8.232:29400	无效			755
8-233	225.1.8.233:30216	无效			799
8-234	225.1.8.234:31032	无效			677
8-235	225.1.8.235:31848	无效			867
8-236	225.1.8.236:32664	无效			900
8-237	225.1.8.237:33480	无效			1290
8-238	225.1.8.238:34296	无效			261
8-239	225.1.8.239:35112	无效			249
8-240	225.1.8.240:35928	无效			267
8-241	225.1.8.241:36744	无效			271
8-242	225.1.8.242:37560	无效			2080
8-243	225.1.8.243:38376	无效			736
