# 补充IP列表 - 原文件: 安徽电信.txt
# 生成时间: 2026-05-28 17:16:20
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.1.78.x =====
# 已有IP: 147 个, 缺失IP: 107 个
# 规律: 多段线性
#   D∈[20,33] → 8×D+5928
#   D∈[50,50] → 4.705882352941177×D+6036.705882352941
#   D∈[61,205] → 8×D+5872
#   D∈[206,206] → -10×D+9562
#   D∈[207,207] → 26×D+2146
#   D∈[208,254] → 8×D+5872

78-1,rtp://238.1.78.1:5936
78-2,rtp://238.1.78.2:5944
78-3,rtp://238.1.78.3:5952
78-4,rtp://238.1.78.4:5960
78-5,rtp://238.1.78.5:5968
78-6,rtp://238.1.78.6:5976
78-7,rtp://238.1.78.7:5984
78-8,rtp://238.1.78.8:5992
78-9,rtp://238.1.78.9:6000
78-10,rtp://238.1.78.10:6008
78-11,rtp://238.1.78.11:6016
78-12,rtp://238.1.78.12:6024
78-13,rtp://238.1.78.13:6032
78-14,rtp://238.1.78.14:6040
78-15,rtp://238.1.78.15:6048
78-16,rtp://238.1.78.16:6056
78-17,rtp://238.1.78.17:6064
78-18,rtp://238.1.78.18:6072
78-19,rtp://238.1.78.19:6080
78-23,rtp://238.1.78.23:6112
78-24,rtp://238.1.78.24:6120
78-34,rtp://238.1.78.34:6144
78-35,rtp://238.1.78.35:6152
78-36,rtp://238.1.78.36:6160
78-37,rtp://238.1.78.37:6168
78-38,rtp://238.1.78.38:6176
78-39,rtp://238.1.78.39:6184
78-40,rtp://238.1.78.40:6192
78-41,rtp://238.1.78.41:6200
78-42,rtp://238.1.78.42:6208
78-43,rtp://238.1.78.43:6216
78-44,rtp://238.1.78.44:6224
78-45,rtp://238.1.78.45:6232
78-46,rtp://238.1.78.46:6240
78-47,rtp://238.1.78.47:6248
78-48,rtp://238.1.78.48:6256
78-49,rtp://238.1.78.49:6264
78-51,rtp://238.1.78.51:6280
78-52,rtp://238.1.78.52:6288
78-53,rtp://238.1.78.53:6296
78-54,rtp://238.1.78.54:6304
78-55,rtp://238.1.78.55:6312
78-56,rtp://238.1.78.56:6320
78-57,rtp://238.1.78.57:6328
78-58,rtp://238.1.78.58:6336
78-59,rtp://238.1.78.59:6344
78-60,rtp://238.1.78.60:6352
78-62,rtp://238.1.78.62:6368
78-63,rtp://238.1.78.63:6376
78-64,rtp://238.1.78.64:6384
78-65,rtp://238.1.78.65:6392
78-66,rtp://238.1.78.66:6400
78-67,rtp://238.1.78.67:6408
78-68,rtp://238.1.78.68:6416
78-69,rtp://238.1.78.69:6424
78-71,rtp://238.1.78.71:6440
78-72,rtp://238.1.78.72:6448
78-75,rtp://238.1.78.75:6472
78-78,rtp://238.1.78.78:6496
78-79,rtp://238.1.78.79:6504
78-83,rtp://238.1.78.83:6536
78-86,rtp://238.1.78.86:6560
78-87,rtp://238.1.78.87:6568
78-90,rtp://238.1.78.90:6592
78-91,rtp://238.1.78.91:6600
78-92,rtp://238.1.78.92:6608
78-93,rtp://238.1.78.93:6616
78-94,rtp://238.1.78.94:6624
78-96,rtp://238.1.78.96:6640
78-98,rtp://238.1.78.98:6656
78-99,rtp://238.1.78.99:6664
78-105,rtp://238.1.78.105:6712
78-108,rtp://238.1.78.108:6736
78-115,rtp://238.1.78.115:6792
78-116,rtp://238.1.78.116:6800
78-174,rtp://238.1.78.174:7264
78-175,rtp://238.1.78.175:7272
78-176,rtp://238.1.78.176:7280
78-177,rtp://238.1.78.177:7288
78-179,rtp://238.1.78.179:7304
78-186,rtp://238.1.78.186:7360
78-191,rtp://238.1.78.191:7400
78-198,rtp://238.1.78.198:7456
78-201,rtp://238.1.78.201:7480
78-202,rtp://238.1.78.202:7488
78-217,rtp://238.1.78.217:7608
78-219,rtp://238.1.78.219:7624
78-223,rtp://238.1.78.223:7656
78-224,rtp://238.1.78.224:7664
78-225,rtp://238.1.78.225:7672
78-226,rtp://238.1.78.226:7680
78-227,rtp://238.1.78.227:7688
78-228,rtp://238.1.78.228:7696
78-229,rtp://238.1.78.229:7704
78-230,rtp://238.1.78.230:7712
78-231,rtp://238.1.78.231:7720
78-232,rtp://238.1.78.232:7728
78-233,rtp://238.1.78.233:7736
78-234,rtp://238.1.78.234:7744
78-238,rtp://238.1.78.238:7776
78-247,rtp://238.1.78.247:7848
78-248,rtp://238.1.78.248:7856
78-249,rtp://238.1.78.249:7864
78-250,rtp://238.1.78.250:7872
78-251,rtp://238.1.78.251:7880
78-252,rtp://238.1.78.252:7888
78-253,rtp://238.1.78.253:7896

# ===== 网段: 238.1.79.x =====
# 已有IP: 45 个, 缺失IP: 209 个
# 规律: 多段线性
#   D∈[9,52] → 8×D+4112
#   D∈[53,53] → 32×D+2864
#   D∈[54,64] → 8×D+4136
#   D∈[65,65] → -16×D+5672
#   D∈[66,66] → 32×D+2552

79-1,rtp://238.1.79.1:4120
79-2,rtp://238.1.79.2:4128
79-3,rtp://238.1.79.3:4136
79-4,rtp://238.1.79.4:4144
79-5,rtp://238.1.79.5:4152
79-6,rtp://238.1.79.6:4160
79-7,rtp://238.1.79.7:4168
79-8,rtp://238.1.79.8:4176
79-10,rtp://238.1.79.10:4192
79-16,rtp://238.1.79.16:4240
79-17,rtp://238.1.79.17:4248
79-18,rtp://238.1.79.18:4256
79-22,rtp://238.1.79.22:4288
79-23,rtp://238.1.79.23:4296
79-25,rtp://238.1.79.25:4312
79-26,rtp://238.1.79.26:4320
79-28,rtp://238.1.79.28:4336
79-29,rtp://238.1.79.29:4344
79-37,rtp://238.1.79.37:4408
79-38,rtp://238.1.79.38:4416
79-51,rtp://238.1.79.51:4520
79-67,rtp://238.1.79.67:4696
79-68,rtp://238.1.79.68:4728
79-69,rtp://238.1.79.69:4760
79-70,rtp://238.1.79.70:4792
79-71,rtp://238.1.79.71:4824
79-72,rtp://238.1.79.72:4856
79-73,rtp://238.1.79.73:4888
79-74,rtp://238.1.79.74:4920
79-75,rtp://238.1.79.75:4952
79-76,rtp://238.1.79.76:4984
79-77,rtp://238.1.79.77:5016
79-78,rtp://238.1.79.78:5048
79-79,rtp://238.1.79.79:5080
79-80,rtp://238.1.79.80:5112
79-81,rtp://238.1.79.81:5144
79-82,rtp://238.1.79.82:5176
79-83,rtp://238.1.79.83:5208
79-84,rtp://238.1.79.84:5240
79-85,rtp://238.1.79.85:5272
79-86,rtp://238.1.79.86:5304
79-87,rtp://238.1.79.87:5336
79-88,rtp://238.1.79.88:5368
79-89,rtp://238.1.79.89:5400
79-90,rtp://238.1.79.90:5432
79-91,rtp://238.1.79.91:5464
79-92,rtp://238.1.79.92:5496
79-93,rtp://238.1.79.93:5528
79-94,rtp://238.1.79.94:5560
