# 20260711_151031_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
78-1	238.1.78.1:5936	无效			6061
78-2	238.1.78.2:5944	无效			3117
78-3	238.1.78.3:5952	无效			1471
78-4	238.1.78.4:5960	无效			6618
78-5	238.1.78.5:5968	无效			5514
78-6	238.1.78.6:5976	无效			1959
78-7	238.1.78.7:5984	无效			449
78-8	238.1.78.8:5992	无效			1473
78-9	238.1.78.9:6000	无效			1781
78-10	238.1.78.10:6008	无效			5517
78-11	238.1.78.11:6016	无效			6067
78-12	238.1.78.12:6024	无效			5532
78-13	238.1.78.13:6032	无效			5503
78-14	238.1.78.14:6040	无效			5523
78-15	238.1.78.15:6048	无效			5516
78-16	238.1.78.16:6056	无效			1697
78-17	238.1.78.17:6064	无效			503
78-18	238.1.78.18:6072	无效			456
78-19	238.1.78.19:6080	无效			464
78-23	238.1.78.23:6112	有效	3840x2160	hevc	4922
78-24	238.1.78.24:6120	有效	1920x1080	h264	6072
78-34	238.1.78.34:6144	无效			1074
78-35	238.1.78.35:6152	无效			5902
78-36	238.1.78.36:6160	无效			5527
78-37	238.1.78.37:6168	无效			5510
78-38	238.1.78.38:6176	无效			6248
78-39	238.1.78.39:6184	无效			5516
78-40	238.1.78.40:6192	无效			6069
78-41	238.1.78.41:6200	有效	720x576	h264	5633
78-42	238.1.78.42:6208	有效	720x576	h264	5546
78-43	238.1.78.43:6216	有效	720x576	h264	5746
78-44	238.1.78.44:6224	有效	720x576	h264	5641
78-45	238.1.78.45:6232	有效	720x576	h264	5629
78-46	238.1.78.46:6240	有效	720x576	h264	5800
78-47	238.1.78.47:6248	有效	720x576	h264	5591
78-48	238.1.78.48:6256	有效	720x576	h264	5608
78-49	238.1.78.49:6264	有效	720x576	h264	5677
78-51	238.1.78.51:6280	有效	720x576	h264	6285
78-52	238.1.78.52:6288	有效	720x576	h264	5589
78-53	238.1.78.53:6296	有效	720x576	h264	6137
78-54	238.1.78.54:6304	有效	720x576	h264	5560
78-55	238.1.78.55:6312	有效	720x576	h264	5994
78-56	238.1.78.56:6320	有效	720x576	h264	5656
78-57	238.1.78.57:6328	有效	720x576	h264	5666
78-58	238.1.78.58:6336	有效	720x576	h264	5643
78-59	238.1.78.59:6344	有效	720x576	h264	5781
78-60	238.1.78.60:6352	有效	1280x720	h264	17965
78-62	238.1.78.62:6368	有效	720x576	h264	5531
78-63	238.1.78.63:6376	有效	720x576	h264	6016
78-64	238.1.78.64:6384	有效	720x576	h264	5748
78-65	238.1.78.65:6392	有效	720x576	h264	5370
78-66	238.1.78.66:6400	有效	720x576	h264	5633
78-67	238.1.78.67:6408	有效	720x576	h264	6630
78-68	238.1.78.68:6416	有效	720x576	h264	5640
78-69	238.1.78.69:6424	有效	720x576	h264	5629
78-71	238.1.78.71:6440	有效	720x576	h264	7699
78-72	238.1.78.72:6448	有效	720x576	h264	5624
78-75	238.1.78.75:6472	无效			5526
78-78	238.1.78.78:6496	无效			6151
78-79	238.1.78.79:6504	无效			5519
78-83	238.1.78.83:6536	无效			6159
78-86	238.1.78.86:6560	有效	720x576	h264	5876
78-87	238.1.78.87:6568	有效	720x576	h264	5607
78-90	238.1.78.90:6592	有效	720x576	h264	5638
78-91	238.1.78.91:6600	有效	720x576	h264	5608
78-92	238.1.78.92:6608	有效	720x576	h264	5823
78-93	238.1.78.93:6616	有效	720x576	h264	6739
78-94	238.1.78.94:6624	有效	720x576	h264	5513
78-96	238.1.78.96:6640	有效	1280x720	h264	9210
78-98	238.1.78.98:6656	有效	720x576	h264	5789
78-99	238.1.78.99:6664	有效	720x576	h264	5692
78-105	238.1.78.105:6712	有效	720x576	h264	5667
78-108	238.1.78.108:6736	有效	720x576	h264	5654
78-115	238.1.78.115:6792	有效		h264	3526
78-116	238.1.78.116:6800	有效	1280x720	h264	11181
78-174	238.1.78.174:7264	有效	720x576	h264	5839
78-175	238.1.78.175:7272	有效	720x576	h264	5744
78-176	238.1.78.176:7280	有效	720x576	h264	6020
78-177	238.1.78.177:7288	有效	720x576	h264	6044
78-179	238.1.78.179:7304	有效	720x576	h264	5619
