# 20260626_163857_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
山东卫视	239.21.1.52:5002	无效			6298
山东卫视	239.21.1.87:5002	有效			0
山东体育	239.21.1.58:5002	无效			5867
山东体育频道	239.21.1.141:5002	有效			0
山东农科	239.21.1.59:5002	无效			7046
山东农科频道	239.21.1.183:5002	有效			0
山东国际	239.21.1.61:5002	无效			5642
山东少儿	239.21.1.60:5002	无效			6286
山东少儿频道	239.21.1.208:5002	有效			0
山东教育	239.21.1.101:5002	无效			7412
山东教育频道	239.21.1.169:5002	有效			0
山东文旅	239.21.1.57:5002	无效			6295
山东文旅频道	239.21.1.176:5002	有效			0
山东新闻	239.21.1.54:5002	无效			8945
山东新闻频道	239.21.1.140:5002	有效			0
山东生活	239.21.1.56:5002	无效			6294
山东生活频道	239.21.1.175:5002	有效			0
山东综艺	239.21.1.55:5002	无效			6903
山东综艺频道	239.21.1.177:5002	有效			0
山东齐鲁	239.21.1.53:5002	无效			6297
山东齐鲁频道	239.21.1.134:5002	有效			0
CCTV1	239.21.1.120:5002	有效			0
CCTV1	239.21.1.1:5002	有效			0
CCTV2	239.21.1.151:5002	有效			0
CCTV2	239.21.1.2:5002	无效			5864
CCTV3	239.21.1.3:5002	无效			6275
CCTV3	239.21.2.45:5002	有效			0
CCTV4	239.21.1.154:5002	有效			0
CCTV4	239.21.1.4:5002	无效			5638
CCTV5	239.21.1.5:5002	无效			6287
CCTV5	239.21.2.46:5002	有效			0
CCTV5+	239.21.1.142:5002	有效	1920x1080	h264	7350
CCTV6	239.21.1.6:5002	无效			6642
CCTV6	239.21.2.47:5002	有效	1920x1080	h264	6705
CCTV7	239.21.1.152:5002	有效			0
CCTV7	239.21.1.7:5002	无效			6282
CCTV8	239.21.1.8:5002	无效			5885
CCTV8	239.21.2.48:5002	有效			0
CCTV9	239.21.1.153:5002	有效			0
CCTV9	239.21.1.9:5002	无效			6019
CCTV10	239.21.1.11:5002	无效			5631
CCTV10	239.21.1.155:5002	有效			0
CCTV11	239.21.1.12:5002	无效			7318
CCTV11	239.21.2.2:5002	有效			0
CCTV12	239.21.1.13:5002	无效			6143
CCTV12	239.21.1.156:5002	有效	1920x1080	h264	6529
CCTV13	239.21.1.14:5002	无效			7326
CCTV13	239.21.2.1:5002	无效			6132
CCTV13	239.21.2.3:5002	有效	1920x1080	h264	7262
CCTV14	239.21.1.157:5002	有效			0
CCTV14	239.21.1.15:5002	无效			7318
CCTV15	239.21.1.16:5002	无效			6131
CCTV15	239.21.2.4:5002	有效			0
CCTV17	239.21.1.186:5002	有效	1920x1080	h264	7415
CCTV17	239.21.1.206:5002	无效			7308
CHC高清电影	239.21.2.127:5002	有效			0
CHC动作电影	239.21.2.128:5002	有效			0
CHC家庭影院	239.21.2.126:5002	有效			0
优优宝贝	239.21.2.41:5002	无效			6132
CGTN	239.21.2.30:5002	有效			0
CGTN西语	239.21.2.32:5002	有效			0
CGTN法语	239.21.2.33:5002	有效			0
CGTN阿语	239.21.2.34:5002	有效			0
CGTN俄语	239.21.2.35:5002	有效	1920x1080	h264	5531
CETV1	239.21.2.7:5002	有效			0
中国教育2	239.21.2.8:5002	有效	720x576	h264	6456
CETV4	239.21.1.222:5002	无效			7294
凤凰中文	239.21.2.153:5002	无效			6153
凤凰资讯	239.21.2.163:5002	无效			7313
凤凰香港	239.21.2.164:5002	无效			6131
湖南卫视	239.21.1.158:5002	有效			0
湖南卫视	239.21.1.18:5002	无效			7291
浙江卫视	239.21.1.17:5002	无效			6143
浙江卫视	239.21.1.90:5002	有效			0
江苏卫视	239.21.1.19:5002	无效			7298
江苏卫视	239.21.1.89:5002	有效	1920x1080	h264	7382
北京卫视	239.21.1.20:5002	无效			6133
北京卫视	239.21.1.88:5002	有效			0
北京卫视	239.21.2.172:5002	有效			0
东方卫视	239.21.1.111:5002	有效			0
东方卫视	239.21.1.23:5002	无效			7293
安徽卫视	239.21.1.159:5002	有效			0
安徽卫视	239.21.1.21:5002	无效			6132
广东卫视	239.21.1.26:5002	无效			7278
广东卫视	239.21.1.92:5002	有效			0
深圳卫视	239.21.1.25:5002	无效			6139
深圳卫视	239.21.1.93:5002	有效	1920x1080	h264	10437
辽宁卫视	239.21.1.164:5002	有效			0
辽宁卫视	239.21.1.27:5002	无效			6133
天津卫视	239.21.1.165:5002	有效			0
天津卫视	239.21.1.22:5002	无效			5632
重庆卫视	239.21.1.233:5002	有效			0
