# 补充IP列表 - 原文件: 山东电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.21.1.x =====
# 已有IP: 234 个, 缺失IP: 20 个
# 规律: 固定端口 5002

1-95,rtp://239.21.1.95:5002
1-104,rtp://239.21.1.104:5002
1-108,rtp://239.21.1.108:5002
1-136,rtp://239.21.1.136:5002
1-137,rtp://239.21.1.137:5002
1-145,rtp://239.21.1.145:5002
1-146,rtp://239.21.1.146:5002
1-147,rtp://239.21.1.147:5002
1-148,rtp://239.21.1.148:5002
1-173,rtp://239.21.1.173:5002
1-188,rtp://239.21.1.188:5002
1-189,rtp://239.21.1.189:5002
1-192,rtp://239.21.1.192:5002
1-197,rtp://239.21.1.197:5002
1-198,rtp://239.21.1.198:5002
1-199,rtp://239.21.1.199:5002
1-200,rtp://239.21.1.200:5002
1-201,rtp://239.21.1.201:5002
1-202,rtp://239.21.1.202:5002
1-207,rtp://239.21.1.207:5002

# ===== 网段: 239.21.2.x =====
# 已有IP: 123 个, 缺失IP: 131 个
# 规律: 固定端口 5002

2-16,rtp://239.21.2.16:5002
2-17,rtp://239.21.2.17:5002
2-25,rtp://239.21.2.25:5002
2-54,rtp://239.21.2.54:5002
2-67,rtp://239.21.2.67:5002
2-69,rtp://239.21.2.69:5002
2-70,rtp://239.21.2.70:5002
2-72,rtp://239.21.2.72:5002
2-73,rtp://239.21.2.73:5002
2-74,rtp://239.21.2.74:5002
2-75,rtp://239.21.2.75:5002
2-76,rtp://239.21.2.76:5002
2-78,rtp://239.21.2.78:5002
2-100,rtp://239.21.2.100:5002
2-106,rtp://239.21.2.106:5002
2-113,rtp://239.21.2.113:5002
2-114,rtp://239.21.2.114:5002
2-124,rtp://239.21.2.124:5002
2-125,rtp://239.21.2.125:5002
2-136,rtp://239.21.2.136:5002
2-137,rtp://239.21.2.137:5002
2-138,rtp://239.21.2.138:5002
2-139,rtp://239.21.2.139:5002
2-140,rtp://239.21.2.140:5002
2-141,rtp://239.21.2.141:5002
2-143,rtp://239.21.2.143:5002
2-144,rtp://239.21.2.144:5002
2-145,rtp://239.21.2.145:5002
2-146,rtp://239.21.2.146:5002
2-147,rtp://239.21.2.147:5002
2-148,rtp://239.21.2.148:5002
2-149,rtp://239.21.2.149:5002
2-150,rtp://239.21.2.150:5002
2-151,rtp://239.21.2.151:5002
2-152,rtp://239.21.2.152:5002
2-154,rtp://239.21.2.154:5002
2-155,rtp://239.21.2.155:5002
2-156,rtp://239.21.2.156:5002
2-157,rtp://239.21.2.157:5002
2-158,rtp://239.21.2.158:5002
2-161,rtp://239.21.2.161:5002
2-162,rtp://239.21.2.162:5002
2-165,rtp://239.21.2.165:5002
2-166,rtp://239.21.2.166:5002
2-167,rtp://239.21.2.167:5002
2-168,rtp://239.21.2.168:5002
2-169,rtp://239.21.2.169:5002
2-170,rtp://239.21.2.170:5002
2-171,rtp://239.21.2.171:5002
2-173,rtp://239.21.2.173:5002
2-174,rtp://239.21.2.174:5002
2-175,rtp://239.21.2.175:5002
2-176,rtp://239.21.2.176:5002
2-177,rtp://239.21.2.177:5002
2-178,rtp://239.21.2.178:5002
2-179,rtp://239.21.2.179:5002
2-180,rtp://239.21.2.180:5002
2-181,rtp://239.21.2.181:5002
2-182,rtp://239.21.2.182:5002
2-183,rtp://239.21.2.183:5002
2-184,rtp://239.21.2.184:5002
2-185,rtp://239.21.2.185:5002
2-186,rtp://239.21.2.186:5002
2-187,rtp://239.21.2.187:5002
2-188,rtp://239.21.2.188:5002
2-189,rtp://239.21.2.189:5002
2-190,rtp://239.21.2.190:5002
2-191,rtp://239.21.2.191:5002
2-192,rtp://239.21.2.192:5002
2-193,rtp://239.21.2.193:5002
2-194,rtp://239.21.2.194:5002
2-195,rtp://239.21.2.195:5002
2-196,rtp://239.21.2.196:5002
2-197,rtp://239.21.2.197:5002
2-198,rtp://239.21.2.198:5002
2-199,rtp://239.21.2.199:5002
2-200,rtp://239.21.2.200:5002
2-201,rtp://239.21.2.201:5002
2-202,rtp://239.21.2.202:5002
2-203,rtp://239.21.2.203:5002
2-204,rtp://239.21.2.204:5002
2-205,rtp://239.21.2.205:5002
2-206,rtp://239.21.2.206:5002
2-207,rtp://239.21.2.207:5002
2-208,rtp://239.21.2.208:5002
2-209,rtp://239.21.2.209:5002
2-210,rtp://239.21.2.210:5002
2-211,rtp://239.21.2.211:5002
2-212,rtp://239.21.2.212:5002
2-213,rtp://239.21.2.213:5002
2-214,rtp://239.21.2.214:5002
2-215,rtp://239.21.2.215:5002
2-216,rtp://239.21.2.216:5002
2-217,rtp://239.21.2.217:5002
2-218,rtp://239.21.2.218:5002
2-219,rtp://239.21.2.219:5002
2-220,rtp://239.21.2.220:5002
2-221,rtp://239.21.2.221:5002
2-222,rtp://239.21.2.222:5002
2-223,rtp://239.21.2.223:5002
2-224,rtp://239.21.2.224:5002
2-225,rtp://239.21.2.225:5002
2-226,rtp://239.21.2.226:5002
2-227,rtp://239.21.2.227:5002
2-228,rtp://239.21.2.228:5002
2-229,rtp://239.21.2.229:5002
2-230,rtp://239.21.2.230:5002
2-231,rtp://239.21.2.231:5002
2-232,rtp://239.21.2.232:5002
2-233,rtp://239.21.2.233:5002
2-234,rtp://239.21.2.234:5002
2-235,rtp://239.21.2.235:5002
2-236,rtp://239.21.2.236:5002
2-237,rtp://239.21.2.237:5002
2-238,rtp://239.21.2.238:5002
2-239,rtp://239.21.2.239:5002
2-240,rtp://239.21.2.240:5002
2-241,rtp://239.21.2.241:5002
2-242,rtp://239.21.2.242:5002
2-243,rtp://239.21.2.243:5002
2-244,rtp://239.21.2.244:5002
2-245,rtp://239.21.2.245:5002
2-246,rtp://239.21.2.246:5002
2-247,rtp://239.21.2.247:5002
2-248,rtp://239.21.2.248:5002
2-249,rtp://239.21.2.249:5002
2-250,rtp://239.21.2.250:5002
2-251,rtp://239.21.2.251:5002
2-252,rtp://239.21.2.252:5002
2-253,rtp://239.21.2.253:5002
2-254,rtp://239.21.2.254:5002

# ===== 总计补充: 151 个IP =====
