# 20260528_144356_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-95	239.21.1.95:5002	无效			99999
1-104	239.21.1.104:5002	无效			99999
1-108	239.21.1.108:5002	无效			5717
1-136	239.21.1.136:5002	无效			5624
1-137	239.21.1.137:5002	无效			99999
1-145	239.21.1.145:5002	无效			99999
1-146	239.21.1.146:5002	无效			5713
1-147	239.21.1.147:5002	无效			6646
1-148	239.21.1.148:5002	无效			99999
1-173	239.21.1.173:5002	无效			99999
1-188	239.21.1.188:5002	无效			6479
1-189	239.21.1.189:5002	无效			5631
1-192	239.21.1.192:5002	无效			99999
1-197	239.21.1.197:5002	无效			99999
1-198	239.21.1.198:5002	无效			6739
1-199	239.21.1.199:5002	无效			5893
1-200	239.21.1.200:5002	无效			99999
1-201	239.21.1.201:5002	无效			99999
1-202	239.21.1.202:5002	无效			6744
1-207	239.21.1.207:5002	无效			6652
2-16	239.21.2.16:5002	无效			99999
2-17	239.21.2.17:5002	无效			99999
2-25	239.21.2.25:5002	无效			5716
2-54	239.21.2.54:5002	无效			5633
2-67	239.21.2.67:5002	无效			99999
2-69	239.21.2.69:5002	无效			99999
2-70	239.21.2.70:5002	无效			6731
2-72	239.21.2.72:5002	无效			5634
2-73	239.21.2.73:5002	无效			99999
2-74	239.21.2.74:5002	无效			99999
2-75	239.21.2.75:5002	无效			5934
2-76	239.21.2.76:5002	无效			6655
2-78	239.21.2.78:5002	无效			99999
2-100	239.21.2.100:5002	无效			99999
2-106	239.21.2.106:5002	无效			5948
2-113	239.21.2.113:5002	无效			5643
2-114	239.21.2.114:5002	无效			99999
2-124	239.21.2.124:5002	无效			99999
2-125	239.21.2.125:5002	无效			7475
2-136	239.21.2.136:5002	无效			6664
2-137	239.21.2.137:5002	无效			5528
2-138	239.21.2.138:5002	无效			5108
2-139	239.21.2.139:5002	无效			5119
2-140	239.21.2.140:5002	无效			5071
2-141	239.21.2.141:5002	无效			5538
2-143	239.21.2.143:5002	无效			5088
2-144	239.21.2.144:5002	无效			5120
2-145	239.21.2.145:5002	无效			5074
2-146	239.21.2.146:5002	无效			5427
2-147	239.21.2.147:5002	无效			5056
2-148	239.21.2.148:5002	无效			5055
2-149	239.21.2.149:5002	无效			5057
2-150	239.21.2.150:5002	无效			5480
2-151	239.21.2.151:5002	无效			5079
2-152	239.21.2.152:5002	无效			5073
2-154	239.21.2.154:5002	无效			5072
2-155	239.21.2.155:5002	无效			5473
2-156	239.21.2.156:5002	无效			5087
2-157	239.21.2.157:5002	无效			5076
2-158	239.21.2.158:5002	无效			5062
2-161	239.21.2.161:5002	无效			5463
2-162	239.21.2.162:5002	无效			5119
2-165	239.21.2.165:5002	无效			5082
2-166	239.21.2.166:5002	无效			5064
2-167	239.21.2.167:5002	无效			5466
2-168	239.21.2.168:5002	无效			5101
2-169	239.21.2.169:5002	无效			5073
2-170	239.21.2.170:5002	无效			5069
2-171	239.21.2.171:5002	无效			5500
2-173	239.21.2.173:5002	无效			5128
2-174	239.21.2.174:5002	无效			5084
2-175	239.21.2.175:5002	无效			5083
2-176	239.21.2.176:5002	无效			5490
2-177	239.21.2.177:5002	无效			5122
2-178	239.21.2.178:5002	无效			5112
2-179	239.21.2.179:5002	无效			5074
2-180	239.21.2.180:5002	无效			5490
2-181	239.21.2.181:5002	无效			5108
2-182	239.21.2.182:5002	无效			5088
2-183	239.21.2.183:5002	无效			5073
2-184	239.21.2.184:5002	有效	3840x2160	hevc	6707
2-185	239.21.2.185:5002	有效	3840x2160	hevc	4985
2-186	239.21.2.186:5002	有效	1920x1080	h264	6903
2-187	239.21.2.187:5002	有效	1920x1080	h264	7041
2-188	239.21.2.188:5002	有效	1920x1080	h264	7245
2-189	239.21.2.189:5002	有效	1920x1080	h264	7094
2-190	239.21.2.190:5002	有效	1920x1080	h264	6763
2-191	239.21.2.191:5002	有效	1920x1080	h264	5644
2-192	239.21.2.192:5002	有效	1920x1080	h264	7535
2-193	239.21.2.193:5002	有效	1920x1080	h264	6558
2-194	239.21.2.194:5002	有效	1920x1080	h264	7761
2-195	239.21.2.195:5002	无效			2880
2-196	239.21.2.196:5002	无效			4733
2-197	239.21.2.197:5002	无效			3010
2-198	239.21.2.198:5002	无效			2991
2-199	239.21.2.199:5002	无效			4001
2-200	239.21.2.200:5002	无效			3731
2-201	239.21.2.201:5002	无效			3001
2-202	239.21.2.202:5002	无效			2992
2-203	239.21.2.203:5002	无效			3016
2-204	239.21.2.204:5002	无效			4696
2-205	239.21.2.205:5002	无效			5010
2-206	239.21.2.206:5002	无效			3988
2-207	239.21.2.207:5002	无效			3010
2-208	239.21.2.208:5002	无效			3698
2-209	239.21.2.209:5002	无效			2999
2-210	239.21.2.210:5002	无效			2992
2-211	239.21.2.211:5002	无效			3008
2-212	239.21.2.212:5002	无效			5706
2-213	239.21.2.213:5002	无效			2991
2-214	239.21.2.214:5002	无效			4004
2-215	239.21.2.215:5002	无效			2994
2-216	239.21.2.216:5002	无效			4706
2-217	239.21.2.217:5002	无效			2989
2-218	239.21.2.218:5002	无效			5008
2-219	239.21.2.219:5002	无效			4980
2-220	239.21.2.220:5002	无效			5690
2-221	239.21.2.221:5002	无效			3000
2-222	239.21.2.222:5002	无效			2998
2-223	239.21.2.223:5002	无效			3008
2-224	239.21.2.224:5002	无效			6996
2-225	239.21.2.225:5002	无效			5635
2-226	239.21.2.226:5002	无效			5617
2-227	239.21.2.227:5002	无效			5640
2-228	239.21.2.228:5002	无效			7247
2-229	239.21.2.229:5002	无效			6650
2-230	239.21.2.230:5002	无效			5895
2-231	239.21.2.231:5002	无效			5627
2-232	239.21.2.232:5002	无效			6230
2-233	239.21.2.233:5002	无效			5872
2-234	239.21.2.234:5002	无效			5637
2-235	239.21.2.235:5002	无效			6661
2-236	239.21.2.236:5002	无效			8268
2-237	239.21.2.237:5002	无效			5633
2-238	239.21.2.238:5002	无效			5640
2-239	239.21.2.239:5002	无效			5627
2-240	239.21.2.240:5002	无效			6202
2-241	239.21.2.241:5002	无效			5877
2-242	239.21.2.242:5002	无效			5630
2-243	239.21.2.243:5002	无效			5635
2-244	239.21.2.244:5002	无效			7973
2-245	239.21.2.245:5002	无效			5632
2-246	239.21.2.246:5002	无效			6145
2-247	239.21.2.247:5002	无效			5640
2-248	239.21.2.248:5002	无效			6181
2-249	239.21.2.249:5002	无效			7416
2-250	239.21.2.250:5002	无效			5639
2-251	239.21.2.251:5002	无效			5624
2-252	239.21.2.252:5002	无效			6178
2-253	239.21.2.253:5002	无效			5637
2-254	239.21.2.254:5002	无效			5622
