# 补充IP列表 - 原文件: 山东移动.txt
# 生成时间: 2026-05-28 17:17:17
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.253.2.x =====
# 已有IP: 1 个, 缺失IP: 253 个
# 规律: 固定端口 9128

2-1,rtp://239.253.2.1:9128
2-2,rtp://239.253.2.2:9128
2-3,rtp://239.253.2.3:9128
2-4,rtp://239.253.2.4:9128
2-5,rtp://239.253.2.5:9128
2-6,rtp://239.253.2.6:9128
2-7,rtp://239.253.2.7:9128
2-8,rtp://239.253.2.8:9128
2-9,rtp://239.253.2.9:9128
2-10,rtp://239.253.2.10:9128
2-11,rtp://239.253.2.11:9128
2-12,rtp://239.253.2.12:9128
2-13,rtp://239.253.2.13:9128
2-14,rtp://239.253.2.14:9128
2-15,rtp://239.253.2.15:9128
2-16,rtp://239.253.2.16:9128
2-17,rtp://239.253.2.17:9128
2-18,rtp://239.253.2.18:9128
2-19,rtp://239.253.2.19:9128
2-20,rtp://239.253.2.20:9128
2-21,rtp://239.253.2.21:9128
2-22,rtp://239.253.2.22:9128
2-23,rtp://239.253.2.23:9128
2-24,rtp://239.253.2.24:9128
2-25,rtp://239.253.2.25:9128
2-26,rtp://239.253.2.26:9128
2-27,rtp://239.253.2.27:9128
2-28,rtp://239.253.2.28:9128
2-29,rtp://239.253.2.29:9128
2-30,rtp://239.253.2.30:9128
2-31,rtp://239.253.2.31:9128
2-32,rtp://239.253.2.32:9128
2-33,rtp://239.253.2.33:9128
2-34,rtp://239.253.2.34:9128
2-35,rtp://239.253.2.35:9128
2-36,rtp://239.253.2.36:9128
2-37,rtp://239.253.2.37:9128
2-38,rtp://239.253.2.38:9128
2-39,rtp://239.253.2.39:9128
2-40,rtp://239.253.2.40:9128
2-41,rtp://239.253.2.41:9128
2-42,rtp://239.253.2.42:9128
2-43,rtp://239.253.2.43:9128
2-44,rtp://239.253.2.44:9128
2-45,rtp://239.253.2.45:9128
2-46,rtp://239.253.2.46:9128
2-47,rtp://239.253.2.47:9128
2-48,rtp://239.253.2.48:9128
2-49,rtp://239.253.2.49:9128
2-50,rtp://239.253.2.50:9128
2-51,rtp://239.253.2.51:9128
2-52,rtp://239.253.2.52:9128
2-53,rtp://239.253.2.53:9128
2-54,rtp://239.253.2.54:9128
2-55,rtp://239.253.2.55:9128
2-56,rtp://239.253.2.56:9128
2-57,rtp://239.253.2.57:9128
2-58,rtp://239.253.2.58:9128
2-59,rtp://239.253.2.59:9128
2-60,rtp://239.253.2.60:9128
2-61,rtp://239.253.2.61:9128
2-62,rtp://239.253.2.62:9128
2-63,rtp://239.253.2.63:9128
2-64,rtp://239.253.2.64:9128
2-65,rtp://239.253.2.65:9128
2-66,rtp://239.253.2.66:9128
2-67,rtp://239.253.2.67:9128
2-68,rtp://239.253.2.68:9128
2-69,rtp://239.253.2.69:9128
2-70,rtp://239.253.2.70:9128
2-71,rtp://239.253.2.71:9128
2-72,rtp://239.253.2.72:9128
2-73,rtp://239.253.2.73:9128
2-74,rtp://239.253.2.74:9128
2-75,rtp://239.253.2.75:9128
2-76,rtp://239.253.2.76:9128
