# 补充IP列表 - 原文件: 山东联通.txt
# 生成时间: 2026-05-28 17:17:03
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.253.254.x =====
# 已有IP: 97 个, 缺失IP: 157 个
# 规律: 固定端口 8000

254-1,rtp://239.253.254.1:8000
254-2,rtp://239.253.254.2:8000
254-3,rtp://239.253.254.3:8000
254-4,rtp://239.253.254.4:8000
254-5,rtp://239.253.254.5:8000
254-6,rtp://239.253.254.6:8000
254-7,rtp://239.253.254.7:8000
254-8,rtp://239.253.254.8:8000
254-9,rtp://239.253.254.9:8000
254-10,rtp://239.253.254.10:8000
254-11,rtp://239.253.254.11:8000
254-12,rtp://239.253.254.12:8000
254-13,rtp://239.253.254.13:8000
254-14,rtp://239.253.254.14:8000
254-15,rtp://239.253.254.15:8000
254-16,rtp://239.253.254.16:8000
254-17,rtp://239.253.254.17:8000
254-18,rtp://239.253.254.18:8000
254-19,rtp://239.253.254.19:8000
254-20,rtp://239.253.254.20:8000
254-21,rtp://239.253.254.21:8000
254-26,rtp://239.253.254.26:8000
254-27,rtp://239.253.254.27:8000
254-28,rtp://239.253.254.28:8000
254-29,rtp://239.253.254.29:8000
254-30,rtp://239.253.254.30:8000
254-31,rtp://239.253.254.31:8000
254-32,rtp://239.253.254.32:8000
254-33,rtp://239.253.254.33:8000
254-34,rtp://239.253.254.34:8000
254-35,rtp://239.253.254.35:8000
254-36,rtp://239.253.254.36:8000
254-37,rtp://239.253.254.37:8000
254-39,rtp://239.253.254.39:8000
254-40,rtp://239.253.254.40:8000
254-41,rtp://239.253.254.41:8000
254-42,rtp://239.253.254.42:8000
254-43,rtp://239.253.254.43:8000
254-44,rtp://239.253.254.44:8000
254-45,rtp://239.253.254.45:8000
254-46,rtp://239.253.254.46:8000
254-48,rtp://239.253.254.48:8000
254-49,rtp://239.253.254.49:8000
254-50,rtp://239.253.254.50:8000
254-51,rtp://239.253.254.51:8000
254-52,rtp://239.253.254.52:8000
