# 20260523_111055_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
山西卫视	239.1.1.1:8001	有效	1920x1080	h264	6588
山西影视	239.1.1.4:8004	无效			6052
山西文体生活	239.1.1.6:8006	无效			5632
山西社会与法治	239.1.1.5:8005	无效			5636
山西经济与科技	239.1.1.3:8003	无效			5632
CCTV1	239.1.1.7:8007	无效			5643
CCTV2	239.1.1.8:8008	无效			5617
CCTV3	239.1.1.9:8009	有效	1920x1080	h264	6409
CCTV4	239.1.1.10:8010	无效			5877
CCTV5	239.1.1.11:8011	有效	1920x1080	h264	7318
CCTV5+	239.1.1.12:8012	无效			6350
CCTV-6电影	239.76.246.156:1234	无效			5631
CCTV-6电影	239.76.253.156:9000	无效			5631
CCTV6	239.1.1.13:8013	有效	1920x1080	h264	6781
CCTV7	239.1.1.14:8014	无效			6025
CCTV8	239.1.1.15:8015	有效	1920x1080	h264	6599
CCTV9	239.1.1.16:8016	无效			5679
CCTV10	239.1.1.17:8017	无效			6657
CCTV11	239.1.1.18:8018	有效	1920x1080	h264	8879
CCTV12	239.1.1.19:8019	无效			5812
CCTV13	239.1.1.20:8020	有效	1920x1080	h264	7694
CCTV14	239.1.1.21:8021	无效			5618
CCTV15	239.1.1.22:8022	无效			5630
CCTV-16奥林匹克	239.76.246.98:1234	无效			5633
CCTV-16奥林匹克	239.76.253.98:9000	无效			5630
CCTV16	239.1.1.122:8122	有效	1920x1080	h264	7242
CCTV17	239.1.1.23:8023	有效	1920x1080	h264	6602
CHC动作电影	239.76.245.243:1234	无效			5993
CHC动作电影	239.76.252.243:9000	无效			5627
CHC家庭影院	239.76.245.241:1234	无效			5637
CHC家庭影院	239.76.252.241:9000	无效			5624
风云音乐	239.1.1.96:8096	无效			6658
世界地理	239.1.1.99:8099	无效			5628
世界地理	239.76.254.57:9000	无效			5633
第一剧场	239.1.1.94:8094	无效			5634
第一剧场	239.76.254.49:9000	无效			5629
风云剧场	239.1.1.93:8093	无效			5998
风云剧场	239.76.254.50:9000	无效			5623
央视精品	239.1.1.91:8091	无效			6650
兵器科技	239.1.1.97:8097	无效			5637
风云足球	239.1.1.101:8101	无效			7164
风云足球	239.76.254.52:9000	无效			5635
怀旧剧场	239.1.1.95:8095	无效			5629
怀旧剧场	239.76.254.53:9000	无效			5634
女性时尚	239.1.1.89:8089	无效			5631
央视台球	239.1.1.100:8100	无效			7013
电视指南	239.1.1.90:8090	无效			5629
发现之旅	239.1.1.103:8103	无效			5632
老故事	239.1.1.87:8087	无效			5635
优优宝贝	239.1.1.114:8114	无效			5629
CETV1	239.1.1.65:8065	无效			5634
CETV2	239.1.1.66:8066	无效			5638
