# 补充IP列表 - 原文件: 山西电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 239.1.1.x =====
# 已有IP: 119 个, 缺失IP: 135 个
# 规律: port = 1 × D + 8000

1-24,rtp://239.1.1.24:8024
1-25,rtp://239.1.1.25:8025
1-26,rtp://239.1.1.26:8026
1-27,rtp://239.1.1.27:8027
1-78,rtp://239.1.1.78:8078
1-117,rtp://239.1.1.117:8117
1-118,rtp://239.1.1.118:8118
1-119,rtp://239.1.1.119:8119
1-128,rtp://239.1.1.128:8128
1-129,rtp://239.1.1.129:8129
1-130,rtp://239.1.1.130:8130
1-131,rtp://239.1.1.131:8131
1-132,rtp://239.1.1.132:8132
1-133,rtp://239.1.1.133:8133
1-134,rtp://239.1.1.134:8134
1-135,rtp://239.1.1.135:8135
1-136,rtp://239.1.1.136:8136
1-137,rtp://239.1.1.137:8137
1-138,rtp://239.1.1.138:8138
1-139,rtp://239.1.1.139:8139
1-140,rtp://239.1.1.140:8140
1-141,rtp://239.1.1.141:8141
1-142,rtp://239.1.1.142:8142
1-143,rtp://239.1.1.143:8143
1-144,rtp://239.1.1.144:8144
1-145,rtp://239.1.1.145:8145
1-146,rtp://239.1.1.146:8146
1-147,rtp://239.1.1.147:8147
1-148,rtp://239.1.1.148:8148
1-149,rtp://239.1.1.149:8149
1-150,rtp://239.1.1.150:8150
1-151,rtp://239.1.1.151:8151
1-152,rtp://239.1.1.152:8152
1-153,rtp://239.1.1.153:8153
1-154,rtp://239.1.1.154:8154
1-155,rtp://239.1.1.155:8155
1-156,rtp://239.1.1.156:8156
1-157,rtp://239.1.1.157:8157
1-158,rtp://239.1.1.158:8158
1-159,rtp://239.1.1.159:8159
1-160,rtp://239.1.1.160:8160
1-161,rtp://239.1.1.161:8161
1-162,rtp://239.1.1.162:8162
1-163,rtp://239.1.1.163:8163
1-164,rtp://239.1.1.164:8164
1-165,rtp://239.1.1.165:8165
1-166,rtp://239.1.1.166:8166
1-167,rtp://239.1.1.167:8167
1-168,rtp://239.1.1.168:8168
1-169,rtp://239.1.1.169:8169
1-170,rtp://239.1.1.170:8170
1-171,rtp://239.1.1.171:8171
1-172,rtp://239.1.1.172:8172
1-173,rtp://239.1.1.173:8173
1-174,rtp://239.1.1.174:8174
1-175,rtp://239.1.1.175:8175
1-176,rtp://239.1.1.176:8176
1-177,rtp://239.1.1.177:8177
1-178,rtp://239.1.1.178:8178
1-179,rtp://239.1.1.179:8179
1-180,rtp://239.1.1.180:8180
1-181,rtp://239.1.1.181:8181
1-182,rtp://239.1.1.182:8182
1-183,rtp://239.1.1.183:8183
1-184,rtp://239.1.1.184:8184
1-185,rtp://239.1.1.185:8185
1-186,rtp://239.1.1.186:8186
1-187,rtp://239.1.1.187:8187
1-188,rtp://239.1.1.188:8188
1-189,rtp://239.1.1.189:8189
1-190,rtp://239.1.1.190:8190
1-191,rtp://239.1.1.191:8191
1-192,rtp://239.1.1.192:8192
1-193,rtp://239.1.1.193:8193
1-194,rtp://239.1.1.194:8194
1-195,rtp://239.1.1.195:8195
1-196,rtp://239.1.1.196:8196
1-197,rtp://239.1.1.197:8197
1-198,rtp://239.1.1.198:8198
1-199,rtp://239.1.1.199:8199
1-200,rtp://239.1.1.200:8200
1-201,rtp://239.1.1.201:8201
1-202,rtp://239.1.1.202:8202
1-203,rtp://239.1.1.203:8203
1-204,rtp://239.1.1.204:8204
1-205,rtp://239.1.1.205:8205
1-206,rtp://239.1.1.206:8206
1-207,rtp://239.1.1.207:8207
1-208,rtp://239.1.1.208:8208
1-209,rtp://239.1.1.209:8209
1-210,rtp://239.1.1.210:8210
1-211,rtp://239.1.1.211:8211
1-212,rtp://239.1.1.212:8212
1-213,rtp://239.1.1.213:8213
1-214,rtp://239.1.1.214:8214
1-215,rtp://239.1.1.215:8215
1-216,rtp://239.1.1.216:8216
1-217,rtp://239.1.1.217:8217
1-218,rtp://239.1.1.218:8218
1-219,rtp://239.1.1.219:8219
1-220,rtp://239.1.1.220:8220
1-221,rtp://239.1.1.221:8221
1-222,rtp://239.1.1.222:8222
1-223,rtp://239.1.1.223:8223
1-224,rtp://239.1.1.224:8224
1-225,rtp://239.1.1.225:8225
1-226,rtp://239.1.1.226:8226
1-227,rtp://239.1.1.227:8227
1-228,rtp://239.1.1.228:8228
1-229,rtp://239.1.1.229:8229
1-230,rtp://239.1.1.230:8230
1-231,rtp://239.1.1.231:8231
1-232,rtp://239.1.1.232:8232
1-233,rtp://239.1.1.233:8233
1-234,rtp://239.1.1.234:8234
1-235,rtp://239.1.1.235:8235
1-236,rtp://239.1.1.236:8236
1-237,rtp://239.1.1.237:8237
1-238,rtp://239.1.1.238:8238
1-239,rtp://239.1.1.239:8239
1-240,rtp://239.1.1.240:8240
1-241,rtp://239.1.1.241:8241
1-242,rtp://239.1.1.242:8242
1-243,rtp://239.1.1.243:8243
1-244,rtp://239.1.1.244:8244
1-245,rtp://239.1.1.245:8245
1-246,rtp://239.1.1.246:8246
1-247,rtp://239.1.1.247:8247
1-248,rtp://239.1.1.248:8248
1-249,rtp://239.1.1.249:8249
1-250,rtp://239.1.1.250:8250
1-251,rtp://239.1.1.251:8251
1-252,rtp://239.1.1.252:8252
1-253,rtp://239.1.1.253:8253
1-254,rtp://239.1.1.254:8254

# ===== 网段: 239.76.245.x =====
# 已有IP: 4 个, 缺失IP: 250 个
# 规律: 固定端口 1234

245-1,rtp://239.76.245.1:1234
245-2,rtp://239.76.245.2:1234
245-3,rtp://239.76.245.3:1234
245-4,rtp://239.76.245.4:1234
245-5,rtp://239.76.245.5:1234
245-6,rtp://239.76.245.6:1234
245-7,rtp://239.76.245.7:1234
245-8,rtp://239.76.245.8:1234
245-9,rtp://239.76.245.9:1234
245-10,rtp://239.76.245.10:1234
245-11,rtp://239.76.245.11:1234
245-12,rtp://239.76.245.12:1234
245-13,rtp://239.76.245.13:1234
245-14,rtp://239.76.245.14:1234
245-15,rtp://239.76.245.15:1234
245-16,rtp://239.76.245.16:1234
245-17,rtp://239.76.245.17:1234
245-18,rtp://239.76.245.18:1234
245-19,rtp://239.76.245.19:1234
245-20,rtp://239.76.245.20:1234
245-21,rtp://239.76.245.21:1234
245-22,rtp://239.76.245.22:1234
245-23,rtp://239.76.245.23:1234
245-24,rtp://239.76.245.24:1234
245-25,rtp://239.76.245.25:1234
245-26,rtp://239.76.245.26:1234
245-27,rtp://239.76.245.27:1234
245-28,rtp://239.76.245.28:1234
245-29,rtp://239.76.245.29:1234
245-30,rtp://239.76.245.30:1234
245-31,rtp://239.76.245.31:1234
245-32,rtp://239.76.245.32:1234
245-33,rtp://239.76.245.33:1234
245-34,rtp://239.76.245.34:1234
245-35,rtp://239.76.245.35:1234
245-36,rtp://239.76.245.36:1234
245-37,rtp://239.76.245.37:1234
245-38,rtp://239.76.245.38:1234
245-39,rtp://239.76.245.39:1234
245-40,rtp://239.76.245.40:1234
245-41,rtp://239.76.245.41:1234
245-42,rtp://239.76.245.42:1234
245-43,rtp://239.76.245.43:1234
245-44,rtp://239.76.245.44:1234
245-45,rtp://239.76.245.45:1234
245-46,rtp://239.76.245.46:1234
245-47,rtp://239.76.245.47:1234
245-48,rtp://239.76.245.48:1234
245-49,rtp://239.76.245.49:1234
245-50,rtp://239.76.245.50:1234
245-51,rtp://239.76.245.51:1234
245-52,rtp://239.76.245.52:1234
245-53,rtp://239.76.245.53:1234
245-54,rtp://239.76.245.54:1234
245-55,rtp://239.76.245.55:1234
245-56,rtp://239.76.245.56:1234
245-57,rtp://239.76.245.57:1234
245-58,rtp://239.76.245.58:1234
245-59,rtp://239.76.245.59:1234
245-60,rtp://239.76.245.60:1234
245-61,rtp://239.76.245.61:1234
245-62,rtp://239.76.245.62:1234
245-63,rtp://239.76.245.63:1234
245-64,rtp://239.76.245.64:1234
245-65,rtp://239.76.245.65:1234
245-66,rtp://239.76.245.66:1234
245-67,rtp://239.76.245.67:1234
245-68,rtp://239.76.245.68:1234
245-69,rtp://239.76.245.69:1234
245-70,rtp://239.76.245.70:1234
245-71,rtp://239.76.245.71:1234
245-72,rtp://239.76.245.72:1234
245-73,rtp://239.76.245.73:1234
245-74,rtp://239.76.245.74:1234
245-75,rtp://239.76.245.75:1234
245-76,rtp://239.76.245.76:1234
245-77,rtp://239.76.245.77:1234
245-78,rtp://239.76.245.78:1234
245-79,rtp://239.76.245.79:1234
245-80,rtp://239.76.245.80:1234
245-81,rtp://239.76.245.81:1234
245-82,rtp://239.76.245.82:1234
245-83,rtp://239.76.245.83:1234
245-84,rtp://239.76.245.84:1234
245-85,rtp://239.76.245.85:1234
245-86,rtp://239.76.245.86:1234
245-87,rtp://239.76.245.87:1234
245-88,rtp://239.76.245.88:1234
245-89,rtp://239.76.245.89:1234
245-90,rtp://239.76.245.90:1234
245-91,rtp://239.76.245.91:1234
245-92,rtp://239.76.245.92:1234
245-93,rtp://239.76.245.93:1234
245-94,rtp://239.76.245.94:1234
245-95,rtp://239.76.245.95:1234
245-96,rtp://239.76.245.96:1234
245-97,rtp://239.76.245.97:1234
245-98,rtp://239.76.245.98:1234
245-99,rtp://239.76.245.99:1234
245-100,rtp://239.76.245.100:1234
245-101,rtp://239.76.245.101:1234
245-102,rtp://239.76.245.102:1234
245-103,rtp://239.76.245.103:1234
245-104,rtp://239.76.245.104:1234
245-105,rtp://239.76.245.105:1234
245-106,rtp://239.76.245.106:1234
245-107,rtp://239.76.245.107:1234
245-108,rtp://239.76.245.108:1234
245-109,rtp://239.76.245.109:1234
245-110,rtp://239.76.245.110:1234
245-111,rtp://239.76.245.111:1234
245-112,rtp://239.76.245.112:1234
245-113,rtp://239.76.245.113:1234
245-114,rtp://239.76.245.114:1234
245-115,rtp://239.76.245.115:1234
245-116,rtp://239.76.245.116:1234
245-117,rtp://239.76.245.117:1234
