# 20260822_150451_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
1-24	239.1.1.24:8024	无效			6650
1-25	239.1.1.25:8025	无效			5891
1-26	239.1.1.26:8026	无效			7170
1-27	239.1.1.27:8027	无效			5626
1-78	239.1.1.78:8078	无效			6911
1-117	239.1.1.117:8117	有效	1920x1080	h264	6744
1-118	239.1.1.118:8118	有效	1920x1080	h264	7095
1-119	239.1.1.119:8119	有效	1920x1080	h264	6241
1-128	239.1.1.128:8128	有效		h264	2721
1-129	239.1.1.129:8129	有效	720x576	h264	1537
1-130	239.1.1.130:8130	有效	1920x1080	h264	16820
1-131	239.1.1.131:8131	有效		h264	1427
1-132	239.1.1.132:8132	有效		h264	1915
1-133	239.1.1.133:8133	有效	3840x2160	hevc	6633
1-134	239.1.1.134:8134	有效	720x576	h264	1722
1-135	239.1.1.135:8135	有效	720x576	h264	1712
1-136	239.1.1.136:8136	有效	3840x2160	hevc	6820
1-137	239.1.1.137:8137	有效	3840x2160	hevc	6363
1-138	239.1.1.138:8138	有效	3840x2160	hevc	7967
1-139	239.1.1.139:8139	有效		hevc	1995
1-140	239.1.1.140:8140	有效	3840x2160	hevc	7517
1-141	239.1.1.141:8141	有效	3840x2160	hevc	7019
1-142	239.1.1.142:8142	有效		hevc	6885
1-143	239.1.1.143:8143	有效		hevc	7223
1-144	239.1.1.144:8144	有效	3840x2160	hevc	2807
1-145	239.1.1.145:8145	有效	1920x1080	h264	6603
1-146	239.1.1.146:8146	有效	1920x1080	h264	6997
1-147	239.1.1.147:8147	有效	1920x1080	h264	2075
1-148	239.1.1.148:8148	有效	1920x1080	h264	6857
1-149	239.1.1.149:8149	有效		h264	1811
1-150	239.1.1.150:8150	有效	1920x1080	h264	1794
1-151	239.1.1.151:8151	有效	1920x1080	h264	7011
1-152	239.1.1.152:8152	有效		h264	2317
1-153	239.1.1.153:8153	有效		h264	2171
1-154	239.1.1.154:8154	有效	1920x1080	h264	7715
1-155	239.1.1.155:8155	有效	1920x1080	h264	7641
1-156	239.1.1.156:8156	有效	1920x1080	h264	7779
1-157	239.1.1.157:8157	有效	1920x1080	h264	7383
1-158	239.1.1.158:8158	无效			5633
1-159	239.1.1.159:8159	无效			5632
1-160	239.1.1.160:8160	无效			5628
1-161	239.1.1.161:8161	无效			5635
1-162	239.1.1.162:8162	无效			5630
1-163	239.1.1.163:8163	无效			5634
1-164	239.1.1.164:8164	无效			5636
1-165	239.1.1.165:8165	无效			5628
1-166	239.1.1.166:8166	无效			5631
1-167	239.1.1.167:8167	无效			5630
1-168	239.1.1.168:8168	无效			5628
1-169	239.1.1.169:8169	无效			5633
1-170	239.1.1.170:8170	有效	1920x1080	h264	2108
1-171	239.1.1.171:8171	有效		h264	2103
1-172	239.1.1.172:8172	有效	1920x1080	h264	6914
1-173	239.1.1.173:8173	有效	1920x1080	h264	7042
1-174	239.1.1.174:8174	有效	1920x1080	h264	7132
1-175	239.1.1.175:8175	有效	720x576	h264	5653
1-176	239.1.1.176:8176	有效	720x576	h264	5641
1-177	239.1.1.177:8177	有效	720x576	h264	8163
1-178	239.1.1.178:8178	有效	720x576	h264	5599
1-179	239.1.1.179:8179	有效	1920x1080	h264	7215
1-180	239.1.1.180:8180	有效	1920x1080	h264	7281
1-181	239.1.1.181:8181	有效	1920x1080	h264	8483
1-182	239.1.1.182:8182	有效	1920x1080	h264	8346
1-183	239.1.1.183:8183	有效	720x576	h264	5753
1-184	239.1.1.184:8184	有效	1920x1080	h264	7639
1-185	239.1.1.185:8185	有效	1920x1080	h264	7604
1-186	239.1.1.186:8186	有效	1920x1080	h264	7528
1-187	239.1.1.187:8187	有效	1920x1080	h264	8088
1-188	239.1.1.188:8188	有效	1920x1080	h264	8161
1-189	239.1.1.189:8189	有效	1920x1080	h264	7898
1-190	239.1.1.190:8190	有效	1920x1080	h264	6621
1-191	239.1.1.191:8191	有效	1920x1080	h264	6937
1-192	239.1.1.192:8192	有效	1920x1080	h264	7682
1-193	239.1.1.193:8193	有效	1920x1080	h264	6781
1-194	239.1.1.194:8194	有效	1920x1080	h264	6848
1-195	239.1.1.195:8195	有效	1920x1080	h264	7143
1-196	239.1.1.196:8196	有效	1920x1080	h264	6541
1-197	239.1.1.197:8197	有效	1920x1080	h264	7257
1-198	239.1.1.198:8198	有效	1920x1080	h264	8134
1-199	239.1.1.199:8199	有效	1920x1080	h264	6394
1-200	239.1.1.200:8200	无效			5638
1-201	239.1.1.201:8201	无效			6398
1-202	239.1.1.202:8202	无效			5635
1-203	239.1.1.203:8203	无效			5625
1-204	239.1.1.204:8204	无效			5632
1-205	239.1.1.205:8205	无效			5635
1-206	239.1.1.206:8206	无效			6656
1-207	239.1.1.207:8207	无效			5630
1-208	239.1.1.208:8208	无效			5633
1-209	239.1.1.209:8209	无效			6650
1-210	239.1.1.210:8210	无效			5642
1-211	239.1.1.211:8211	无效			5620
1-212	239.1.1.212:8212	无效			5632
1-213	239.1.1.213:8213	无效			6402
1-214	239.1.1.214:8214	无效			5629
1-215	239.1.1.215:8215	无效			6658
1-216	239.1.1.216:8216	无效			5633
1-217	239.1.1.217:8217	无效			6397
1-218	239.1.1.218:8218	无效			6659
1-219	239.1.1.219:8219	无效			6402
1-220	239.1.1.220:8220	无效			5628
1-221	239.1.1.221:8221	无效			5631
1-222	239.1.1.222:8222	无效			5632
1-223	239.1.1.223:8223	无效			5632
1-224	239.1.1.224:8224	无效			5893
1-225	239.1.1.225:8225	无效			5625
1-226	239.1.1.226:8226	无效			7424
1-227	239.1.1.227:8227	无效			5633
1-228	239.1.1.228:8228	无效			5631
1-229	239.1.1.229:8229	无效			8709
1-230	239.1.1.230:8230	无效			6906
1-231	239.1.1.231:8231	无效			5631
1-232	239.1.1.232:8232	无效			5631
1-233	239.1.1.233:8233	无效			6400
1-234	239.1.1.234:8234	无效			6398
1-235	239.1.1.235:8235	无效			5631
1-236	239.1.1.236:8236	无效			7428
1-237	239.1.1.237:8237	无效			5887
1-238	239.1.1.238:8238	无效			5632
1-239	239.1.1.239:8239	无效			5631
1-240	239.1.1.240:8240	无效			5630
1-241	239.1.1.241:8241	无效			5634
1-242	239.1.1.242:8242	无效			5630
1-243	239.1.1.243:8243	无效			6400
1-244	239.1.1.244:8244	无效			8706
1-245	239.1.1.245:8245	无效			5628
1-246	239.1.1.246:8246	无效			6401
1-247	239.1.1.247:8247	无效			5632
1-248	239.1.1.248:8248	无效			5630
1-249	239.1.1.249:8249	无效			5633
1-250	239.1.1.250:8250	无效			5632
1-251	239.1.1.251:8251	无效			5630
1-252	239.1.1.252:8252	无效			7934
1-253	239.1.1.253:8253	无效			6404
1-254	239.1.1.254:8254	无效			9727
245-1	239.76.245.1:1234	无效			5892
245-2	239.76.245.2:1234	无效			5623
245-3	239.76.245.3:1234	无效			5640
245-4	239.76.245.4:1234	无效			5627
245-5	239.76.245.5:1234	无效			5630
245-6	239.76.245.6:1234	无效			5636
245-7	239.76.245.7:1234	无效			5624
245-8	239.76.245.8:1234	无效			5640
245-9	239.76.245.9:1234	无效			5626
245-10	239.76.245.10:1234	无效			5629
245-11	239.76.245.11:1234	无效			6914
245-12	239.76.245.12:1234	无效			6398
245-13	239.76.245.13:1234	无效			5891
245-14	239.76.245.14:1234	无效			6656
245-15	239.76.245.15:1234	无效			5635
245-16	239.76.245.16:1234	无效			6653
245-17	239.76.245.17:1234	无效			5633
245-18	239.76.245.18:1234	无效			5624
245-19	239.76.245.19:1234	无效			6921
