# 20260523_111254_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
山西卫视	226.0.2.11:8000	无效			7527
山西卫视	226.0.2.152:9128	无效			99999
山西影视	226.0.2.14:8024	有效		h264	3349
山西影视频道	226.0.2.237:9808	无效			99999
山西文体生活	226.0.2.16:8040	无效			99999
山西文体生活	226.0.2.190:9432	无效			5768
山西社会与法治	226.0.2.15:8032	无效			99999
山西社会与法治	226.0.2.238:9816	无效			99999
山西经济与科技	226.0.2.13:8016	无效			2679
山西经济与科技	226.0.2.236:9800	无效			1898
山西黄河	226.0.2.12:8008	无效			5303
山西黄河频道	226.0.2.235:9792	无效			14047
CCTV-1综合	226.0.2.153:9136	无效			99999
CCTV-2财经	226.0.2.154:9144	无效			12754
CCTV-3综艺	226.0.2.208:9576	无效			99999
CCTV-4中文国际	226.0.2.156:9160	无效			4605
CCTV-5体育	226.0.2.209:9584	无效			99999
CCTV-5+体育赛事	226.0.2.168:9256	无效			99999
CCTV-6电影	226.0.2.210:9592	无效			12043
CCTV-7国防军事	226.0.2.159:9184	无效			99999
CCTV-8电视剧	226.0.2.211:9600	无效			17013
CCTV-9纪录	226.0.2.161:9200	无效			99999
CCTV-10科教	226.0.2.162:9208	无效			99999
CCTV-12社会与法	226.0.2.164:9224	无效			99999
CCTV-13新闻	226.0.2.165:9232	无效			16675
CCTV-14少儿	226.0.2.166:9240	无效			99999
CCTV-16奥林匹克	226.0.2.169:9264	无效			2284
CCTV-17农业农村	226.0.2.170:9272	无效			99999
CHC高清电影	226.0.2.93:8004	无效			14758
CHC动作电影	226.0.2.94:8012	有效		h264	1808
CHC家庭影院	226.0.2.240:9820	有效		h264	1576
优优宝贝	226.0.2.119:8864	有效		h264	9143
CETV1	226.0.2.181:9360	无效			1995
CETV1	226.0.2.68:8456	无效			595
CETV2	226.0.2.69:8464	无效			6759
CETV4	226.0.2.70:8472	无效			99999
湖南卫视	226.0.2.143:9056	无效			2695
浙江卫视	226.0.2.144:9064	无效			1551
江苏卫视	226.0.2.176:9320	无效			99999
北京卫视	226.0.2.177:9328	无效			99999
东方卫视	226.0.2.175:9312	无效			12404
安徽卫视	226.0.2.145:9072	无效			99999
广东卫视	226.0.2.146:9080	无效			99999
深圳卫视	226.0.2.147:9088	无效			2661
辽宁卫视	226.0.2.173:9296	有效			4550
山东卫视	226.0.2.149:9104	无效			4572
天津卫视	226.0.2.148:9096	无效			99999
重庆卫视	226.0.2.174:9304	无效			99999
东南卫视	226.0.2.188:9416	无效			5616
河北卫视	226.0.2.178:9336	无效			5800
