# 20260529_080643_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
广东卫视	239.77.0.166:5146	无效			5172
广东卫视	239.77.0.84:5146	无效			5116
广东卫视	239.77.1.152:5146	无效			5138
广东卫视	239.77.1.19:5146	无效			5111
广东卫视4K	239.77.0.27:5146	无效			5080
广东卫视4K	239.77.0.65:5146	无效			5072
广东卫视4K	239.77.0.66:5146	无效			5072
广东IPTV广告	239.253.43.115:5146	无效			5068
广东IPTV广告	239.253.43.116:5146	无效			5080
广东IPTV广告	239.253.43.117:5146	无效			5072
广东IPTV广告	239.253.43.118:5146	无效			5086
广东IPTV广告	239.253.43.119:5146	无效			5089
广东九画面	239.77.1.234:5146	无效			5054
广东体育	239.77.0.112:5146	无效			5054
广东体育	239.77.0.168:5146	无效			5058
广东体育	239.77.1.97:5146	无效			5060
广东少儿	239.77.0.250:5146	无效			5061
广东影视	239.77.0.217:5146	无效			5061
广东新闻	239.77.0.173:5146	无效			5062
广东民生	239.77.0.225:5146	无效			5063
广东现代教育	239.77.0.213:5146	无效			5061
广东珠江	239.77.0.114:5146	无效			5064
广东珠江	239.77.0.1:5146	无效			5062
广东珠江	239.77.1.94:5146	无效			5064
广东移动	239.77.0.20:5146	无效			5063
广东经济科教	239.77.0.167:5146	无效			5062
广东经济科教	239.77.0.85:5146	无效			5062
广东综艺4K	239.77.0.244:5146	无效			5061
广东综艺4K	239.77.0.245:5146	无效			5064
广东综艺4K	239.77.1.237:5146	无效			5063
CCTV1	239.77.0.119:5146	无效			5062
CCTV1	239.77.0.129:5146	无效			5061
CCTV1	239.77.0.14:5146	无效			5061
CCTV1	239.77.0.86:5146	无效			5063
CCTV1	239.77.1.17:5146	无效			5064
CCTV2	239.77.0.137:5146	无效			5063
CCTV2	239.77.1.158:5146	无效			5062
CCTV3	239.77.0.169:5146	无效			5159
CCTV3	239.77.0.32:5146	无效			5125
CCTV3	239.77.1.7:5146	无效			5123
CCTV4	239.77.0.78:5146	无效			5091
CCTV4	239.77.1.163:5146	无效			5070
CCTV4	239.77.1.166:5146	无效			5069
CCTV4欧洲	239.253.43.120:5146	无效			5059
CCTV4美洲	239.253.43.121:5146	无效			5056
CCTV5	239.77.0.170:5146	无效			5056
CCTV5	239.77.0.34:5146	无效			5056
CCTV5	239.77.1.8:5146	无效			5056
CCTV5+	239.77.0.87:5146	无效			5055
CCTV5+	239.77.1.31:5146	无效			5055
CCTV6	239.77.0.171:5146	无效			5056
CCTV6	239.77.0.35:5146	无效			5055
CCTV6	239.77.1.9:5146	无效			5055
CCTV7	239.77.0.138:5146	无效			5055
CCTV7	239.77.0.36:5146	无效			5054
CCTV7	239.77.1.159:5146	无效			5055
CCTV8	239.77.0.172:5146	无效			5057
CCTV8	239.77.0.37:5146	无效			5058
CCTV8	239.77.1.10:5146	无效			5056
CCTV9	239.77.0.135:5146	无效			5057
CCTV9	239.77.0.38:5146	无效			5057
CCTV9	239.77.1.160:5146	无效			5057
CCTV10	239.77.0.134:5146	无效			5056
CCTV10	239.77.0.39:5146	无效			5055
CCTV10	239.77.1.113:5146	无效			5056
CCTV11	239.77.0.40:5146	无效			5056
CCTV11	239.77.1.108:5146	无效			5057
CCTV11	239.77.1.238:5146	无效			5055
CCTV12	239.77.0.136:5146	无效			5055
CCTV12	239.77.0.41:5146	无效			5054
CCTV12	239.77.1.109:5146	无效			5056
CCTV13	239.253.43.196:5146	无效			5055
CCTV13	239.77.0.188:5146	无效			5056
CCTV13	239.77.0.42:5146	无效			5055
CCTV14	239.77.0.133:5146	无效			5127
CCTV14	239.77.0.43:5146	无效			5099
CCTV14	239.77.1.161:5146	无效			5056
CCTV15	239.77.0.44:5146	无效			5054
CCTV15	239.77.1.120:5146	无效			5055
CCTV15	239.77.1.239:5146	无效			5060
CCTV17	239.77.0.115:5146	无效			5056
CCTV17	239.77.0.198:5146	无效			5055
CCTV17	239.77.1.121:5146	无效			5055
CCTV4K	239.77.0.194:5146	无效			5056
CCTV4K	239.77.1.180:5146	无效			5058
风云音乐	239.253.43.29:5146	无效			5057
风云音乐	239.253.43.6:5146	无效			5056
世界地理	239.253.43.24:5146	无效			5056
世界地理	239.253.43.7:5146	无效			5056
第一剧场	239.253.43.15:5146	无效			5056
第一剧场	239.253.43.28:5146	无效			5056
风云剧场	239.253.43.16:5146	无效			5056
风云剧场	239.253.43.26:5146	无效			5056
兵器科技	239.253.43.18:5146	无效			5055
兵器科技	239.253.43.9:5146	无效			5055
风云足球	239.253.43.14:5146	无效			5056
风云足球	239.253.43.20:5146	无效			5056
怀旧剧场	239.253.43.25:5146	无效			5056
怀旧剧场	239.253.43.5:5146	无效			5055
女性时尚	239.253.43.23:5146	无效			5056
女性时尚	239.253.43.8:5146	无效			5057
央视台球	239.253.43.11:5146	无效			5058
央视台球	239.253.43.21:5146	无效			5056
电视指南	239.253.43.10:5146	无效			5058
电视指南	239.253.43.19:5146	无效			5058
发现之旅	239.253.43.127:5146	无效			5056
发现之旅	239.77.1.112:5146	无效			5057
老故事	239.77.0.220:5146	无效			5056
老故事	239.77.1.197:5146	无效			5055
CGTN	239.77.0.199:5146	无效			5054
CGTN	239.77.0.45:5146	无效			5056
CGTN	239.77.1.27:5146	无效			5138
CGTN西语	239.77.0.221:5146	无效			5128
CGTN法语	239.77.0.228:5146	无效			5078
CGTN阿语	239.253.43.200:5146	无效			5056
CGTN俄语	239.253.43.201:5146	无效			5057
CETV1	239.77.0.200:5146	无效			5056
CETV1	239.77.1.222:5146	无效			5054
CETV2	239.77.0.28:5146	无效			5058
CETV2	239.77.1.69:5146	无效			5058
CETV4	239.253.43.114:5146	无效			5057
CETV4	239.253.43.40:5146	无效			5056
湖南卫视	239.77.0.88:5146	无效			5057
湖南卫视	239.77.1.5:5146	无效			5056
浙江卫视	239.77.0.89:5146	无效			5056
浙江卫视	239.77.1.33:5146	无效			5056
江苏卫视	239.77.0.90:5146	无效			5056
江苏卫视	239.77.1.18:5146	无效			5057
北京卫视	239.77.0.232:5146	无效			5055
北京卫视	239.77.0.91:5146	无效			5056
北京卫视	239.77.1.151:5146	无效			5056
