# 20260828_001656_probe
# 频道名	组播地址	状态	分辨率	编码	响应时间(ms)
广东卫视	239.77.0.166:5146	有效			0
广东卫视	239.77.0.191:5146	有效			0
广东卫视	239.77.0.84:5146	有效			0
广东卫视	239.77.1.152:5146	有效			0
广东卫视	239.77.1.19:5146	有效			0
广东卫视4K	239.77.0.27:5146	无效			5663
广东卫视4K	239.77.0.65:5146	有效			0
广东卫视4K	239.77.0.66:5146	有效			0
广东卫视高清	239.77.0.232:5146	有效			0
广东大湾区卫视	239.77.0.215:5146	有效			0
广东4K超高清	239.77.0.244:5146	有效			0
广东4K超高清	239.77.0.245:5146	有效			0
广东4K超高清	239.77.1.237:5146	有效			0
广东4k(4K)	239.77.1.96:5146	有效		avs2	6601
广东体育	239.77.0.6:5146	有效			0
广东体育	239.77.1.97:5146	有效			0
广东体育频道	239.77.0.112:5146	有效			0
广东体育频道	239.77.0.168:5146	有效			0
广东南方购物	239.77.0.19:5146	有效			0
广东嘉佳卡通	239.77.0.179:5146	有效			0
广东国际	239.77.0.7:5146	有效			0
广东少儿	239.77.0.12:5146	有效			0
广东少儿频道	239.77.0.250:5146	有效			0
广东影视	239.77.0.11:5146	有效			0
广东影视频道	239.77.0.217:5146	有效			0
广东新闻	239.77.0.190:5146	有效			0
广东新闻	239.77.0.4:5146	有效			0
广东新闻频道	239.77.0.173:5146	有效			0
广东民生频道	239.77.0.225:5146	有效			0
广东珠江	239.77.1.94:5146	有效			0
广东珠江频道	239.77.0.114:5146	有效			0
广东珠江频道	239.77.0.1:5146	有效			0
广东移动频道	239.77.0.20:5146	有效			0
广东经济科教	239.77.0.167:5146	有效			0
广东经济科教	239.77.0.85:5146	有效			0
广东综艺4K	239.77.0.252:5146	无效			6176
CCTV1	239.77.0.14:5146	有效	720x576	h264	5582
CCTV1	239.77.0.241:5146	有效			0
CCTV1	239.77.0.30:5146	有效			0
CCTV1	239.77.0.86:5146	有效			0
CCTV1	239.77.1.144:5146	有效			0
CCTV2	239.77.0.137:5146	有效			0
CCTV2	239.77.0.31:5146	有效			0
CCTV2	239.77.1.158:5146	有效			0
CCTV2	239.77.1.28:5146	有效			0
CCTV3	239.77.0.169:5146	有效			0
CCTV3	239.77.0.175:5146	有效			0
CCTV3	239.77.0.32:5146	有效			0
CCTV4	239.77.0.33:5146	有效			0
CCTV4	239.77.0.78:5146	有效			0
CCTV4	239.77.1.163:5146	有效			0
CCTV4欧洲	239.253.43.120:5146	有效			0
CCTV4美洲	239.253.43.121:5146	有效			0
CCTV5	239.77.0.170:5146	有效			0
CCTV5	239.77.0.34:5146	有效			0
CCTV5+	239.77.0.87:5146	有效			0
